Ground Truth: Hop

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.64555126), 'Fall forward': np.float32(0.65057003), 'Fall left': np.float32(0.6456255), 'Fall right': np.float32(0.6441421), 'Fall sitting': np.float32(0.6364556), 'Hop': np.float32(0.6618575), 'Kneel': np.float32(0.6509706), 'Pick up object': np.float32(0.6495297), 'Sit down': np.float32(0.6415363), 'Walk': np.float32(0.6557908)}
t=110 | pred=Hop | scores={'Fall backwards': np.float32(0.64891356), 'Fall forward': np.float32(0.6510403), 'Fall left': np.float32(0.6484019), 'Fall right': np.float32(0.6472335), 'Fall sitting': np.float32(0.64361167), 'Hop': np.float32(0.6635814), 'Kneel': np.float32(0.6532717), 'Pick up object': np.float32(0.6529324), 'Sit down': np.float32(0.6456976), 'Walk': np.float32(0.6568136)}
t=115 | pred=Hop | scores={'Fall backwards': np.float32(0.6489453), 'Fall forward': np.float32(0.65075994), 'Fall left': np.float32(0.6484403), 'Fall right': np.float32(0.6472232), 'Fall sitting': np.float32(0.64390177), 'Hop': np.float32(0.66338927), 'Kneel': np.float32(0.6531804), 'Pick up object': np.float32(0.65300274), 'Sit down': np.float32(0.64585465), 'Walk': np.float32(0.65644747)}
t=120 | pred=Hop | scores={'Fall backwards': np.float32(0.64900076), 'Fall forward': np.float32(0.6504815), 'Fall left': np.float32(0.64847505), 'Fall right': np.float32(0.64725035), 'Fall sitting': np.float32(0.64411217), 'Hop': np.float32(0.66330785), 'Kneel': np.float32(0.65310687), 'Pick up object': np.float32(0.65315044), 'Sit down': np.float32(0.6459573), 'Walk': np.float32(0.65618455)}
t=125 | pred=Hop | scores={'Fall backwards': np.float32(0.6487258), 'Fall forward': np.float32(0.64996094), 'Fall left': np.float32(0.64821035), 'Fall right': np.float32(0.6469824), 'Fall sitting': np.float32(0.64403605), 'Hop': np.float32(0.6630205), 'Kneel': np.float32(0.65273184), 'Pick up object': np.float32(0.6530166), 'Sit down': np.float32(0.64577013), 'Walk': np.float32(0.655774)}
t=130 | pred=Hop | scores={'Fall backwards': np.float32(0.648459), 'Fall forward': np.float32(0.6494308), 'Fall left': np.float32(0.64796126), 'Fall right': np.float32(0.64666176), 'Fall sitting': np.float32(0.6439098), 'Hop': np.float32(0.6626359), 'Kneel': np.float32(0.6523942), 'Pick up object': np.float32(0.6527901), 'Sit down': np.float32(0.64556783), 'Walk': np.float32(0.6552546)}
t=135 | pred=Hop | scores={'Fall backwards': np.float32(0.64838326), 'Fall forward': np.float32(0.6492247), 'Fall left': np.float32(0.6478832), 'Fall right': np.float32(0.64653814), 'Fall sitting': np.float32(0.64395463), 'Hop': np.float32(0.6624614), 'Kneel': np.float32(0.6522603), 'Pick up object': np.float32(0.65273786), 'Sit down': np.float32(0.6454584), 'Walk': np.float32(0.65497345)}
t=140 | pred=Hop | scores={'Fall backwards': np.float32(0.64877015), 'Fall forward': np.float32(0.6495261), 'Fall left': np.float32(0.64831865), 'Fall right': np.float32(0.6469973), 'Fall sitting': np.float32(0.64432776), 'Hop': np.float32(0.66287667), 'Kneel': np.float32(0.6525849), 'Pick up object': np.float32(0.65313804), 'Sit down': np.float32(0.64588135), 'Walk': np.float32(0.65526116)}
t=145 | pred=Hop | scores={'Fall backwards': np.float32(0.649642), 'Fall forward': np.float32(0.6504077), 'Fall left': np.float32(0.64919335), 'Fall right': np.float32(0.6479017), 'Fall sitting': np.float32(0.6449526), 'Hop': np.float32(0.66353756), 'Kneel': np.float32(0.65340334), 'Pick up object': np.float32(0.65377724), 'Sit down': np.float32(0.6465423), 'Walk': np.float32(0.65595454)}
t=150 | pred=Hop | scores={'Fall backwards': np.float32(0.6502206), 'Fall forward': np.float32(0.65101016), 'Fall left': np.float32(0.6497741), 'Fall right': np.float32(0.6484576), 'Fall sitting': np.float32(0.64535964), 'Hop': np.float32(0.6640023), 'Kneel': np.float32(0.65392005), 'Pick up object': np.float32(0.6542283), 'Sit down': np.float32(0.6469289), 'Walk': np.float32(0.656445)}
t=155 | pred=Hop | scores={'Fall backwards': np.float32(0.6505752), 'Fall forward': np.float32(0.6514353), 'Fall left': np.float32(0.65014833), 'Fall right': np.float32(0.6488127), 'Fall sitting': np.float32(0.64556664), 'Hop': np.float32(0.66437733), 'Kneel': np.float32(0.6543159), 'Pick up object': np.float32(0.654567), 'Sit down': np.float32(0.6471522), 'Walk': np.float32(0.6568025)}
t=160 | pred=Hop | scores={'Fall backwards': np.float32(0.65088165), 'Fall forward': np.float32(0.6517809), 'Fall left': np.float32(0.65040183), 'Fall right': np.float32(0.64909786), 'Fall sitting': np.float32(0.64572287), 'Hop': np.float32(0.6644784), 'Kneel': np.float32(0.654553), 'Pick up object': np.float32(0.6546783), 'Sit down': np.float32(0.64722323), 'Walk': np.float32(0.6569232)}
t=165 | pred=Hop | scores={'Fall backwards': np.float32(0.65080845), 'Fall forward': np.float32(0.65177584), 'Fall left': np.float32(0.65030384), 'Fall right': np.float32(0.64899564), 'Fall sitting': np.float32(0.6456186), 'Hop': np.float32(0.66440976), 'Kneel': np.float32(0.65446234), 'Pick up object': np.float32(0.65457416), 'Sit down': np.float32(0.64706683), 'Walk': np.float32(0.6568703)}
t=170 | pred=Hop | scores={'Fall backwards': np.float32(0.6509837), 'Fall forward': np.float32(0.65194803), 'Fall left': np.float32(0.6504356), 'Fall right': np.float32(0.6491438), 'Fall sitting': np.float32(0.64564884), 'Hop': np.float32(0.66448796), 'Kneel': np.float32(0.6545663), 'Pick up object': np.float32(0.65461975), 'Sit down': np.float32(0.64710516), 'Walk': np.float32(0.6570144)}
t=175 | pred=Hop | scores={'Fall backwards': np.float32(0.65121865), 'Fall forward': np.float32(0.65221006), 'Fall left': np.float32(0.6506158), 'Fall right': np.float32(0.64937395), 'Fall sitting': np.float32(0.6457303), 'Hop': np.float32(0.66462696), 'Kneel': np.float32(0.6547545), 'Pick up object': np.float32(0.65476197), 'Sit down': np.float32(0.6472002), 'Walk': np.float32(0.6572335)}
t=180 | pred=Hop | scores={'Fall backwards': np.float32(0.65127957), 'Fall forward': np.float32(0.6522772), 'Fall left': np.float32(0.6506756), 'Fall right': np.float32(0.6494543), 'Fall sitting': np.float32(0.64572686), 'Hop': np.float32(0.6647152), 'Kneel': np.float32(0.6548027), 'Pick up object': np.float32(0.65485024), 'Sit down': np.float32(0.6472026), 'Walk': np.float32(0.65739226)}
