Ground Truth: Fall sitting

t=15 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.60270005), 'Fall forward': np.float32(0.59851116), 'Fall left': np.float32(0.6089041), 'Fall right': np.float32(0.6016122), 'Fall sitting': np.float32(0.6239572), 'Hop': np.float32(0.60135406), 'Kneel': np.float32(0.6083507), 'Pick up object': np.float32(0.6056064), 'Sit down': np.float32(0.61689276), 'Walk': np.float32(0.59604466)}
t=145 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62343043), 'Fall forward': np.float32(0.62528723), 'Fall left': np.float32(0.6277731), 'Fall right': np.float32(0.6230608), 'Fall sitting': np.float32(0.655515), 'Hop': np.float32(0.62774146), 'Kneel': np.float32(0.627003), 'Pick up object': np.float32(0.62896097), 'Sit down': np.float32(0.6279802), 'Walk': np.float32(0.62381953)}
t=150 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6234818), 'Fall forward': np.float32(0.6254262), 'Fall left': np.float32(0.62776834), 'Fall right': np.float32(0.6230836), 'Fall sitting': np.float32(0.65561223), 'Hop': np.float32(0.62777996), 'Kneel': np.float32(0.6269903), 'Pick up object': np.float32(0.62898546), 'Sit down': np.float32(0.6277757), 'Walk': np.float32(0.6238342)}
t=155 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62350494), 'Fall forward': np.float32(0.6255232), 'Fall left': np.float32(0.6277555), 'Fall right': np.float32(0.62308794), 'Fall sitting': np.float32(0.6556619), 'Hop': np.float32(0.6277888), 'Kneel': np.float32(0.6269692), 'Pick up object': np.float32(0.62899965), 'Sit down': np.float32(0.6276245), 'Walk': np.float32(0.6238362)}
t=160 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6235138), 'Fall forward': np.float32(0.625616), 'Fall left': np.float32(0.62770355), 'Fall right': np.float32(0.6230897), 'Fall sitting': np.float32(0.65571946), 'Hop': np.float32(0.62776446), 'Kneel': np.float32(0.6268867), 'Pick up object': np.float32(0.6289887), 'Sit down': np.float32(0.627403), 'Walk': np.float32(0.62380624)}
t=165 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6234852), 'Fall forward': np.float32(0.62566894), 'Fall left': np.float32(0.6276517), 'Fall right': np.float32(0.623057), 'Fall sitting': np.float32(0.65571), 'Hop': np.float32(0.6277257), 'Kneel': np.float32(0.62682325), 'Pick up object': np.float32(0.6289594), 'Sit down': np.float32(0.627238), 'Walk': np.float32(0.623776)}
t=170 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62340266), 'Fall forward': np.float32(0.6257385), 'Fall left': np.float32(0.62754095), 'Fall right': np.float32(0.6229751), 'Fall sitting': np.float32(0.65567446), 'Hop': np.float32(0.6276066), 'Kneel': np.float32(0.6267), 'Pick up object': np.float32(0.6288449), 'Sit down': np.float32(0.6269729), 'Walk': np.float32(0.6236801)}
t=175 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6234093), 'Fall forward': np.float32(0.6258432), 'Fall left': np.float32(0.6275196), 'Fall right': np.float32(0.62298435), 'Fall sitting': np.float32(0.65574527), 'Hop': np.float32(0.62760365), 'Kneel': np.float32(0.6267054), 'Pick up object': np.float32(0.62883663), 'Sit down': np.float32(0.6268475), 'Walk': np.float32(0.62371147)}
t=180 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62350357), 'Fall forward': np.float32(0.62605035), 'Fall left': np.float32(0.6275679), 'Fall right': np.float32(0.62308973), 'Fall sitting': np.float32(0.6558986), 'Hop': np.float32(0.6277038), 'Kneel': np.float32(0.62678784), 'Pick up object': np.float32(0.62894285), 'Sit down': np.float32(0.6267535), 'Walk': np.float32(0.6238323)}
t=185 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62360656), 'Fall forward': np.float32(0.626235), 'Fall left': np.float32(0.62765074), 'Fall right': np.float32(0.6232049), 'Fall sitting': np.float32(0.65601456), 'Hop': np.float32(0.62786525), 'Kneel': np.float32(0.6269339), 'Pick up object': np.float32(0.6290754), 'Sit down': np.float32(0.62675357), 'Walk': np.float32(0.62401485)}
t=190 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62388647), 'Fall forward': np.float32(0.62658894), 'Fall left': np.float32(0.62792224), 'Fall right': np.float32(0.6235062), 'Fall sitting': np.float32(0.6561729), 'Hop': np.float32(0.62823397), 'Kneel': np.float32(0.62725735), 'Pick up object': np.float32(0.62938416), 'Sit down': np.float32(0.62692213), 'Walk': np.float32(0.62438387)}
t=195 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62408555), 'Fall forward': np.float32(0.6268339), 'Fall left': np.float32(0.6281258), 'Fall right': np.float32(0.62372494), 'Fall sitting': np.float32(0.6562389), 'Hop': np.float32(0.6284917), 'Kneel': np.float32(0.627467), 'Pick up object': np.float32(0.6295929), 'Sit down': np.float32(0.62700516), 'Walk': np.float32(0.6246389)}
