Ground Truth: Walk

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6511378), 'Fall forward': np.float32(0.65265), 'Fall left': np.float32(0.6503325), 'Fall right': np.float32(0.64815825), 'Fall sitting': np.float32(0.6361161), 'Hop': np.float32(0.6521309), 'Kneel': np.float32(0.6493237), 'Pick up object': np.float32(0.65415967), 'Sit down': np.float32(0.6430376), 'Walk': np.float32(0.6590912)}
t=75 | pred=Walk | scores={'Fall backwards': np.float32(0.6511394), 'Fall forward': np.float32(0.65318525), 'Fall left': np.float32(0.6529442), 'Fall right': np.float32(0.65047973), 'Fall sitting': np.float32(0.6397728), 'Hop': np.float32(0.6551477), 'Kneel': np.float32(0.6528813), 'Pick up object': np.float32(0.6572816), 'Sit down': np.float32(0.64652705), 'Walk': np.float32(0.6606375)}
t=80 | pred=Walk | scores={'Fall backwards': np.float32(0.65140903), 'Fall forward': np.float32(0.65349495), 'Fall left': np.float32(0.65346897), 'Fall right': np.float32(0.65100926), 'Fall sitting': np.float32(0.6404471), 'Hop': np.float32(0.65552515), 'Kneel': np.float32(0.65348464), 'Pick up object': np.float32(0.657471), 'Sit down': np.float32(0.6470335), 'Walk': np.float32(0.66090864)}
t=85 | pred=Walk | scores={'Fall backwards': np.float32(0.6516797), 'Fall forward': np.float32(0.65390205), 'Fall left': np.float32(0.6538624), 'Fall right': np.float32(0.651369), 'Fall sitting': np.float32(0.64119226), 'Hop': np.float32(0.6561847), 'Kneel': np.float32(0.6541679), 'Pick up object': np.float32(0.65793526), 'Sit down': np.float32(0.6476422), 'Walk': np.float32(0.66151196)}
t=90 | pred=Walk | scores={'Fall backwards': np.float32(0.65140116), 'Fall forward': np.float32(0.65402645), 'Fall left': np.float32(0.65378433), 'Fall right': np.float32(0.6512307), 'Fall sitting': np.float32(0.64157915), 'Hop': np.float32(0.656702), 'Kneel': np.float32(0.65449595), 'Pick up object': np.float32(0.6580294), 'Sit down': np.float32(0.64774156), 'Walk': np.float32(0.6618695)}
t=95 | pred=Walk | scores={'Fall backwards': np.float32(0.65124243), 'Fall forward': np.float32(0.65410686), 'Fall left': np.float32(0.65367305), 'Fall right': np.float32(0.6510798), 'Fall sitting': np.float32(0.64190656), 'Hop': np.float32(0.6571789), 'Kneel': np.float32(0.6546617), 'Pick up object': np.float32(0.65814275), 'Sit down': np.float32(0.64778495), 'Walk': np.float32(0.66222167)}
t=100 | pred=Walk | scores={'Fall backwards': np.float32(0.6504551), 'Fall forward': np.float32(0.6535422), 'Fall left': np.float32(0.6529933), 'Fall right': np.float32(0.65028965), 'Fall sitting': np.float32(0.64169806), 'Hop': np.float32(0.65715206), 'Kneel': np.float32(0.6542135), 'Pick up object': np.float32(0.6577219), 'Sit down': np.float32(0.6472629), 'Walk': np.float32(0.6620418)}
t=105 | pred=Walk | scores={'Fall backwards': np.float32(0.6498793), 'Fall forward': np.float32(0.65308785), 'Fall left': np.float32(0.6525119), 'Fall right': np.float32(0.6497051), 'Fall sitting': np.float32(0.64144874), 'Hop': np.float32(0.6570659), 'Kneel': np.float32(0.653802), 'Pick up object': np.float32(0.6573785), 'Sit down': np.float32(0.6468645), 'Walk': np.float32(0.66187334)}
t=110 | pred=Walk | scores={'Fall backwards': np.float32(0.6495893), 'Fall forward': np.float32(0.6529253), 'Fall left': np.float32(0.6521937), 'Fall right': np.float32(0.6493599), 'Fall sitting': np.float32(0.641305), 'Hop': np.float32(0.6569835), 'Kneel': np.float32(0.65352285), 'Pick up object': np.float32(0.6570505), 'Sit down': np.float32(0.6465429), 'Walk': np.float32(0.6618177)}
t=115 | pred=Walk | scores={'Fall backwards': np.float32(0.64957386), 'Fall forward': np.float32(0.65292114), 'Fall left': np.float32(0.65207916), 'Fall right': np.float32(0.64932173), 'Fall sitting': np.float32(0.6412259), 'Hop': np.float32(0.65707123), 'Kneel': np.float32(0.65342414), 'Pick up object': np.float32(0.6569744), 'Sit down': np.float32(0.646428), 'Walk': np.float32(0.6619895)}
t=120 | pred=Walk | scores={'Fall backwards': np.float32(0.6499668), 'Fall forward': np.float32(0.65318906), 'Fall left': np.float32(0.6523353), 'Fall right': np.float32(0.6497319), 'Fall sitting': np.float32(0.6414348), 'Hop': np.float32(0.6576944), 'Kneel': np.float32(0.6538094), 'Pick up object': np.float32(0.65734124), 'Sit down': np.float32(0.64678437), 'Walk': np.float32(0.6627071)}
t=125 | pred=Walk | scores={'Fall backwards': np.float32(0.65058), 'Fall forward': np.float32(0.6536721), 'Fall left': np.float32(0.65277535), 'Fall right': np.float32(0.65028906), 'Fall sitting': np.float32(0.6417867), 'Hop': np.float32(0.6583633), 'Kneel': np.float32(0.6543368), 'Pick up object': np.float32(0.6578593), 'Sit down': np.float32(0.6472416), 'Walk': np.float32(0.6634997)}
t=130 | pred=Walk | scores={'Fall backwards': np.float32(0.65142167), 'Fall forward': np.float32(0.654406), 'Fall left': np.float32(0.65342003), 'Fall right': np.float32(0.65107757), 'Fall sitting': np.float32(0.642426), 'Hop': np.float32(0.659243), 'Kneel': np.float32(0.65509707), 'Pick up object': np.float32(0.6585305), 'Sit down': np.float32(0.64803016), 'Walk': np.float32(0.66456467)}
t=135 | pred=Walk | scores={'Fall backwards': np.float32(0.6521603), 'Fall forward': np.float32(0.65514714), 'Fall left': np.float32(0.65403414), 'Fall right': np.float32(0.6517441), 'Fall sitting': np.float32(0.6431295), 'Hop': np.float32(0.65992683), 'Kneel': np.float32(0.6557306), 'Pick up object': np.float32(0.65911895), 'Sit down': np.float32(0.64870673), 'Walk': np.float32(0.66546446)}
t=140 | pred=Walk | scores={'Fall backwards': np.float32(0.65277576), 'Fall forward': np.float32(0.6557065), 'Fall left': np.float32(0.6545062), 'Fall right': np.float32(0.65228987), 'Fall sitting': np.float32(0.6436549), 'Hop': np.float32(0.6605845), 'Kneel': np.float32(0.65629244), 'Pick up object': np.float32(0.65959984), 'Sit down': np.float32(0.6492378), 'Walk': np.float32(0.6663177)}
t=145 | pred=Walk | scores={'Fall backwards': np.float32(0.65337974), 'Fall forward': np.float32(0.65622556), 'Fall left': np.float32(0.65495837), 'Fall right': np.float32(0.6527646), 'Fall sitting': np.float32(0.6442599), 'Hop': np.float32(0.6610488), 'Kneel': np.float32(0.6566829), 'Pick up object': np.float32(0.6600631), 'Sit down': np.float32(0.6496593), 'Walk': np.float32(0.66698587)}
t=150 | pred=Walk | scores={'Fall backwards': np.float32(0.6534725), 'Fall forward': np.float32(0.65627784), 'Fall left': np.float32(0.6548579), 'Fall right': np.float32(0.6526846), 'Fall sitting': np.float32(0.6444001), 'Hop': np.float32(0.6610998), 'Kneel': np.float32(0.6566051), 'Pick up object': np.float32(0.6600979), 'Sit down': np.float32(0.6495702), 'Walk': np.float32(0.66724575)}
t=155 | pred=Walk | scores={'Fall backwards': np.float32(0.6535908), 'Fall forward': np.float32(0.6562804), 'Fall left': np.float32(0.6547714), 'Fall right': np.float32(0.652644), 'Fall sitting': np.float32(0.6444734), 'Hop': np.float32(0.66102713), 'Kneel': np.float32(0.65650696), 'Pick up object': np.float32(0.66006124), 'Sit down': np.float32(0.6494646), 'Walk': np.float32(0.6673901)}
t=160 | pred=Walk | scores={'Fall backwards': np.float32(0.6535366), 'Fall forward': np.float32(0.6560836), 'Fall left': np.float32(0.65450966), 'Fall right': np.float32(0.65242803), 'Fall sitting': np.float32(0.64436114), 'Hop': np.float32(0.660804), 'Kneel': np.float32(0.65622526), 'Pick up object': np.float32(0.6598086), 'Sit down': np.float32(0.64916), 'Walk': np.float32(0.66736263)}
t=165 | pred=Walk | scores={'Fall backwards': np.float32(0.6534558), 'Fall forward': np.float32(0.6559261), 'Fall left': np.float32(0.6542934), 'Fall right': np.float32(0.65223753), 'Fall sitting': np.float32(0.6442268), 'Hop': np.float32(0.6606734), 'Kneel': np.float32(0.65602154), 'Pick up object': np.float32(0.6596729), 'Sit down': np.float32(0.648972), 'Walk': np.float32(0.6673764)}
t=170 | pred=Walk | scores={'Fall backwards': np.float32(0.65347046), 'Fall forward': np.float32(0.6558894), 'Fall left': np.float32(0.654167), 'Fall right': np.float32(0.6521337), 'Fall sitting': np.float32(0.64428794), 'Hop': np.float32(0.6606742), 'Kneel': np.float32(0.65589815), 'Pick up object': np.float32(0.65967655), 'Sit down': np.float32(0.64887434), 'Walk': np.float32(0.6675041)}
t=175 | pred=Walk | scores={'Fall backwards': np.float32(0.6537087), 'Fall forward': np.float32(0.6561146), 'Fall left': np.float32(0.65427834), 'Fall right': np.float32(0.6522776), 'Fall sitting': np.float32(0.6446145), 'Hop': np.float32(0.66082585), 'Kneel': np.float32(0.65599513), 'Pick up object': np.float32(0.65989834), 'Sit down': np.float32(0.64895755), 'Walk': np.float32(0.6677506)}
t=180 | pred=Walk | scores={'Fall backwards': np.float32(0.65396094), 'Fall forward': np.float32(0.6563079), 'Fall left': np.float32(0.65435904), 'Fall right': np.float32(0.6524304), 'Fall sitting': np.float32(0.64498603), 'Hop': np.float32(0.6610428), 'Kneel': np.float32(0.6560849), 'Pick up object': np.float32(0.6601516), 'Sit down': np.float32(0.64905703), 'Walk': np.float32(0.668039)}
t=185 | pred=Walk | scores={'Fall backwards': np.float32(0.65431505), 'Fall forward': np.float32(0.6565961), 'Fall left': np.float32(0.65457076), 'Fall right': np.float32(0.6527431), 'Fall sitting': np.float32(0.64524055), 'Hop': np.float32(0.6612741), 'Kneel': np.float32(0.656215), 'Pick up object': np.float32(0.6603911), 'Sit down': np.float32(0.64925116), 'Walk': np.float32(0.6683279)}
t=190 | pred=Walk | scores={'Fall backwards': np.float32(0.65454423), 'Fall forward': np.float32(0.6568104), 'Fall left': np.float32(0.65466416), 'Fall right': np.float32(0.6529482), 'Fall sitting': np.float32(0.64541), 'Hop': np.float32(0.6613313), 'Kneel': np.float32(0.6562289), 'Pick up object': np.float32(0.66051835), 'Sit down': np.float32(0.649312), 'Walk': np.float32(0.6684717)}
t=195 | pred=Walk | scores={'Fall backwards': np.float32(0.6548763), 'Fall forward': np.float32(0.6570229), 'Fall left': np.float32(0.6548473), 'Fall right': np.float32(0.65322036), 'Fall sitting': np.float32(0.6456098), 'Hop': np.float32(0.6613941), 'Kneel': np.float32(0.656319), 'Pick up object': np.float32(0.66071296), 'Sit down': np.float32(0.64950436), 'Walk': np.float32(0.6686295)}
t=200 | pred=Walk | scores={'Fall backwards': np.float32(0.65514886), 'Fall forward': np.float32(0.657181), 'Fall left': np.float32(0.6549668), 'Fall right': np.float32(0.6534496), 'Fall sitting': np.float32(0.6456984), 'Hop': np.float32(0.66136765), 'Kneel': np.float32(0.6563727), 'Pick up object': np.float32(0.66078895), 'Sit down': np.float32(0.6495909), 'Walk': np.float32(0.66866696)}
t=205 | pred=Walk | scores={'Fall backwards': np.float32(0.6554367), 'Fall forward': np.float32(0.65738577), 'Fall left': np.float32(0.6551581), 'Fall right': np.float32(0.6537239), 'Fall sitting': np.float32(0.6458401), 'Hop': np.float32(0.6613011), 'Kneel': np.float32(0.6565071), 'Pick up object': np.float32(0.6608621), 'Sit down': np.float32(0.6496997), 'Walk': np.float32(0.6686395)}
t=210 | pred=Walk | scores={'Fall backwards': np.float32(0.6555395), 'Fall forward': np.float32(0.65744704), 'Fall left': np.float32(0.65516996), 'Fall right': np.float32(0.6538295), 'Fall sitting': np.float32(0.6458355), 'Hop': np.float32(0.6611389), 'Kneel': np.float32(0.6564956), 'Pick up object': np.float32(0.66082394), 'Sit down': np.float32(0.6496277), 'Walk': np.float32(0.66848683)}
t=215 | pred=Walk | scores={'Fall backwards': np.float32(0.65549505), 'Fall forward': np.float32(0.657434), 'Fall left': np.float32(0.65507495), 'Fall right': np.float32(0.65378135), 'Fall sitting': np.float32(0.6457936), 'Hop': np.float32(0.66104764), 'Kneel': np.float32(0.6564022), 'Pick up object': np.float32(0.6607912), 'Sit down': np.float32(0.64949083), 'Walk': np.float32(0.66837645)}
t=220 | pred=Walk | scores={'Fall backwards': np.float32(0.6554729), 'Fall forward': np.float32(0.6574269), 'Fall left': np.float32(0.6550353), 'Fall right': np.float32(0.6537938), 'Fall sitting': np.float32(0.64571095), 'Hop': np.float32(0.66104156), 'Kneel': np.float32(0.6564186), 'Pick up object': np.float32(0.6608179), 'Sit down': np.float32(0.6494892), 'Walk': np.float32(0.66835165)}
t=225 | pred=Walk | scores={'Fall backwards': np.float32(0.65561235), 'Fall forward': np.float32(0.657521), 'Fall left': np.float32(0.65517896), 'Fall right': np.float32(0.6539486), 'Fall sitting': np.float32(0.6457323), 'Hop': np.float32(0.66122204), 'Kneel': np.float32(0.6565945), 'Pick up object': np.float32(0.6610651), 'Sit down': np.float32(0.6497273), 'Walk': np.float32(0.66849184)}
t=230 | pred=Walk | scores={'Fall backwards': np.float32(0.6556926), 'Fall forward': np.float32(0.6575222), 'Fall left': np.float32(0.6552676), 'Fall right': np.float32(0.65406847), 'Fall sitting': np.float32(0.64566296), 'Hop': np.float32(0.6613038), 'Kneel': np.float32(0.65669507), 'Pick up object': np.float32(0.661251), 'Sit down': np.float32(0.64985126), 'Walk': np.float32(0.6685335)}
t=235 | pred=Walk | scores={'Fall backwards': np.float32(0.65593714), 'Fall forward': np.float32(0.6576773), 'Fall left': np.float32(0.65549904), 'Fall right': np.float32(0.65437526), 'Fall sitting': np.float32(0.6456934), 'Hop': np.float32(0.6614931), 'Kneel': np.float32(0.65693706), 'Pick up object': np.float32(0.66154075), 'Sit down': np.float32(0.6500821), 'Walk': np.float32(0.66866356)}
t=240 | pred=Walk | scores={'Fall backwards': np.float32(0.65609956), 'Fall forward': np.float32(0.6577688), 'Fall left': np.float32(0.65564615), 'Fall right': np.float32(0.65459895), 'Fall sitting': np.float32(0.6457267), 'Hop': np.float32(0.6616253), 'Kneel': np.float32(0.6571251), 'Pick up object': np.float32(0.6617822), 'Sit down': np.float32(0.6502876), 'Walk': np.float32(0.6687026)}
