Ground Truth: Fall sitting

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.65986913), 'Fall forward': np.float32(0.65264493), 'Fall left': np.float32(0.6613228), 'Fall right': np.float32(0.65820104), 'Fall sitting': np.float32(0.66520154), 'Hop': np.float32(0.65254194), 'Kneel': np.float32(0.66145146), 'Pick up object': np.float32(0.66242105), 'Sit down': np.float32(0.6679647), 'Walk': np.float32(0.6543218)}
t=70 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66201293), 'Fall forward': np.float32(0.65692), 'Fall left': np.float32(0.66423976), 'Fall right': np.float32(0.66307265), 'Fall sitting': np.float32(0.6730848), 'Hop': np.float32(0.6583278), 'Kneel': np.float32(0.66479826), 'Pick up object': np.float32(0.6665504), 'Sit down': np.float32(0.6687228), 'Walk': np.float32(0.66068375)}
t=75 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66288936), 'Fall forward': np.float32(0.65757567), 'Fall left': np.float32(0.66519356), 'Fall right': np.float32(0.6640071), 'Fall sitting': np.float32(0.6743131), 'Hop': np.float32(0.6583218), 'Kneel': np.float32(0.66524494), 'Pick up object': np.float32(0.66682494), 'Sit down': np.float32(0.66860855), 'Walk': np.float32(0.660685)}
t=80 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66349345), 'Fall forward': np.float32(0.6579625), 'Fall left': np.float32(0.6658514), 'Fall right': np.float32(0.66460526), 'Fall sitting': np.float32(0.67498606), 'Hop': np.float32(0.65817815), 'Kneel': np.float32(0.6654563), 'Pick up object': np.float32(0.6668506), 'Sit down': np.float32(0.66819733), 'Walk': np.float32(0.66055715)}
t=85 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6637973), 'Fall forward': np.float32(0.6581046), 'Fall left': np.float32(0.666287), 'Fall right': np.float32(0.66497606), 'Fall sitting': np.float32(0.6753962), 'Hop': np.float32(0.6580514), 'Kneel': np.float32(0.6655414), 'Pick up object': np.float32(0.6668533), 'Sit down': np.float32(0.66787577), 'Walk': np.float32(0.6603798)}
t=90 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66381764), 'Fall forward': np.float32(0.65790397), 'Fall left': np.float32(0.6664652), 'Fall right': np.float32(0.6650229), 'Fall sitting': np.float32(0.67561334), 'Hop': np.float32(0.65754795), 'Kneel': np.float32(0.6653087), 'Pick up object': np.float32(0.6664482), 'Sit down': np.float32(0.667301), 'Walk': np.float32(0.65986204)}
t=95 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6641462), 'Fall forward': np.float32(0.65791875), 'Fall left': np.float32(0.6669185), 'Fall right': np.float32(0.66529155), 'Fall sitting': np.float32(0.6758816), 'Hop': np.float32(0.6574564), 'Kneel': np.float32(0.66541135), 'Pick up object': np.float32(0.6663789), 'Sit down': np.float32(0.66729444), 'Walk': np.float32(0.65970075)}
t=100 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66490144), 'Fall forward': np.float32(0.65839463), 'Fall left': np.float32(0.6677281), 'Fall right': np.float32(0.66592175), 'Fall sitting': np.float32(0.67656976), 'Hop': np.float32(0.6577129), 'Kneel': np.float32(0.665832), 'Pick up object': np.float32(0.66661894), 'Sit down': np.float32(0.66763645), 'Walk': np.float32(0.6599202)}
t=105 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6656197), 'Fall forward': np.float32(0.6589057), 'Fall left': np.float32(0.66845113), 'Fall right': np.float32(0.66655093), 'Fall sitting': np.float32(0.67708397), 'Hop': np.float32(0.65803427), 'Kneel': np.float32(0.66627085), 'Pick up object': np.float32(0.6669458), 'Sit down': np.float32(0.6680427), 'Walk': np.float32(0.6602432)}
t=110 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6662682), 'Fall forward': np.float32(0.6593196), 'Fall left': np.float32(0.6691075), 'Fall right': np.float32(0.6671174), 'Fall sitting': np.float32(0.6775811), 'Hop': np.float32(0.6582448), 'Kneel': np.float32(0.6665995), 'Pick up object': np.float32(0.66724384), 'Sit down': np.float32(0.66828996), 'Walk': np.float32(0.6604781)}
t=115 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66661537), 'Fall forward': np.float32(0.6595153), 'Fall left': np.float32(0.66944647), 'Fall right': np.float32(0.6674258), 'Fall sitting': np.float32(0.67777675), 'Hop': np.float32(0.65835416), 'Kneel': np.float32(0.66673344), 'Pick up object': np.float32(0.66736776), 'Sit down': np.float32(0.6683577), 'Walk': np.float32(0.66060907)}
t=120 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6668875), 'Fall forward': np.float32(0.6595931), 'Fall left': np.float32(0.6697154), 'Fall right': np.float32(0.66763604), 'Fall sitting': np.float32(0.6778717), 'Hop': np.float32(0.658245), 'Kneel': np.float32(0.6667059), 'Pick up object': np.float32(0.66732866), 'Sit down': np.float32(0.6682475), 'Walk': np.float32(0.66054124)}
t=125 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6670559), 'Fall forward': np.float32(0.65957624), 'Fall left': np.float32(0.6698393), 'Fall right': np.float32(0.6677442), 'Fall sitting': np.float32(0.67782706), 'Hop': np.float32(0.6581152), 'Kneel': np.float32(0.66664886), 'Pick up object': np.float32(0.6672523), 'Sit down': np.float32(0.66818553), 'Walk': np.float32(0.66043323)}
t=130 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66732115), 'Fall forward': np.float32(0.65963864), 'Fall left': np.float32(0.67005557), 'Fall right': np.float32(0.6679161), 'Fall sitting': np.float32(0.677794), 'Hop': np.float32(0.6579732), 'Kneel': np.float32(0.6666567), 'Pick up object': np.float32(0.66718835), 'Sit down': np.float32(0.66818416), 'Walk': np.float32(0.66032463)}
t=135 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6674509), 'Fall forward': np.float32(0.6596648), 'Fall left': np.float32(0.6701771), 'Fall right': np.float32(0.6679972), 'Fall sitting': np.float32(0.6778169), 'Hop': np.float32(0.65789956), 'Kneel': np.float32(0.6666791), 'Pick up object': np.float32(0.66717833), 'Sit down': np.float32(0.66822827), 'Walk': np.float32(0.6602812)}
t=140 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66738635), 'Fall forward': np.float32(0.65951663), 'Fall left': np.float32(0.6701585), 'Fall right': np.float32(0.66790897), 'Fall sitting': np.float32(0.6778573), 'Hop': np.float32(0.6577199), 'Kneel': np.float32(0.6665354), 'Pick up object': np.float32(0.6670887), 'Sit down': np.float32(0.66818917), 'Walk': np.float32(0.66012543)}
t=145 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66743475), 'Fall forward': np.float32(0.6594709), 'Fall left': np.float32(0.67021495), 'Fall right': np.float32(0.66792434), 'Fall sitting': np.float32(0.6779824), 'Hop': np.float32(0.6577099), 'Kneel': np.float32(0.6665106), 'Pick up object': np.float32(0.6671534), 'Sit down': np.float32(0.6682473), 'Walk': np.float32(0.6601088)}
t=150 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6675312), 'Fall forward': np.float32(0.65943354), 'Fall left': np.float32(0.67029876), 'Fall right': np.float32(0.6679808), 'Fall sitting': np.float32(0.678045), 'Hop': np.float32(0.65763384), 'Kneel': np.float32(0.6664918), 'Pick up object': np.float32(0.6671757), 'Sit down': np.float32(0.6682687), 'Walk': np.float32(0.6600385)}
t=155 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6675353), 'Fall forward': np.float32(0.6593409), 'Fall left': np.float32(0.67027175), 'Fall right': np.float32(0.66793936), 'Fall sitting': np.float32(0.6780404), 'Hop': np.float32(0.65750533), 'Kneel': np.float32(0.66641045), 'Pick up object': np.float32(0.6671362), 'Sit down': np.float32(0.6682017), 'Walk': np.float32(0.65989894)}
t=160 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66745335), 'Fall forward': np.float32(0.6592066), 'Fall left': np.float32(0.67016155), 'Fall right': np.float32(0.66781825), 'Fall sitting': np.float32(0.67798007), 'Hop': np.float32(0.65726227), 'Kneel': np.float32(0.66627324), 'Pick up object': np.float32(0.66701406), 'Sit down': np.float32(0.6680553), 'Walk': np.float32(0.6596783)}
t=165 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6674996), 'Fall forward': np.float32(0.65923953), 'Fall left': np.float32(0.67015845), 'Fall right': np.float32(0.6678188), 'Fall sitting': np.float32(0.67798674), 'Hop': np.float32(0.65713584), 'Kneel': np.float32(0.66626513), 'Pick up object': np.float32(0.66696864), 'Sit down': np.float32(0.66799235), 'Walk': np.float32(0.65957206)}
t=170 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66754115), 'Fall forward': np.float32(0.65921044), 'Fall left': np.float32(0.6701525), 'Fall right': np.float32(0.66781944), 'Fall sitting': np.float32(0.6779662), 'Hop': np.float32(0.6569695), 'Kneel': np.float32(0.66620725), 'Pick up object': np.float32(0.6668903), 'Sit down': np.float32(0.6679474), 'Walk': np.float32(0.6594157)}
t=175 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66753954), 'Fall forward': np.float32(0.659114), 'Fall left': np.float32(0.6700936), 'Fall right': np.float32(0.667786), 'Fall sitting': np.float32(0.6778687), 'Hop': np.float32(0.6567457), 'Kneel': np.float32(0.6660774), 'Pick up object': np.float32(0.6667418), 'Sit down': np.float32(0.6678188), 'Walk': np.float32(0.65918815)}
t=180 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6674785), 'Fall forward': np.float32(0.6589589), 'Fall left': np.float32(0.6699784), 'Fall right': np.float32(0.6676839), 'Fall sitting': np.float32(0.6777381), 'Hop': np.float32(0.656375), 'Kneel': np.float32(0.6658532), 'Pick up object': np.float32(0.66651), 'Sit down': np.float32(0.6675801), 'Walk': np.float32(0.65883654)}
t=185 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66738135), 'Fall forward': np.float32(0.65876675), 'Fall left': np.float32(0.6698347), 'Fall right': np.float32(0.66756064), 'Fall sitting': np.float32(0.6775994), 'Hop': np.float32(0.65605), 'Kneel': np.float32(0.6656109), 'Pick up object': np.float32(0.66629493), 'Sit down': np.float32(0.667371), 'Walk': np.float32(0.6585124)}
t=190 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66741925), 'Fall forward': np.float32(0.6587009), 'Fall left': np.float32(0.66983104), 'Fall right': np.float32(0.6675627), 'Fall sitting': np.float32(0.6775219), 'Hop': np.float32(0.6558606), 'Kneel': np.float32(0.6655042), 'Pick up object': np.float32(0.6661949), 'Sit down': np.float32(0.6673102), 'Walk': np.float32(0.6583205)}
t=195 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6676058), 'Fall forward': np.float32(0.65881056), 'Fall left': np.float32(0.6699994), 'Fall right': np.float32(0.6676947), 'Fall sitting': np.float32(0.67758423), 'Hop': np.float32(0.65587324), 'Kneel': np.float32(0.6655816), 'Pick up object': np.float32(0.6662654), 'Sit down': np.float32(0.6674364), 'Walk': np.float32(0.65832007)}
t=200 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6678495), 'Fall forward': np.float32(0.6589865), 'Fall left': np.float32(0.67024374), 'Fall right': np.float32(0.66791356), 'Fall sitting': np.float32(0.6776931), 'Hop': np.float32(0.65595376), 'Kneel': np.float32(0.6657069), 'Pick up object': np.float32(0.66641027), 'Sit down': np.float32(0.6676213), 'Walk': np.float32(0.65838605)}
t=205 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.66812336), 'Fall forward': np.float32(0.65925926), 'Fall left': np.float32(0.6705137), 'Fall right': np.float32(0.6681558), 'Fall sitting': np.float32(0.67778814), 'Hop': np.float32(0.65613383), 'Kneel': np.float32(0.6659249), 'Pick up object': np.float32(0.6665816), 'Sit down': np.float32(0.66782725), 'Walk': np.float32(0.65855706)}
