Ground Truth: Fall backwards

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.65764505), 'Fall forward': np.float32(0.65145546), 'Fall left': np.float32(0.6548994), 'Fall right': np.float32(0.65484333), 'Fall sitting': np.float32(0.64304477), 'Hop': np.float32(0.651289), 'Kneel': np.float32(0.6547424), 'Pick up object': np.float32(0.65310055), 'Sit down': np.float32(0.6525172), 'Walk': np.float32(0.6571788)}
t=70 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6679184), 'Fall forward': np.float32(0.66227424), 'Fall left': np.float32(0.6645777), 'Fall right': np.float32(0.6645364), 'Fall sitting': np.float32(0.65209144), 'Hop': np.float32(0.65844107), 'Kneel': np.float32(0.6629465), 'Pick up object': np.float32(0.6609564), 'Sit down': np.float32(0.6580003), 'Walk': np.float32(0.6637469)}
t=75 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6693322), 'Fall forward': np.float32(0.6636315), 'Fall left': np.float32(0.6657933), 'Fall right': np.float32(0.6656412), 'Fall sitting': np.float32(0.6538625), 'Hop': np.float32(0.65944844), 'Kneel': np.float32(0.66393477), 'Pick up object': np.float32(0.6621151), 'Sit down': np.float32(0.65879047), 'Walk': np.float32(0.66468775)}
t=80 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.669904), 'Fall forward': np.float32(0.6646202), 'Fall left': np.float32(0.6662843), 'Fall right': np.float32(0.66596633), 'Fall sitting': np.float32(0.65485525), 'Hop': np.float32(0.660386), 'Kneel': np.float32(0.6645421), 'Pick up object': np.float32(0.66289127), 'Sit down': np.float32(0.65878), 'Walk': np.float32(0.6655393)}
t=85 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67042243), 'Fall forward': np.float32(0.6651701), 'Fall left': np.float32(0.66672075), 'Fall right': np.float32(0.6662516), 'Fall sitting': np.float32(0.65556014), 'Hop': np.float32(0.66113913), 'Kneel': np.float32(0.66496783), 'Pick up object': np.float32(0.66356105), 'Sit down': np.float32(0.6590905), 'Walk': np.float32(0.6662019)}
t=90 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67138445), 'Fall forward': np.float32(0.6657864), 'Fall left': np.float32(0.66752464), 'Fall right': np.float32(0.66711223), 'Fall sitting': np.float32(0.6567501), 'Hop': np.float32(0.66111296), 'Kneel': np.float32(0.6654176), 'Pick up object': np.float32(0.6638854), 'Sit down': np.float32(0.6592737), 'Walk': np.float32(0.6660293)}
t=95 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6725439), 'Fall forward': np.float32(0.66675675), 'Fall left': np.float32(0.668611), 'Fall right': np.float32(0.667972), 'Fall sitting': np.float32(0.657976), 'Hop': np.float32(0.6616011), 'Kneel': np.float32(0.66614014), 'Pick up object': np.float32(0.66473985), 'Sit down': np.float32(0.6598103), 'Walk': np.float32(0.6663511)}
t=100 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6733902), 'Fall forward': np.float32(0.6674825), 'Fall left': np.float32(0.66941774), 'Fall right': np.float32(0.6686525), 'Fall sitting': np.float32(0.65901583), 'Hop': np.float32(0.6617099), 'Kneel': np.float32(0.6665801), 'Pick up object': np.float32(0.6652353), 'Sit down': np.float32(0.66001934), 'Walk': np.float32(0.666296)}
t=105 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6736453), 'Fall forward': np.float32(0.6677485), 'Fall left': np.float32(0.6696898), 'Fall right': np.float32(0.66883314), 'Fall sitting': np.float32(0.65944505), 'Hop': np.float32(0.661418), 'Kneel': np.float32(0.6666427), 'Pick up object': np.float32(0.66513234), 'Sit down': np.float32(0.6598328), 'Walk': np.float32(0.66583455)}
t=110 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6733828), 'Fall forward': np.float32(0.6674773), 'Fall left': np.float32(0.6694054), 'Fall right': np.float32(0.66844493), 'Fall sitting': np.float32(0.6593628), 'Hop': np.float32(0.660586), 'Kneel': np.float32(0.6661501), 'Pick up object': np.float32(0.6644449), 'Sit down': np.float32(0.6590385), 'Walk': np.float32(0.6648265)}
t=115 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67288744), 'Fall forward': np.float32(0.66690534), 'Fall left': np.float32(0.6689133), 'Fall right': np.float32(0.6677961), 'Fall sitting': np.float32(0.6590123), 'Hop': np.float32(0.6596261), 'Kneel': np.float32(0.6654515), 'Pick up object': np.float32(0.66372204), 'Sit down': np.float32(0.65816784), 'Walk': np.float32(0.66375613)}
