Ground Truth: Sit down

t=15 | pred=Pick up object | scores={'Fall backwards': np.float32(0.64221793), 'Fall forward': np.float32(0.6404034), 'Fall left': np.float32(0.64569485), 'Fall right': np.float32(0.64242625), 'Fall sitting': np.float32(0.64835095), 'Hop': np.float32(0.6537414), 'Kneel': np.float32(0.6492138), 'Pick up object': np.float32(0.654114), 'Sit down': np.float32(0.6515455), 'Walk': np.float32(0.6525953)}
t=95 | pred=Sit down | scores={'Fall backwards': np.float32(0.6608621), 'Fall forward': np.float32(0.65299076), 'Fall left': np.float32(0.66208893), 'Fall right': np.float32(0.6610576), 'Fall sitting': np.float32(0.6609144), 'Hop': np.float32(0.65813756), 'Kneel': np.float32(0.6643417), 'Pick up object': np.float32(0.6642915), 'Sit down': np.float32(0.67430174), 'Walk': np.float32(0.6596113)}
t=100 | pred=Sit down | scores={'Fall backwards': np.float32(0.6602132), 'Fall forward': np.float32(0.65193164), 'Fall left': np.float32(0.6611392), 'Fall right': np.float32(0.66031325), 'Fall sitting': np.float32(0.6605614), 'Hop': np.float32(0.6565146), 'Kneel': np.float32(0.66329986), 'Pick up object': np.float32(0.6632479), 'Sit down': np.float32(0.673876), 'Walk': np.float32(0.6583326)}
t=105 | pred=Sit down | scores={'Fall backwards': np.float32(0.6593788), 'Fall forward': np.float32(0.6508297), 'Fall left': np.float32(0.6601167), 'Fall right': np.float32(0.6594085), 'Fall sitting': np.float32(0.65981233), 'Hop': np.float32(0.6550132), 'Kneel': np.float32(0.66226596), 'Pick up object': np.float32(0.662186), 'Sit down': np.float32(0.6732164), 'Walk': np.float32(0.6570202)}
t=110 | pred=Sit down | scores={'Fall backwards': np.float32(0.6587483), 'Fall forward': np.float32(0.6498436), 'Fall left': np.float32(0.6593249), 'Fall right': np.float32(0.6586543), 'Fall sitting': np.float32(0.6590857), 'Hop': np.float32(0.6536957), 'Kneel': np.float32(0.6613905), 'Pick up object': np.float32(0.6613529), 'Sit down': np.float32(0.6727089), 'Walk': np.float32(0.65579104)}
t=115 | pred=Sit down | scores={'Fall backwards': np.float32(0.6590509), 'Fall forward': np.float32(0.6497619), 'Fall left': np.float32(0.65953463), 'Fall right': np.float32(0.6588467), 'Fall sitting': np.float32(0.6591001), 'Hop': np.float32(0.65341985), 'Kneel': np.float32(0.6614753), 'Pick up object': np.float32(0.6614442), 'Sit down': np.float32(0.6730468), 'Walk': np.float32(0.65555596)}
t=120 | pred=Sit down | scores={'Fall backwards': np.float32(0.66035485), 'Fall forward': np.float32(0.65082127), 'Fall left': np.float32(0.66081136), 'Fall right': np.float32(0.66004336), 'Fall sitting': np.float32(0.66022253), 'Hop': np.float32(0.6542087), 'Kneel': np.float32(0.66259974), 'Pick up object': np.float32(0.66259825), 'Sit down': np.float32(0.6743254), 'Walk': np.float32(0.6564115)}
t=125 | pred=Sit down | scores={'Fall backwards': np.float32(0.661445), 'Fall forward': np.float32(0.65179396), 'Fall left': np.float32(0.661939), 'Fall right': np.float32(0.661051), 'Fall sitting': np.float32(0.6611211), 'Hop': np.float32(0.6551024), 'Kneel': np.float32(0.6636931), 'Pick up object': np.float32(0.6636766), 'Sit down': np.float32(0.6753489), 'Walk': np.float32(0.6573347)}
t=130 | pred=Sit down | scores={'Fall backwards': np.float32(0.6623043), 'Fall forward': np.float32(0.65256363), 'Fall left': np.float32(0.662795), 'Fall right': np.float32(0.66176504), 'Fall sitting': np.float32(0.66172844), 'Hop': np.float32(0.65569615), 'Kneel': np.float32(0.66456455), 'Pick up object': np.float32(0.6645056), 'Sit down': np.float32(0.67602533), 'Walk': np.float32(0.6579863)}
t=135 | pred=Sit down | scores={'Fall backwards': np.float32(0.662986), 'Fall forward': np.float32(0.65319633), 'Fall left': np.float32(0.66350126), 'Fall right': np.float32(0.6623162), 'Fall sitting': np.float32(0.6621971), 'Hop': np.float32(0.656197), 'Kneel': np.float32(0.6652446), 'Pick up object': np.float32(0.6651913), 'Sit down': np.float32(0.67653173), 'Walk': np.float32(0.6585487)}
t=140 | pred=Sit down | scores={'Fall backwards': np.float32(0.66329473), 'Fall forward': np.float32(0.6533711), 'Fall left': np.float32(0.6637328), 'Fall right': np.float32(0.6624423), 'Fall sitting': np.float32(0.66220784), 'Hop': np.float32(0.6561179), 'Kneel': np.float32(0.6653784), 'Pick up object': np.float32(0.66532713), 'Sit down': np.float32(0.676539), 'Walk': np.float32(0.6585724)}
t=145 | pred=Sit down | scores={'Fall backwards': np.float32(0.66346955), 'Fall forward': np.float32(0.6534727), 'Fall left': np.float32(0.6639018), 'Fall right': np.float32(0.6625215), 'Fall sitting': np.float32(0.6621917), 'Hop': np.float32(0.65612406), 'Kneel': np.float32(0.6655022), 'Pick up object': np.float32(0.66547406), 'Sit down': np.float32(0.676577), 'Walk': np.float32(0.6586397)}
t=150 | pred=Sit down | scores={'Fall backwards': np.float32(0.66343707), 'Fall forward': np.float32(0.65338254), 'Fall left': np.float32(0.663836), 'Fall right': np.float32(0.66232806), 'Fall sitting': np.float32(0.6619599), 'Hop': np.float32(0.65586936), 'Kneel': np.float32(0.665412), 'Pick up object': np.float32(0.66541594), 'Sit down': np.float32(0.6764249), 'Walk': np.float32(0.65844464)}
t=155 | pred=Sit down | scores={'Fall backwards': np.float32(0.6635326), 'Fall forward': np.float32(0.65341216), 'Fall left': np.float32(0.6638999), 'Fall right': np.float32(0.6622365), 'Fall sitting': np.float32(0.66191155), 'Hop': np.float32(0.65587664), 'Kneel': np.float32(0.6654116), 'Pick up object': np.float32(0.6655007), 'Sit down': np.float32(0.6764752), 'Walk': np.float32(0.6584775)}
t=160 | pred=Sit down | scores={'Fall backwards': np.float32(0.663487), 'Fall forward': np.float32(0.653107), 'Fall left': np.float32(0.6637851), 'Fall right': np.float32(0.6619326), 'Fall sitting': np.float32(0.6617659), 'Hop': np.float32(0.65563434), 'Kneel': np.float32(0.66516656), 'Pick up object': np.float32(0.66539425), 'Sit down': np.float32(0.6764416), 'Walk': np.float32(0.6582985)}
t=165 | pred=Sit down | scores={'Fall backwards': np.float32(0.66356605), 'Fall forward': np.float32(0.6530551), 'Fall left': np.float32(0.6638586), 'Fall right': np.float32(0.6618149), 'Fall sitting': np.float32(0.6618112), 'Hop': np.float32(0.6556957), 'Kneel': np.float32(0.6651588), 'Pick up object': np.float32(0.6655524), 'Sit down': np.float32(0.676642), 'Walk': np.float32(0.658365)}
t=170 | pred=Sit down | scores={'Fall backwards': np.float32(0.66367054), 'Fall forward': np.float32(0.65302247), 'Fall left': np.float32(0.6639797), 'Fall right': np.float32(0.66172093), 'Fall sitting': np.float32(0.66189754), 'Hop': np.float32(0.6557249), 'Kneel': np.float32(0.66517466), 'Pick up object': np.float32(0.66567713), 'Sit down': np.float32(0.67690444), 'Walk': np.float32(0.65837)}
t=175 | pred=Sit down | scores={'Fall backwards': np.float32(0.6638579), 'Fall forward': np.float32(0.6531351), 'Fall left': np.float32(0.66417205), 'Fall right': np.float32(0.6617212), 'Fall sitting': np.float32(0.6620732), 'Hop': np.float32(0.6558224), 'Kneel': np.float32(0.6652816), 'Pick up object': np.float32(0.6658023), 'Sit down': np.float32(0.6771819), 'Walk': np.float32(0.658453)}
t=180 | pred=Sit down | scores={'Fall backwards': np.float32(0.6642005), 'Fall forward': np.float32(0.6533548), 'Fall left': np.float32(0.66449094), 'Fall right': np.float32(0.66186374), 'Fall sitting': np.float32(0.6623642), 'Hop': np.float32(0.6559436), 'Kneel': np.float32(0.66546524), 'Pick up object': np.float32(0.66601574), 'Sit down': np.float32(0.6775821), 'Walk': np.float32(0.65860975)}
t=185 | pred=Sit down | scores={'Fall backwards': np.float32(0.6642751), 'Fall forward': np.float32(0.6533313), 'Fall left': np.float32(0.6645431), 'Fall right': np.float32(0.66177756), 'Fall sitting': np.float32(0.6623963), 'Hop': np.float32(0.65589476), 'Kneel': np.float32(0.6654299), 'Pick up object': np.float32(0.6660239), 'Sit down': np.float32(0.6776891), 'Walk': np.float32(0.6585527)}
t=190 | pred=Sit down | scores={'Fall backwards': np.float32(0.66431373), 'Fall forward': np.float32(0.65330267), 'Fall left': np.float32(0.6645601), 'Fall right': np.float32(0.6616259), 'Fall sitting': np.float32(0.6623952), 'Hop': np.float32(0.6557944), 'Kneel': np.float32(0.665358), 'Pick up object': np.float32(0.66598326), 'Sit down': np.float32(0.6777844), 'Walk': np.float32(0.65847033)}
t=195 | pred=Sit down | scores={'Fall backwards': np.float32(0.66411924), 'Fall forward': np.float32(0.65306175), 'Fall left': np.float32(0.6643517), 'Fall right': np.float32(0.66128504), 'Fall sitting': np.float32(0.66218346), 'Hop': np.float32(0.655527), 'Kneel': np.float32(0.66508204), 'Pick up object': np.float32(0.66572326), 'Sit down': np.float32(0.67765933), 'Walk': np.float32(0.6582075)}
t=200 | pred=Sit down | scores={'Fall backwards': np.float32(0.6640842), 'Fall forward': np.float32(0.6529536), 'Fall left': np.float32(0.6643044), 'Fall right': np.float32(0.6611064), 'Fall sitting': np.float32(0.662095), 'Hop': np.float32(0.6553324), 'Kneel': np.float32(0.66492116), 'Pick up object': np.float32(0.6655808), 'Sit down': np.float32(0.6776784), 'Walk': np.float32(0.6580621)}
t=205 | pred=Sit down | scores={'Fall backwards': np.float32(0.6642661), 'Fall forward': np.float32(0.65314764), 'Fall left': np.float32(0.6644764), 'Fall right': np.float32(0.6612291), 'Fall sitting': np.float32(0.6622384), 'Hop': np.float32(0.65538776), 'Kneel': np.float32(0.66504985), 'Pick up object': np.float32(0.66566265), 'Sit down': np.float32(0.6779211), 'Walk': np.float32(0.6581771)}
t=210 | pred=Sit down | scores={'Fall backwards': np.float32(0.6644779), 'Fall forward': np.float32(0.65336937), 'Fall left': np.float32(0.6646828), 'Fall right': np.float32(0.66140866), 'Fall sitting': np.float32(0.6624868), 'Hop': np.float32(0.6554992), 'Kneel': np.float32(0.66524184), 'Pick up object': np.float32(0.6658068), 'Sit down': np.float32(0.6782975), 'Walk': np.float32(0.65837306)}
t=215 | pred=Sit down | scores={'Fall backwards': np.float32(0.6646843), 'Fall forward': np.float32(0.6535685), 'Fall left': np.float32(0.66487706), 'Fall right': np.float32(0.6615926), 'Fall sitting': np.float32(0.662749), 'Hop': np.float32(0.65568197), 'Kneel': np.float32(0.6654638), 'Pick up object': np.float32(0.6660036), 'Sit down': np.float32(0.6786753), 'Walk': np.float32(0.6586105)}
t=220 | pred=Sit down | scores={'Fall backwards': np.float32(0.6647429), 'Fall forward': np.float32(0.65361464), 'Fall left': np.float32(0.6649202), 'Fall right': np.float32(0.661609), 'Fall sitting': np.float32(0.6629045), 'Hop': np.float32(0.6556521), 'Kneel': np.float32(0.66553557), 'Pick up object': np.float32(0.6660208), 'Sit down': np.float32(0.67887676), 'Walk': np.float32(0.6586637)}
t=225 | pred=Sit down | scores={'Fall backwards': np.float32(0.6647934), 'Fall forward': np.float32(0.65370005), 'Fall left': np.float32(0.6649854), 'Fall right': np.float32(0.6616524), 'Fall sitting': np.float32(0.6630035), 'Hop': np.float32(0.6556873), 'Kneel': np.float32(0.66566044), 'Pick up object': np.float32(0.6660827), 'Sit down': np.float32(0.67902553), 'Walk': np.float32(0.658763)}
t=230 | pred=Sit down | scores={'Fall backwards': np.float32(0.6648125), 'Fall forward': np.float32(0.6537742), 'Fall left': np.float32(0.6650225), 'Fall right': np.float32(0.6616663), 'Fall sitting': np.float32(0.66309553), 'Hop': np.float32(0.65568274), 'Kneel': np.float32(0.6657627), 'Pick up object': np.float32(0.6661218), 'Sit down': np.float32(0.6791292), 'Walk': np.float32(0.65882367)}
t=235 | pred=Sit down | scores={'Fall backwards': np.float32(0.6649648), 'Fall forward': np.float32(0.6539836), 'Fall left': np.float32(0.665187), 'Fall right': np.float32(0.6618235), 'Fall sitting': np.float32(0.6632926), 'Hop': np.float32(0.655779), 'Kneel': np.float32(0.6659763), 'Pick up object': np.float32(0.6662581), 'Sit down': np.float32(0.6792512), 'Walk': np.float32(0.65893704)}
t=240 | pred=Sit down | scores={'Fall backwards': np.float32(0.6651165), 'Fall forward': np.float32(0.6541337), 'Fall left': np.float32(0.66531384), 'Fall right': np.float32(0.66195655), 'Fall sitting': np.float32(0.6634919), 'Hop': np.float32(0.65577126), 'Kneel': np.float32(0.6661057), 'Pick up object': np.float32(0.66630626), 'Sit down': np.float32(0.679307), 'Walk': np.float32(0.6589664)}
t=245 | pred=Sit down | scores={'Fall backwards': np.float32(0.6650009), 'Fall forward': np.float32(0.65398264), 'Fall left': np.float32(0.66519296), 'Fall right': np.float32(0.66186243), 'Fall sitting': np.float32(0.6634357), 'Hop': np.float32(0.6555459), 'Kneel': np.float32(0.6659943), 'Pick up object': np.float32(0.66616136), 'Sit down': np.float32(0.6792278), 'Walk': np.float32(0.65872604)}
t=250 | pred=Sit down | scores={'Fall backwards': np.float32(0.66482043), 'Fall forward': np.float32(0.65367657), 'Fall left': np.float32(0.6650009), 'Fall right': np.float32(0.6617087), 'Fall sitting': np.float32(0.6633305), 'Hop': np.float32(0.6552545), 'Kneel': np.float32(0.6657618), 'Pick up object': np.float32(0.6660031), 'Sit down': np.float32(0.6791098), 'Walk': np.float32(0.6583818)}
t=255 | pred=Sit down | scores={'Fall backwards': np.float32(0.66466504), 'Fall forward': np.float32(0.65341234), 'Fall left': np.float32(0.6648711), 'Fall right': np.float32(0.6616162), 'Fall sitting': np.float32(0.6633092), 'Hop': np.float32(0.6551168), 'Kneel': np.float32(0.6656262), 'Pick up object': np.float32(0.6659761), 'Sit down': np.float32(0.6790676), 'Walk': np.float32(0.65816015)}
t=260 | pred=Sit down | scores={'Fall backwards': np.float32(0.6645613), 'Fall forward': np.float32(0.6532453), 'Fall left': np.float32(0.6647951), 'Fall right': np.float32(0.6615455), 'Fall sitting': np.float32(0.66333336), 'Hop': np.float32(0.65501434), 'Kneel': np.float32(0.66551554), 'Pick up object': np.float32(0.6659569), 'Sit down': np.float32(0.67899483), 'Walk': np.float32(0.6580077)}
