Ground Truth: Fall backwards

t=15 | pred=Fall left | scores={'Fall backwards': np.float32(0.6624294), 'Fall forward': np.float32(0.6561521), 'Fall left': np.float32(0.6633936), 'Fall right': np.float32(0.6613809), 'Fall sitting': np.float32(0.6470649), 'Hop': np.float32(0.6553778), 'Kneel': np.float32(0.6586683), 'Pick up object': np.float32(0.65641165), 'Sit down': np.float32(0.653315), 'Walk': np.float32(0.66052735)}
t=70 | pred=Fall left | scores={'Fall backwards': np.float32(0.6686815), 'Fall forward': np.float32(0.665006), 'Fall left': np.float32(0.66938883), 'Fall right': np.float32(0.66691434), 'Fall sitting': np.float32(0.65619355), 'Hop': np.float32(0.66291535), 'Kneel': np.float32(0.6656067), 'Pick up object': np.float32(0.66324747), 'Sit down': np.float32(0.65950847), 'Walk': np.float32(0.66644245)}
t=75 | pred=Fall left | scores={'Fall backwards': np.float32(0.6696012), 'Fall forward': np.float32(0.66607565), 'Fall left': np.float32(0.67012084), 'Fall right': np.float32(0.66756916), 'Fall sitting': np.float32(0.6568924), 'Hop': np.float32(0.6627726), 'Kneel': np.float32(0.6660445), 'Pick up object': np.float32(0.6631905), 'Sit down': np.float32(0.6594939), 'Walk': np.float32(0.6663005)}
t=80 | pred=Fall left | scores={'Fall backwards': np.float32(0.67036927), 'Fall forward': np.float32(0.6669004), 'Fall left': np.float32(0.6706451), 'Fall right': np.float32(0.66808), 'Fall sitting': np.float32(0.6573295), 'Hop': np.float32(0.6625561), 'Kneel': np.float32(0.66636103), 'Pick up object': np.float32(0.66310096), 'Sit down': np.float32(0.6593135), 'Walk': np.float32(0.66600966)}
t=85 | pred=Fall left | scores={'Fall backwards': np.float32(0.67099154), 'Fall forward': np.float32(0.6676487), 'Fall left': np.float32(0.6710468), 'Fall right': np.float32(0.66850567), 'Fall sitting': np.float32(0.6577227), 'Hop': np.float32(0.662565), 'Kneel': np.float32(0.66674256), 'Pick up object': np.float32(0.6632146), 'Sit down': np.float32(0.65917635), 'Walk': np.float32(0.66594714)}
t=90 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6714879), 'Fall forward': np.float32(0.66821015), 'Fall left': np.float32(0.67127645), 'Fall right': np.float32(0.66877276), 'Fall sitting': np.float32(0.6579767), 'Hop': np.float32(0.6623838), 'Kneel': np.float32(0.66691935), 'Pick up object': np.float32(0.66316944), 'Sit down': np.float32(0.6589689), 'Walk': np.float32(0.6656991)}
t=95 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67204213), 'Fall forward': np.float32(0.66860974), 'Fall left': np.float32(0.6717274), 'Fall right': np.float32(0.66925544), 'Fall sitting': np.float32(0.65830576), 'Hop': np.float32(0.6624354), 'Kneel': np.float32(0.6671765), 'Pick up object': np.float32(0.66337407), 'Sit down': np.float32(0.65908486), 'Walk': np.float32(0.6657164)}
t=100 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67243487), 'Fall forward': np.float32(0.66883206), 'Fall left': np.float32(0.6721107), 'Fall right': np.float32(0.66961706), 'Fall sitting': np.float32(0.6584824), 'Hop': np.float32(0.662362), 'Kneel': np.float32(0.667385), 'Pick up object': np.float32(0.66346496), 'Sit down': np.float32(0.65912443), 'Walk': np.float32(0.66560835)}
t=105 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6725296), 'Fall forward': np.float32(0.6686958), 'Fall left': np.float32(0.67220014), 'Fall right': np.float32(0.66973305), 'Fall sitting': np.float32(0.65838623), 'Hop': np.float32(0.66221833), 'Kneel': np.float32(0.66728944), 'Pick up object': np.float32(0.66339076), 'Sit down': np.float32(0.6589576), 'Walk': np.float32(0.6654302)}
t=110 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67270654), 'Fall forward': np.float32(0.6687321), 'Fall left': np.float32(0.67236954), 'Fall right': np.float32(0.6699129), 'Fall sitting': np.float32(0.6583283), 'Hop': np.float32(0.66208154), 'Kneel': np.float32(0.6673227), 'Pick up object': np.float32(0.6633976), 'Sit down': np.float32(0.6588538), 'Walk': np.float32(0.66526186)}
t=115 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6727168), 'Fall forward': np.float32(0.6685047), 'Fall left': np.float32(0.6723101), 'Fall right': np.float32(0.66987085), 'Fall sitting': np.float32(0.6581227), 'Hop': np.float32(0.66178495), 'Kneel': np.float32(0.667111), 'Pick up object': np.float32(0.6631968), 'Sit down': np.float32(0.65859985), 'Walk': np.float32(0.6649446)}
t=120 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6728156), 'Fall forward': np.float32(0.6684616), 'Fall left': np.float32(0.67232937), 'Fall right': np.float32(0.6699003), 'Fall sitting': np.float32(0.6580632), 'Hop': np.float32(0.66149616), 'Kneel': np.float32(0.66697806), 'Pick up object': np.float32(0.6630744), 'Sit down': np.float32(0.65831083), 'Walk': np.float32(0.6646587)}
t=125 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6732402), 'Fall forward': np.float32(0.6688791), 'Fall left': np.float32(0.6726774), 'Fall right': np.float32(0.67025626), 'Fall sitting': np.float32(0.65830827), 'Hop': np.float32(0.6616955), 'Kneel': np.float32(0.6672647), 'Pick up object': np.float32(0.66339177), 'Sit down': np.float32(0.6584905), 'Walk': np.float32(0.66488713)}
t=130 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6735969), 'Fall forward': np.float32(0.66912013), 'Fall left': np.float32(0.67289805), 'Fall right': np.float32(0.67052984), 'Fall sitting': np.float32(0.6584854), 'Hop': np.float32(0.66169316), 'Kneel': np.float32(0.66737413), 'Pick up object': np.float32(0.66355133), 'Sit down': np.float32(0.6585655), 'Walk': np.float32(0.6648917)}
t=135 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6738449), 'Fall forward': np.float32(0.66934115), 'Fall left': np.float32(0.67305547), 'Fall right': np.float32(0.67070454), 'Fall sitting': np.float32(0.6586489), 'Hop': np.float32(0.66168827), 'Kneel': np.float32(0.6674975), 'Pick up object': np.float32(0.66367567), 'Sit down': np.float32(0.6586624), 'Walk': np.float32(0.6649208)}
t=140 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67403036), 'Fall forward': np.float32(0.6696282), 'Fall left': np.float32(0.67322874), 'Fall right': np.float32(0.6708528), 'Fall sitting': np.float32(0.6588496), 'Hop': np.float32(0.66164523), 'Kneel': np.float32(0.6676299), 'Pick up object': np.float32(0.6637576), 'Sit down': np.float32(0.65870154), 'Walk': np.float32(0.6649065)}
t=145 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67410284), 'Fall forward': np.float32(0.669749), 'Fall left': np.float32(0.6732585), 'Fall right': np.float32(0.6708611), 'Fall sitting': np.float32(0.65890414), 'Hop': np.float32(0.66158193), 'Kneel': np.float32(0.6676622), 'Pick up object': np.float32(0.663756), 'Sit down': np.float32(0.6586764), 'Walk': np.float32(0.66486573)}
t=150 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6741671), 'Fall forward': np.float32(0.6697483), 'Fall left': np.float32(0.6732539), 'Fall right': np.float32(0.6708558), 'Fall sitting': np.float32(0.65888363), 'Hop': np.float32(0.66143626), 'Kneel': np.float32(0.667657), 'Pick up object': np.float32(0.6636476), 'Sit down': np.float32(0.6586363), 'Walk': np.float32(0.66468126)}
t=155 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6741309), 'Fall forward': np.float32(0.66967016), 'Fall left': np.float32(0.67318726), 'Fall right': np.float32(0.67077696), 'Fall sitting': np.float32(0.65875113), 'Hop': np.float32(0.6612575), 'Kneel': np.float32(0.667581), 'Pick up object': np.float32(0.66347677), 'Sit down': np.float32(0.658527), 'Walk': np.float32(0.66447145)}
t=160 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67400885), 'Fall forward': np.float32(0.6695161), 'Fall left': np.float32(0.6730631), 'Fall right': np.float32(0.67065024), 'Fall sitting': np.float32(0.658597), 'Hop': np.float32(0.66098326), 'Kneel': np.float32(0.6674409), 'Pick up object': np.float32(0.663231), 'Sit down': np.float32(0.6583418), 'Walk': np.float32(0.6641383)}
t=165 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6738977), 'Fall forward': np.float32(0.66934836), 'Fall left': np.float32(0.67293435), 'Fall right': np.float32(0.6705355), 'Fall sitting': np.float32(0.658449), 'Hop': np.float32(0.6607638), 'Kneel': np.float32(0.6672958), 'Pick up object': np.float32(0.66301334), 'Sit down': np.float32(0.65819377), 'Walk': np.float32(0.6638765)}
