Ground Truth: Kneel

t=15 | pred=Fall left | scores={'Fall backwards': np.float32(0.65872353), 'Fall forward': np.float32(0.65472186), 'Fall left': np.float32(0.66082853), 'Fall right': np.float32(0.6556498), 'Fall sitting': np.float32(0.64788187), 'Hop': np.float32(0.65093064), 'Kneel': np.float32(0.65579677), 'Pick up object': np.float32(0.6551095), 'Sit down': np.float32(0.6520053), 'Walk': np.float32(0.6547439)}
t=145 | pred=Fall left | scores={'Fall backwards': np.float32(0.66585726), 'Fall forward': np.float32(0.6642705), 'Fall left': np.float32(0.6700144), 'Fall right': np.float32(0.66354644), 'Fall sitting': np.float32(0.6625676), 'Hop': np.float32(0.65853953), 'Kneel': np.float32(0.6683428), 'Pick up object': np.float32(0.6656396), 'Sit down': np.float32(0.663969), 'Walk': np.float32(0.66040146)}
t=150 | pred=Fall left | scores={'Fall backwards': np.float32(0.6662593), 'Fall forward': np.float32(0.6645988), 'Fall left': np.float32(0.67037785), 'Fall right': np.float32(0.6639334), 'Fall sitting': np.float32(0.6628834), 'Hop': np.float32(0.6588926), 'Kneel': np.float32(0.66879505), 'Pick up object': np.float32(0.66605204), 'Sit down': np.float32(0.66440195), 'Walk': np.float32(0.6607253)}
t=155 | pred=Fall left | scores={'Fall backwards': np.float32(0.66668963), 'Fall forward': np.float32(0.6649493), 'Fall left': np.float32(0.67079896), 'Fall right': np.float32(0.66440713), 'Fall sitting': np.float32(0.6632292), 'Hop': np.float32(0.65922976), 'Kneel': np.float32(0.6692716), 'Pick up object': np.float32(0.6664716), 'Sit down': np.float32(0.6649165), 'Walk': np.float32(0.66102123)}
t=160 | pred=Fall left | scores={'Fall backwards': np.float32(0.66716194), 'Fall forward': np.float32(0.6653128), 'Fall left': np.float32(0.67126286), 'Fall right': np.float32(0.66495305), 'Fall sitting': np.float32(0.66358525), 'Hop': np.float32(0.6594935), 'Kneel': np.float32(0.66979647), 'Pick up object': np.float32(0.6668041), 'Sit down': np.float32(0.66542876), 'Walk': np.float32(0.6612445)}
t=165 | pred=Fall left | scores={'Fall backwards': np.float32(0.66750115), 'Fall forward': np.float32(0.6655699), 'Fall left': np.float32(0.6716291), 'Fall right': np.float32(0.66533625), 'Fall sitting': np.float32(0.6639285), 'Hop': np.float32(0.6596911), 'Kneel': np.float32(0.6701646), 'Pick up object': np.float32(0.6670299), 'Sit down': np.float32(0.66582024), 'Walk': np.float32(0.66140974)}
t=170 | pred=Fall left | scores={'Fall backwards': np.float32(0.66783047), 'Fall forward': np.float32(0.6658808), 'Fall left': np.float32(0.6720239), 'Fall right': np.float32(0.66573805), 'Fall sitting': np.float32(0.6643333), 'Hop': np.float32(0.6600496), 'Kneel': np.float32(0.6706369), 'Pick up object': np.float32(0.6674148), 'Sit down': np.float32(0.66640574), 'Walk': np.float32(0.6617391)}
t=175 | pred=Fall left | scores={'Fall backwards': np.float32(0.6681801), 'Fall forward': np.float32(0.6663469), 'Fall left': np.float32(0.6723564), 'Fall right': np.float32(0.6661107), 'Fall sitting': np.float32(0.66462874), 'Hop': np.float32(0.660239), 'Kneel': np.float32(0.6710503), 'Pick up object': np.float32(0.66760004), 'Sit down': np.float32(0.6667665), 'Walk': np.float32(0.6619543)}
t=180 | pred=Fall left | scores={'Fall backwards': np.float32(0.66849697), 'Fall forward': np.float32(0.6668288), 'Fall left': np.float32(0.67261624), 'Fall right': np.float32(0.6664292), 'Fall sitting': np.float32(0.6649453), 'Hop': np.float32(0.6604496), 'Kneel': np.float32(0.671453), 'Pick up object': np.float32(0.66778713), 'Sit down': np.float32(0.66705763), 'Walk': np.float32(0.66218495)}
t=185 | pred=Fall left | scores={'Fall backwards': np.float32(0.66857177), 'Fall forward': np.float32(0.66706514), 'Fall left': np.float32(0.67266214), 'Fall right': np.float32(0.6665138), 'Fall sitting': np.float32(0.66499645), 'Hop': np.float32(0.66048366), 'Kneel': np.float32(0.67159414), 'Pick up object': np.float32(0.6678572), 'Sit down': np.float32(0.6671191), 'Walk': np.float32(0.6622789)}
t=190 | pred=Fall left | scores={'Fall backwards': np.float32(0.668535), 'Fall forward': np.float32(0.6671723), 'Fall left': np.float32(0.6726246), 'Fall right': np.float32(0.6665259), 'Fall sitting': np.float32(0.6650135), 'Hop': np.float32(0.66052276), 'Kneel': np.float32(0.67166394), 'Pick up object': np.float32(0.66790074), 'Sit down': np.float32(0.6670957), 'Walk': np.float32(0.6623621)}
t=195 | pred=Fall left | scores={'Fall backwards': np.float32(0.6685292), 'Fall forward': np.float32(0.66725075), 'Fall left': np.float32(0.67258483), 'Fall right': np.float32(0.66654736), 'Fall sitting': np.float32(0.66498613), 'Hop': np.float32(0.66056687), 'Kneel': np.float32(0.6716828), 'Pick up object': np.float32(0.6678992), 'Sit down': np.float32(0.66699207), 'Walk': np.float32(0.66243654)}
t=200 | pred=Fall left | scores={'Fall backwards': np.float32(0.6685657), 'Fall forward': np.float32(0.66739696), 'Fall left': np.float32(0.67259514), 'Fall right': np.float32(0.666618), 'Fall sitting': np.float32(0.6650816), 'Hop': np.float32(0.66071135), 'Kneel': np.float32(0.67177075), 'Pick up object': np.float32(0.6679915), 'Sit down': np.float32(0.6669291), 'Walk': np.float32(0.66260326)}
t=205 | pred=Fall left | scores={'Fall backwards': np.float32(0.66873574), 'Fall forward': np.float32(0.6676071), 'Fall left': np.float32(0.6727128), 'Fall right': np.float32(0.666763), 'Fall sitting': np.float32(0.6651897), 'Hop': np.float32(0.66088426), 'Kneel': np.float32(0.6718378), 'Pick up object': np.float32(0.66813004), 'Sit down': np.float32(0.6669013), 'Walk': np.float32(0.66283494)}
t=210 | pred=Fall left | scores={'Fall backwards': np.float32(0.6688362), 'Fall forward': np.float32(0.66779315), 'Fall left': np.float32(0.67279977), 'Fall right': np.float32(0.66687053), 'Fall sitting': np.float32(0.6653177), 'Hop': np.float32(0.6610758), 'Kneel': np.float32(0.67189145), 'Pick up object': np.float32(0.66833043), 'Sit down': np.float32(0.6668565), 'Walk': np.float32(0.6630972)}
