Ground Truth: Walk

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.66146255), 'Fall forward': np.float32(0.66494113), 'Fall left': np.float32(0.66548336), 'Fall right': np.float32(0.6627718), 'Fall sitting': np.float32(0.64749223), 'Hop': np.float32(0.6672964), 'Kneel': np.float32(0.66377145), 'Pick up object': np.float32(0.66330856), 'Sit down': np.float32(0.6573868), 'Walk': np.float32(0.6681929)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.6569425), 'Fall forward': np.float32(0.6595572), 'Fall left': np.float32(0.65989834), 'Fall right': np.float32(0.65627795), 'Fall sitting': np.float32(0.6489245), 'Hop': np.float32(0.66860014), 'Kneel': np.float32(0.66069543), 'Pick up object': np.float32(0.65998954), 'Sit down': np.float32(0.654076), 'Walk': np.float32(0.66701645)}
t=75 | pred=Hop | scores={'Fall backwards': np.float32(0.65666807), 'Fall forward': np.float32(0.6593691), 'Fall left': np.float32(0.65963465), 'Fall right': np.float32(0.65602547), 'Fall sitting': np.float32(0.6491532), 'Hop': np.float32(0.6682217), 'Kneel': np.float32(0.66060525), 'Pick up object': np.float32(0.66006106), 'Sit down': np.float32(0.6538523), 'Walk': np.float32(0.6664877)}
t=80 | pred=Hop | scores={'Fall backwards': np.float32(0.65680146), 'Fall forward': np.float32(0.6593304), 'Fall left': np.float32(0.65971494), 'Fall right': np.float32(0.65630496), 'Fall sitting': np.float32(0.64965934), 'Hop': np.float32(0.6682193), 'Kneel': np.float32(0.660787), 'Pick up object': np.float32(0.6605065), 'Sit down': np.float32(0.65410423), 'Walk': np.float32(0.66633826)}
t=85 | pred=Hop | scores={'Fall backwards': np.float32(0.65750504), 'Fall forward': np.float32(0.6598361), 'Fall left': np.float32(0.66034734), 'Fall right': np.float32(0.6571991), 'Fall sitting': np.float32(0.6504982), 'Hop': np.float32(0.66848433), 'Kneel': np.float32(0.6613764), 'Pick up object': np.float32(0.661155), 'Sit down': np.float32(0.6547911), 'Walk': np.float32(0.6665966)}
t=90 | pred=Hop | scores={'Fall backwards': np.float32(0.65832293), 'Fall forward': np.float32(0.6605066), 'Fall left': np.float32(0.6610564), 'Fall right': np.float32(0.65823174), 'Fall sitting': np.float32(0.65139484), 'Hop': np.float32(0.6687565), 'Kneel': np.float32(0.6621101), 'Pick up object': np.float32(0.6618633), 'Sit down': np.float32(0.6554671), 'Walk': np.float32(0.6668044)}
t=95 | pred=Hop | scores={'Fall backwards': np.float32(0.65894866), 'Fall forward': np.float32(0.6609138), 'Fall left': np.float32(0.6615821), 'Fall right': np.float32(0.65891373), 'Fall sitting': np.float32(0.65183765), 'Hop': np.float32(0.66863453), 'Kneel': np.float32(0.66254634), 'Pick up object': np.float32(0.6622465), 'Sit down': np.float32(0.6560377), 'Walk': np.float32(0.6667196)}
t=100 | pred=Hop | scores={'Fall backwards': np.float32(0.6599836), 'Fall forward': np.float32(0.66150063), 'Fall left': np.float32(0.6625494), 'Fall right': np.float32(0.66001767), 'Fall sitting': np.float32(0.6525524), 'Hop': np.float32(0.66885936), 'Kneel': np.float32(0.66332835), 'Pick up object': np.float32(0.66295165), 'Sit down': np.float32(0.6569884), 'Walk': np.float32(0.6669596)}
t=105 | pred=Hop | scores={'Fall backwards': np.float32(0.6607153), 'Fall forward': np.float32(0.6619993), 'Fall left': np.float32(0.6633491), 'Fall right': np.float32(0.6609241), 'Fall sitting': np.float32(0.65329707), 'Hop': np.float32(0.6693738), 'Kneel': np.float32(0.66406065), 'Pick up object': np.float32(0.6636607), 'Sit down': np.float32(0.6580441), 'Walk': np.float32(0.6674606)}
t=110 | pred=Hop | scores={'Fall backwards': np.float32(0.66134316), 'Fall forward': np.float32(0.6625246), 'Fall left': np.float32(0.66411126), 'Fall right': np.float32(0.6617657), 'Fall sitting': np.float32(0.65399724), 'Hop': np.float32(0.66996765), 'Kneel': np.float32(0.66485506), 'Pick up object': np.float32(0.66434896), 'Sit down': np.float32(0.65901256), 'Walk': np.float32(0.6679864)}
t=115 | pred=Hop | scores={'Fall backwards': np.float32(0.66175175), 'Fall forward': np.float32(0.66282755), 'Fall left': np.float32(0.66468155), 'Fall right': np.float32(0.6623744), 'Fall sitting': np.float32(0.6545531), 'Hop': np.float32(0.6702258), 'Kneel': np.float32(0.6654342), 'Pick up object': np.float32(0.6647198), 'Sit down': np.float32(0.65973365), 'Walk': np.float32(0.6682364)}
t=120 | pred=Hop | scores={'Fall backwards': np.float32(0.6614343), 'Fall forward': np.float32(0.6625258), 'Fall left': np.float32(0.6645797), 'Fall right': np.float32(0.6622144), 'Fall sitting': np.float32(0.65472746), 'Hop': np.float32(0.6699333), 'Kneel': np.float32(0.66546184), 'Pick up object': np.float32(0.6646302), 'Sit down': np.float32(0.6600317), 'Walk': np.float32(0.66793966)}
t=125 | pred=Hop | scores={'Fall backwards': np.float32(0.6609863), 'Fall forward': np.float32(0.6623111), 'Fall left': np.float32(0.66437), 'Fall right': np.float32(0.6619576), 'Fall sitting': np.float32(0.6546862), 'Hop': np.float32(0.66959924), 'Kneel': np.float32(0.66543084), 'Pick up object': np.float32(0.6644777), 'Sit down': np.float32(0.6600716), 'Walk': np.float32(0.6676434)}
t=130 | pred=Hop | scores={'Fall backwards': np.float32(0.6606833), 'Fall forward': np.float32(0.6621006), 'Fall left': np.float32(0.6642616), 'Fall right': np.float32(0.66181564), 'Fall sitting': np.float32(0.6547605), 'Hop': np.float32(0.66924465), 'Kneel': np.float32(0.6655047), 'Pick up object': np.float32(0.6643833), 'Sit down': np.float32(0.66024816), 'Walk': np.float32(0.6673113)}
t=135 | pred=Hop | scores={'Fall backwards': np.float32(0.6609062), 'Fall forward': np.float32(0.66232824), 'Fall left': np.float32(0.66460484), 'Fall right': np.float32(0.6621), 'Fall sitting': np.float32(0.65521973), 'Hop': np.float32(0.66922647), 'Kneel': np.float32(0.6659316), 'Pick up object': np.float32(0.6645948), 'Sit down': np.float32(0.6607187), 'Walk': np.float32(0.6672789)}
t=140 | pred=Hop | scores={'Fall backwards': np.float32(0.6617076), 'Fall forward': np.float32(0.6629861), 'Fall left': np.float32(0.6654609), 'Fall right': np.float32(0.6629422), 'Fall sitting': np.float32(0.6560466), 'Hop': np.float32(0.66960394), 'Kneel': np.float32(0.6667579), 'Pick up object': np.float32(0.66520983), 'Sit down': np.float32(0.66163635), 'Walk': np.float32(0.6676055)}
t=145 | pred=Hop | scores={'Fall backwards': np.float32(0.6623183), 'Fall forward': np.float32(0.6635964), 'Fall left': np.float32(0.6661222), 'Fall right': np.float32(0.66354614), 'Fall sitting': np.float32(0.65673834), 'Hop': np.float32(0.6700222), 'Kneel': np.float32(0.6673709), 'Pick up object': np.float32(0.66580427), 'Sit down': np.float32(0.66232216), 'Walk': np.float32(0.6679622)}
t=150 | pred=Hop | scores={'Fall backwards': np.float32(0.66262245), 'Fall forward': np.float32(0.66392905), 'Fall left': np.float32(0.6665142), 'Fall right': np.float32(0.6638804), 'Fall sitting': np.float32(0.6572706), 'Hop': np.float32(0.6703076), 'Kneel': np.float32(0.66778886), 'Pick up object': np.float32(0.66619307), 'Sit down': np.float32(0.6626955), 'Walk': np.float32(0.66819584)}
t=155 | pred=Hop | scores={'Fall backwards': np.float32(0.6626153), 'Fall forward': np.float32(0.6639208), 'Fall left': np.float32(0.666526), 'Fall right': np.float32(0.6638149), 'Fall sitting': np.float32(0.65734845), 'Hop': np.float32(0.6704937), 'Kneel': np.float32(0.66784924), 'Pick up object': np.float32(0.66626954), 'Sit down': np.float32(0.66261953), 'Walk': np.float32(0.6682937)}
t=160 | pred=Hop | scores={'Fall backwards': np.float32(0.6628295), 'Fall forward': np.float32(0.6641503), 'Fall left': np.float32(0.6667344), 'Fall right': np.float32(0.6639748), 'Fall sitting': np.float32(0.6576515), 'Hop': np.float32(0.6707625), 'Kneel': np.float32(0.66814786), 'Pick up object': np.float32(0.66654813), 'Sit down': np.float32(0.6627945), 'Walk': np.float32(0.6685463)}
t=165 | pred=Hop | scores={'Fall backwards': np.float32(0.66309434), 'Fall forward': np.float32(0.6643842), 'Fall left': np.float32(0.66695637), 'Fall right': np.float32(0.6641653), 'Fall sitting': np.float32(0.65792733), 'Hop': np.float32(0.67122394), 'Kneel': np.float32(0.66843444), 'Pick up object': np.float32(0.6669038), 'Sit down': np.float32(0.6629322), 'Walk': np.float32(0.66899717)}
t=170 | pred=Hop | scores={'Fall backwards': np.float32(0.6632408), 'Fall forward': np.float32(0.6644662), 'Fall left': np.float32(0.66702384), 'Fall right': np.float32(0.66418135), 'Fall sitting': np.float32(0.6580134), 'Hop': np.float32(0.6715156), 'Kneel': np.float32(0.66857314), 'Pick up object': np.float32(0.6670524), 'Sit down': np.float32(0.66295826), 'Walk': np.float32(0.6694121)}
t=175 | pred=Hop | scores={'Fall backwards': np.float32(0.66310686), 'Fall forward': np.float32(0.6642598), 'Fall left': np.float32(0.6668434), 'Fall right': np.float32(0.66396916), 'Fall sitting': np.float32(0.6577182), 'Hop': np.float32(0.67161226), 'Kneel': np.float32(0.66844136), 'Pick up object': np.float32(0.66699004), 'Sit down': np.float32(0.662676), 'Walk': np.float32(0.6695965)}
t=180 | pred=Hop | scores={'Fall backwards': np.float32(0.662881), 'Fall forward': np.float32(0.6639314), 'Fall left': np.float32(0.6665792), 'Fall right': np.float32(0.66365427), 'Fall sitting': np.float32(0.6574003), 'Hop': np.float32(0.6715961), 'Kneel': np.float32(0.6682186), 'Pick up object': np.float32(0.66680974), 'Sit down': np.float32(0.662408), 'Walk': np.float32(0.6697099)}
t=185 | pred=Hop | scores={'Fall backwards': np.float32(0.66270775), 'Fall forward': np.float32(0.6635766), 'Fall left': np.float32(0.6663511), 'Fall right': np.float32(0.6633866), 'Fall sitting': np.float32(0.6571353), 'Hop': np.float32(0.6715999), 'Kneel': np.float32(0.6679815), 'Pick up object': np.float32(0.6666592), 'Sit down': np.float32(0.6621323), 'Walk': np.float32(0.6697806)}
t=190 | pred=Hop | scores={'Fall backwards': np.float32(0.66257626), 'Fall forward': np.float32(0.66330963), 'Fall left': np.float32(0.6661878), 'Fall right': np.float32(0.66319174), 'Fall sitting': np.float32(0.65697724), 'Hop': np.float32(0.67161465), 'Kneel': np.float32(0.6678069), 'Pick up object': np.float32(0.66654134), 'Sit down': np.float32(0.66187817), 'Walk': np.float32(0.6699342)}
t=195 | pred=Hop | scores={'Fall backwards': np.float32(0.66244286), 'Fall forward': np.float32(0.66306555), 'Fall left': np.float32(0.6660305), 'Fall right': np.float32(0.6630049), 'Fall sitting': np.float32(0.6567777), 'Hop': np.float32(0.67165196), 'Kneel': np.float32(0.6676249), 'Pick up object': np.float32(0.66642237), 'Sit down': np.float32(0.6616484), 'Walk': np.float32(0.6700428)}
t=200 | pred=Hop | scores={'Fall backwards': np.float32(0.66245073), 'Fall forward': np.float32(0.66304034), 'Fall left': np.float32(0.66601014), 'Fall right': np.float32(0.66291887), 'Fall sitting': np.float32(0.6568398), 'Hop': np.float32(0.671681), 'Kneel': np.float32(0.66757554), 'Pick up object': np.float32(0.6663984), 'Sit down': np.float32(0.6615921), 'Walk': np.float32(0.67025316)}
t=205 | pred=Hop | scores={'Fall backwards': np.float32(0.66259813), 'Fall forward': np.float32(0.66318464), 'Fall left': np.float32(0.6660981), 'Fall right': np.float32(0.6629969), 'Fall sitting': np.float32(0.6569337), 'Hop': np.float32(0.6718729), 'Kneel': np.float32(0.6675957), 'Pick up object': np.float32(0.6664939), 'Sit down': np.float32(0.66159064), 'Walk': np.float32(0.6705757)}
t=210 | pred=Hop | scores={'Fall backwards': np.float32(0.6628281), 'Fall forward': np.float32(0.6633349), 'Fall left': np.float32(0.6662373), 'Fall right': np.float32(0.66313577), 'Fall sitting': np.float32(0.65702146), 'Hop': np.float32(0.67211217), 'Kneel': np.float32(0.66763926), 'Pick up object': np.float32(0.6666744), 'Sit down': np.float32(0.6616667), 'Walk': np.float32(0.6709576)}
t=215 | pred=Hop | scores={'Fall backwards': np.float32(0.66291994), 'Fall forward': np.float32(0.66336846), 'Fall left': np.float32(0.66625255), 'Fall right': np.float32(0.6631683), 'Fall sitting': np.float32(0.6569261), 'Hop': np.float32(0.67223644), 'Kneel': np.float32(0.6676116), 'Pick up object': np.float32(0.6667188), 'Sit down': np.float32(0.66161793), 'Walk': np.float32(0.67121)}
t=220 | pred=Hop | scores={'Fall backwards': np.float32(0.6630327), 'Fall forward': np.float32(0.6633661), 'Fall left': np.float32(0.66629976), 'Fall right': np.float32(0.6632274), 'Fall sitting': np.float32(0.6569509), 'Hop': np.float32(0.6723903), 'Kneel': np.float32(0.66761905), 'Pick up object': np.float32(0.6667846), 'Sit down': np.float32(0.6617439), 'Walk': np.float32(0.6714757)}
t=225 | pred=Hop | scores={'Fall backwards': np.float32(0.66301), 'Fall forward': np.float32(0.6632497), 'Fall left': np.float32(0.6662526), 'Fall right': np.float32(0.66314), 'Fall sitting': np.float32(0.6568607), 'Hop': np.float32(0.6724758), 'Kneel': np.float32(0.6675452), 'Pick up object': np.float32(0.6667653), 'Sit down': np.float32(0.6618132), 'Walk': np.float32(0.6716313)}
t=230 | pred=Hop | scores={'Fall backwards': np.float32(0.6630029), 'Fall forward': np.float32(0.6631324), 'Fall left': np.float32(0.6661943), 'Fall right': np.float32(0.6630612), 'Fall sitting': np.float32(0.6567705), 'Hop': np.float32(0.6725766), 'Kneel': np.float32(0.6674758), 'Pick up object': np.float32(0.6667636), 'Sit down': np.float32(0.66188204), 'Walk': np.float32(0.6718196)}
t=235 | pred=Hop | scores={'Fall backwards': np.float32(0.66294974), 'Fall forward': np.float32(0.66301864), 'Fall left': np.float32(0.6661056), 'Fall right': np.float32(0.66294813), 'Fall sitting': np.float32(0.65664405), 'Hop': np.float32(0.67260087), 'Kneel': np.float32(0.66736233), 'Pick up object': np.float32(0.66665155), 'Sit down': np.float32(0.66186094), 'Walk': np.float32(0.67193735)}
t=240 | pred=Hop | scores={'Fall backwards': np.float32(0.66276157), 'Fall forward': np.float32(0.66277707), 'Fall left': np.float32(0.6658756), 'Fall right': np.float32(0.66268134), 'Fall sitting': np.float32(0.65643024), 'Hop': np.float32(0.67246467), 'Kneel': np.float32(0.66711456), 'Pick up object': np.float32(0.66641337), 'Sit down': np.float32(0.66170156), 'Walk': np.float32(0.67192596)}
