Ground Truth: Fall left

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66021115), 'Fall forward': np.float32(0.6451763), 'Fall left': np.float32(0.6584969), 'Fall right': np.float32(0.657279), 'Fall sitting': np.float32(0.6432916), 'Hop': np.float32(0.65757376), 'Kneel': np.float32(0.6548499), 'Pick up object': np.float32(0.65890086), 'Sit down': np.float32(0.65965044), 'Walk': np.float32(0.6598292)}
t=95 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6731594), 'Fall forward': np.float32(0.6584332), 'Fall left': np.float32(0.67115384), 'Fall right': np.float32(0.6704931), 'Fall sitting': np.float32(0.65616477), 'Hop': np.float32(0.6614062), 'Kneel': np.float32(0.6665509), 'Pick up object': np.float32(0.6665583), 'Sit down': np.float32(0.6673181), 'Walk': np.float32(0.6640054)}
t=100 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67389804), 'Fall forward': np.float32(0.65877414), 'Fall left': np.float32(0.67182946), 'Fall right': np.float32(0.67126733), 'Fall sitting': np.float32(0.6562907), 'Hop': np.float32(0.6609724), 'Kneel': np.float32(0.6667991), 'Pick up object': np.float32(0.6665767), 'Sit down': np.float32(0.66723347), 'Walk': np.float32(0.6636289)}
t=105 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.674335), 'Fall forward': np.float32(0.6589669), 'Fall left': np.float32(0.67222613), 'Fall right': np.float32(0.6717436), 'Fall sitting': np.float32(0.6563231), 'Hop': np.float32(0.6606113), 'Kneel': np.float32(0.6668996), 'Pick up object': np.float32(0.66650534), 'Sit down': np.float32(0.6670995), 'Walk': np.float32(0.6633731)}
t=110 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6746821), 'Fall forward': np.float32(0.65902174), 'Fall left': np.float32(0.67251253), 'Fall right': np.float32(0.6721435), 'Fall sitting': np.float32(0.6562054), 'Hop': np.float32(0.66003704), 'Kneel': np.float32(0.66691345), 'Pick up object': np.float32(0.6664162), 'Sit down': np.float32(0.6667565), 'Walk': np.float32(0.6629208)}
t=115 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67502284), 'Fall forward': np.float32(0.65911907), 'Fall left': np.float32(0.6728578), 'Fall right': np.float32(0.67254984), 'Fall sitting': np.float32(0.65629107), 'Hop': np.float32(0.6597013), 'Kneel': np.float32(0.6669235), 'Pick up object': np.float32(0.6663846), 'Sit down': np.float32(0.6666818), 'Walk': np.float32(0.6627126)}
t=120 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6757653), 'Fall forward': np.float32(0.6596157), 'Fall left': np.float32(0.67362076), 'Fall right': np.float32(0.6733789), 'Fall sitting': np.float32(0.6568624), 'Hop': np.float32(0.6596797), 'Kneel': np.float32(0.66738874), 'Pick up object': np.float32(0.6667127), 'Sit down': np.float32(0.66692704), 'Walk': np.float32(0.6628783)}
t=125 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67641985), 'Fall forward': np.float32(0.660146), 'Fall left': np.float32(0.6742866), 'Fall right': np.float32(0.6741279), 'Fall sitting': np.float32(0.6574297), 'Hop': np.float32(0.65976983), 'Kneel': np.float32(0.66784096), 'Pick up object': np.float32(0.6670127), 'Sit down': np.float32(0.66715616), 'Walk': np.float32(0.6631496)}
t=130 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6773021), 'Fall forward': np.float32(0.6607354), 'Fall left': np.float32(0.6752206), 'Fall right': np.float32(0.6750049), 'Fall sitting': np.float32(0.65824443), 'Hop': np.float32(0.6599723), 'Kneel': np.float32(0.66838145), 'Pick up object': np.float32(0.66752845), 'Sit down': np.float32(0.66773707), 'Walk': np.float32(0.663445)}
t=135 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6778575), 'Fall forward': np.float32(0.66101986), 'Fall left': np.float32(0.67586327), 'Fall right': np.float32(0.67549044), 'Fall sitting': np.float32(0.6588579), 'Hop': np.float32(0.6602012), 'Kneel': np.float32(0.66872424), 'Pick up object': np.float32(0.66798455), 'Sit down': np.float32(0.6683432), 'Walk': np.float32(0.66365635)}
t=140 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67810404), 'Fall forward': np.float32(0.661018), 'Fall left': np.float32(0.6762895), 'Fall right': np.float32(0.67574775), 'Fall sitting': np.float32(0.659243), 'Hop': np.float32(0.6601756), 'Kneel': np.float32(0.66885394), 'Pick up object': np.float32(0.6682313), 'Sit down': np.float32(0.66870815), 'Walk': np.float32(0.6635913)}
t=145 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67810786), 'Fall forward': np.float32(0.6608917), 'Fall left': np.float32(0.6764534), 'Fall right': np.float32(0.6757029), 'Fall sitting': np.float32(0.659359), 'Hop': np.float32(0.6601023), 'Kneel': np.float32(0.66882473), 'Pick up object': np.float32(0.6683048), 'Sit down': np.float32(0.66885585), 'Walk': np.float32(0.6634874)}
t=150 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6781084), 'Fall forward': np.float32(0.6608129), 'Fall left': np.float32(0.67659557), 'Fall right': np.float32(0.6756882), 'Fall sitting': np.float32(0.659301), 'Hop': np.float32(0.6598554), 'Kneel': np.float32(0.66872674), 'Pick up object': np.float32(0.66820985), 'Sit down': np.float32(0.66880554), 'Walk': np.float32(0.6633059)}
t=155 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67807144), 'Fall forward': np.float32(0.6607944), 'Fall left': np.float32(0.6766412), 'Fall right': np.float32(0.6756284), 'Fall sitting': np.float32(0.6592612), 'Hop': np.float32(0.6596107), 'Kneel': np.float32(0.6686668), 'Pick up object': np.float32(0.66809005), 'Sit down': np.float32(0.6686824), 'Walk': np.float32(0.66315407)}
t=160 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6779154), 'Fall forward': np.float32(0.66065705), 'Fall left': np.float32(0.67660975), 'Fall right': np.float32(0.67548376), 'Fall sitting': np.float32(0.6591917), 'Hop': np.float32(0.65922666), 'Kneel': np.float32(0.66850775), 'Pick up object': np.float32(0.66794324), 'Sit down': np.float32(0.6684789), 'Walk': np.float32(0.66292036)}
t=165 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67789924), 'Fall forward': np.float32(0.66077095), 'Fall left': np.float32(0.67671067), 'Fall right': np.float32(0.6755565), 'Fall sitting': np.float32(0.6592869), 'Hop': np.float32(0.6591059), 'Kneel': np.float32(0.66852266), 'Pick up object': np.float32(0.6679169), 'Sit down': np.float32(0.6684123), 'Walk': np.float32(0.6629047)}
t=170 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6778256), 'Fall forward': np.float32(0.660773), 'Fall left': np.float32(0.67675847), 'Fall right': np.float32(0.67559654), 'Fall sitting': np.float32(0.65932727), 'Hop': np.float32(0.6588836), 'Kneel': np.float32(0.6684907), 'Pick up object': np.float32(0.6678478), 'Sit down': np.float32(0.66834867), 'Walk': np.float32(0.6627776)}
t=175 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6780452), 'Fall forward': np.float32(0.6609986), 'Fall left': np.float32(0.67707133), 'Fall right': np.float32(0.67587817), 'Fall sitting': np.float32(0.65956634), 'Hop': np.float32(0.65903413), 'Kneel': np.float32(0.6687778), 'Pick up object': np.float32(0.66812015), 'Sit down': np.float32(0.6685997), 'Walk': np.float32(0.6629555)}
t=180 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67843735), 'Fall forward': np.float32(0.6613076), 'Fall left': np.float32(0.6774919), 'Fall right': np.float32(0.67626107), 'Fall sitting': np.float32(0.6598798), 'Hop': np.float32(0.65922594), 'Kneel': np.float32(0.669154), 'Pick up object': np.float32(0.6684998), 'Sit down': np.float32(0.66890734), 'Walk': np.float32(0.66319376)}
t=185 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6787088), 'Fall forward': np.float32(0.6615165), 'Fall left': np.float32(0.6777553), 'Fall right': np.float32(0.67648566), 'Fall sitting': np.float32(0.66006786), 'Hop': np.float32(0.6593214), 'Kneel': np.float32(0.66933495), 'Pick up object': np.float32(0.66870177), 'Sit down': np.float32(0.6690791), 'Walk': np.float32(0.6632969)}
t=190 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6788986), 'Fall forward': np.float32(0.661586), 'Fall left': np.float32(0.6779607), 'Fall right': np.float32(0.6766544), 'Fall sitting': np.float32(0.66011214), 'Hop': np.float32(0.6593548), 'Kneel': np.float32(0.6694472), 'Pick up object': np.float32(0.6688315), 'Sit down': np.float32(0.6692158), 'Walk': np.float32(0.6633203)}
t=195 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67888194), 'Fall forward': np.float32(0.66141635), 'Fall left': np.float32(0.6779513), 'Fall right': np.float32(0.6765819), 'Fall sitting': np.float32(0.6599949), 'Hop': np.float32(0.6592185), 'Kneel': np.float32(0.66936046), 'Pick up object': np.float32(0.6687637), 'Sit down': np.float32(0.6692404), 'Walk': np.float32(0.66313946)}
t=200 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67892635), 'Fall forward': np.float32(0.6613103), 'Fall left': np.float32(0.6779893), 'Fall right': np.float32(0.6766095), 'Fall sitting': np.float32(0.65995973), 'Hop': np.float32(0.6590026), 'Kneel': np.float32(0.6693132), 'Pick up object': np.float32(0.66874444), 'Sit down': np.float32(0.66923976), 'Walk': np.float32(0.6629264)}
t=205 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67911774), 'Fall forward': np.float32(0.6614245), 'Fall left': np.float32(0.6781406), 'Fall right': np.float32(0.6767775), 'Fall sitting': np.float32(0.6600735), 'Hop': np.float32(0.65891546), 'Kneel': np.float32(0.66938806), 'Pick up object': np.float32(0.6688048), 'Sit down': np.float32(0.6692693), 'Walk': np.float32(0.6628671)}
t=210 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67941254), 'Fall forward': np.float32(0.6617101), 'Fall left': np.float32(0.67837185), 'Fall right': np.float32(0.67705506), 'Fall sitting': np.float32(0.6602373), 'Hop': np.float32(0.6589278), 'Kneel': np.float32(0.66960424), 'Pick up object': np.float32(0.6689647), 'Sit down': np.float32(0.6693326), 'Walk': np.float32(0.6629508)}
