Ground Truth: Fall right

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.6544895), 'Fall forward': np.float32(0.65199345), 'Fall left': np.float32(0.6571951), 'Fall right': np.float32(0.655122), 'Fall sitting': np.float32(0.6551817), 'Hop': np.float32(0.65574586), 'Kneel': np.float32(0.65593946), 'Pick up object': np.float32(0.6541487), 'Sit down': np.float32(0.6639024), 'Walk': np.float32(0.65795463)}
t=105 | pred=Sit down | scores={'Fall backwards': np.float32(0.6602494), 'Fall forward': np.float32(0.6531146), 'Fall left': np.float32(0.66205996), 'Fall right': np.float32(0.6613016), 'Fall sitting': np.float32(0.6607376), 'Hop': np.float32(0.6592526), 'Kneel': np.float32(0.6572086), 'Pick up object': np.float32(0.65882075), 'Sit down': np.float32(0.6621145), 'Walk': np.float32(0.6582469)}
t=110 | pred=Fall left | scores={'Fall backwards': np.float32(0.65983725), 'Fall forward': np.float32(0.65277195), 'Fall left': np.float32(0.66175777), 'Fall right': np.float32(0.661068), 'Fall sitting': np.float32(0.6607372), 'Hop': np.float32(0.65890163), 'Kneel': np.float32(0.65677977), 'Pick up object': np.float32(0.6584827), 'Sit down': np.float32(0.6616361), 'Walk': np.float32(0.65776557)}
t=115 | pred=Fall left | scores={'Fall backwards': np.float32(0.6597473), 'Fall forward': np.float32(0.6527881), 'Fall left': np.float32(0.66178536), 'Fall right': np.float32(0.6611684), 'Fall sitting': np.float32(0.660955), 'Hop': np.float32(0.65883136), 'Kneel': np.float32(0.6567), 'Pick up object': np.float32(0.65842575), 'Sit down': np.float32(0.6615543), 'Walk': np.float32(0.6576578)}
t=120 | pred=Fall left | scores={'Fall backwards': np.float32(0.65946907), 'Fall forward': np.float32(0.65252626), 'Fall left': np.float32(0.66160226), 'Fall right': np.float32(0.6611165), 'Fall sitting': np.float32(0.66103464), 'Hop': np.float32(0.6584952), 'Kneel': np.float32(0.65636915), 'Pick up object': np.float32(0.6581569), 'Sit down': np.float32(0.6612641), 'Walk': np.float32(0.65723884)}
t=125 | pred=Fall left | scores={'Fall backwards': np.float32(0.6592798), 'Fall forward': np.float32(0.65231997), 'Fall left': np.float32(0.6614734), 'Fall right': np.float32(0.66111094), 'Fall sitting': np.float32(0.6611357), 'Hop': np.float32(0.65828013), 'Kneel': np.float32(0.6561552), 'Pick up object': np.float32(0.65799475), 'Sit down': np.float32(0.661119), 'Walk': np.float32(0.6569316)}
t=130 | pred=Fall left | scores={'Fall backwards': np.float32(0.6592088), 'Fall forward': np.float32(0.6522894), 'Fall left': np.float32(0.66147405), 'Fall right': np.float32(0.66125983), 'Fall sitting': np.float32(0.66139835), 'Hop': np.float32(0.6581779), 'Kneel': np.float32(0.6560579), 'Pick up object': np.float32(0.6579642), 'Sit down': np.float32(0.66113), 'Walk': np.float32(0.6567538)}
t=135 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.659208), 'Fall forward': np.float32(0.6523473), 'Fall left': np.float32(0.66151845), 'Fall right': np.float32(0.6614077), 'Fall sitting': np.float32(0.6616351), 'Hop': np.float32(0.6581056), 'Kneel': np.float32(0.6560614), 'Pick up object': np.float32(0.6579653), 'Sit down': np.float32(0.66115654), 'Walk': np.float32(0.6566272)}
t=140 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65917915), 'Fall forward': np.float32(0.65244716), 'Fall left': np.float32(0.6615416), 'Fall right': np.float32(0.6615395), 'Fall sitting': np.float32(0.66176015), 'Hop': np.float32(0.6580621), 'Kneel': np.float32(0.65609175), 'Pick up object': np.float32(0.65791833), 'Sit down': np.float32(0.66104877), 'Walk': np.float32(0.65652496)}
t=145 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65928584), 'Fall forward': np.float32(0.6525646), 'Fall left': np.float32(0.6616219), 'Fall right': np.float32(0.6617158), 'Fall sitting': np.float32(0.66188264), 'Hop': np.float32(0.65800714), 'Kneel': np.float32(0.65617037), 'Pick up object': np.float32(0.65789205), 'Sit down': np.float32(0.66095), 'Walk': np.float32(0.65646964)}
t=150 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6592864), 'Fall forward': np.float32(0.6525552), 'Fall left': np.float32(0.66157186), 'Fall right': np.float32(0.66180944), 'Fall sitting': np.float32(0.6619657), 'Hop': np.float32(0.65773606), 'Kneel': np.float32(0.656135), 'Pick up object': np.float32(0.65769947), 'Sit down': np.float32(0.66075593), 'Walk': np.float32(0.6562085)}
