Ground Truth: Fall backwards

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6630206), 'Fall forward': np.float32(0.6525511), 'Fall left': np.float32(0.66113204), 'Fall right': np.float32(0.6602952), 'Fall sitting': np.float32(0.6465727), 'Hop': np.float32(0.6579397), 'Kneel': np.float32(0.6567792), 'Pick up object': np.float32(0.6604378), 'Sit down': np.float32(0.6594967), 'Walk': np.float32(0.6617842)}
t=70 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67676884), 'Fall forward': np.float32(0.6643314), 'Fall left': np.float32(0.6747067), 'Fall right': np.float32(0.671981), 'Fall sitting': np.float32(0.6601348), 'Hop': np.float32(0.66265804), 'Kneel': np.float32(0.6686389), 'Pick up object': np.float32(0.6710774), 'Sit down': np.float32(0.6696953), 'Walk': np.float32(0.6662757)}
t=75 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6771091), 'Fall forward': np.float32(0.6645402), 'Fall left': np.float32(0.675019), 'Fall right': np.float32(0.6721455), 'Fall sitting': np.float32(0.6610288), 'Hop': np.float32(0.6621998), 'Kneel': np.float32(0.6686052), 'Pick up object': np.float32(0.6710643), 'Sit down': np.float32(0.6695564), 'Walk': np.float32(0.66585743)}
t=80 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6771179), 'Fall forward': np.float32(0.66454065), 'Fall left': np.float32(0.67513704), 'Fall right': np.float32(0.67214996), 'Fall sitting': np.float32(0.66173476), 'Hop': np.float32(0.6614857), 'Kneel': np.float32(0.6682944), 'Pick up object': np.float32(0.67085844), 'Sit down': np.float32(0.66917783), 'Walk': np.float32(0.6653142)}
t=85 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67657053), 'Fall forward': np.float32(0.66402364), 'Fall left': np.float32(0.6746216), 'Fall right': np.float32(0.6715338), 'Fall sitting': np.float32(0.6617197), 'Hop': np.float32(0.66049135), 'Kneel': np.float32(0.667498), 'Pick up object': np.float32(0.67023695), 'Sit down': np.float32(0.66844714), 'Walk': np.float32(0.6644466)}
t=90 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6757174), 'Fall forward': np.float32(0.6631793), 'Fall left': np.float32(0.6738032), 'Fall right': np.float32(0.67067665), 'Fall sitting': np.float32(0.66133136), 'Hop': np.float32(0.659077), 'Kneel': np.float32(0.66635215), 'Pick up object': np.float32(0.6692784), 'Sit down': np.float32(0.6671829), 'Walk': np.float32(0.6632089)}
t=95 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6749611), 'Fall forward': np.float32(0.6623), 'Fall left': np.float32(0.67305535), 'Fall right': np.float32(0.6698511), 'Fall sitting': np.float32(0.6607465), 'Hop': np.float32(0.65795064), 'Kneel': np.float32(0.66539896), 'Pick up object': np.float32(0.668475), 'Sit down': np.float32(0.6661485), 'Walk': np.float32(0.6620881)}
t=100 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6746148), 'Fall forward': np.float32(0.6616634), 'Fall left': np.float32(0.6726544), 'Fall right': np.float32(0.6694477), 'Fall sitting': np.float32(0.66072714), 'Hop': np.float32(0.6571365), 'Kneel': np.float32(0.66483694), 'Pick up object': np.float32(0.6680656), 'Sit down': np.float32(0.6655992), 'Walk': np.float32(0.6611678)}
t=105 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6743262), 'Fall forward': np.float32(0.6609923), 'Fall left': np.float32(0.6723024), 'Fall right': np.float32(0.66907537), 'Fall sitting': np.float32(0.6605217), 'Hop': np.float32(0.65644264), 'Kneel': np.float32(0.66433185), 'Pick up object': np.float32(0.66762406), 'Sit down': np.float32(0.66511333), 'Walk': np.float32(0.66036433)}
t=110 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.674209), 'Fall forward': np.float32(0.6605595), 'Fall left': np.float32(0.67210275), 'Fall right': np.float32(0.6688771), 'Fall sitting': np.float32(0.6604738), 'Hop': np.float32(0.6559299), 'Kneel': np.float32(0.66402334), 'Pick up object': np.float32(0.6673574), 'Sit down': np.float32(0.66472113), 'Walk': np.float32(0.6598058)}
t=115 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67442423), 'Fall forward': np.float32(0.66042), 'Fall left': np.float32(0.6722815), 'Fall right': np.float32(0.66901135), 'Fall sitting': np.float32(0.660602), 'Hop': np.float32(0.6558605), 'Kneel': np.float32(0.6642203), 'Pick up object': np.float32(0.6673706), 'Sit down': np.float32(0.66501147), 'Walk': np.float32(0.65962714)}
t=120 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6744465), 'Fall forward': np.float32(0.6601124), 'Fall left': np.float32(0.672295), 'Fall right': np.float32(0.66894025), 'Fall sitting': np.float32(0.6605872), 'Hop': np.float32(0.6556742), 'Kneel': np.float32(0.6643475), 'Pick up object': np.float32(0.6673003), 'Sit down': np.float32(0.66523993), 'Walk': np.float32(0.6593295)}
t=125 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67419755), 'Fall forward': np.float32(0.6597717), 'Fall left': np.float32(0.6720694), 'Fall right': np.float32(0.6686594), 'Fall sitting': np.float32(0.6602987), 'Hop': np.float32(0.65552384), 'Kneel': np.float32(0.6643227), 'Pick up object': np.float32(0.6671326), 'Sit down': np.float32(0.66522163), 'Walk': np.float32(0.65905213)}
t=130 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6733078), 'Fall forward': np.float32(0.6587007), 'Fall left': np.float32(0.6711965), 'Fall right': np.float32(0.6676966), 'Fall sitting': np.float32(0.6593311), 'Hop': np.float32(0.6547478), 'Kneel': np.float32(0.66359735), 'Pick up object': np.float32(0.66631866), 'Sit down': np.float32(0.66458255), 'Walk': np.float32(0.6580453)}
t=135 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67275244), 'Fall forward': np.float32(0.65793395), 'Fall left': np.float32(0.6706256), 'Fall right': np.float32(0.6670499), 'Fall sitting': np.float32(0.6586358), 'Hop': np.float32(0.6543124), 'Kneel': np.float32(0.6631592), 'Pick up object': np.float32(0.6658654), 'Sit down': np.float32(0.66428936), 'Walk': np.float32(0.6574408)}
t=140 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6720787), 'Fall forward': np.float32(0.6570703), 'Fall left': np.float32(0.66993374), 'Fall right': np.float32(0.66625094), 'Fall sitting': np.float32(0.6579079), 'Hop': np.float32(0.65377134), 'Kneel': np.float32(0.66263914), 'Pick up object': np.float32(0.6652912), 'Sit down': np.float32(0.66384715), 'Walk': np.float32(0.6567065)}
t=145 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6716595), 'Fall forward': np.float32(0.6565671), 'Fall left': np.float32(0.6695247), 'Fall right': np.float32(0.665804), 'Fall sitting': np.float32(0.65749735), 'Hop': np.float32(0.6534838), 'Kneel': np.float32(0.6623906), 'Pick up object': np.float32(0.6650058), 'Sit down': np.float32(0.66368544), 'Walk': np.float32(0.65632695)}
t=150 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67157114), 'Fall forward': np.float32(0.65640646), 'Fall left': np.float32(0.669447), 'Fall right': np.float32(0.6656905), 'Fall sitting': np.float32(0.65746355), 'Hop': np.float32(0.6534835), 'Kneel': np.float32(0.66245764), 'Pick up object': np.float32(0.66502124), 'Sit down': np.float32(0.663882), 'Walk': np.float32(0.6562777)}
t=155 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6716609), 'Fall forward': np.float32(0.6564135), 'Fall left': np.float32(0.66952467), 'Fall right': np.float32(0.6657378), 'Fall sitting': np.float32(0.6575363), 'Hop': np.float32(0.65367943), 'Kneel': np.float32(0.6626747), 'Pick up object': np.float32(0.66526794), 'Sit down': np.float32(0.66420835), 'Walk': np.float32(0.6564203)}
t=160 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6717473), 'Fall forward': np.float32(0.6563512), 'Fall left': np.float32(0.66953266), 'Fall right': np.float32(0.6657322), 'Fall sitting': np.float32(0.65763927), 'Hop': np.float32(0.6537589), 'Kneel': np.float32(0.6627899), 'Pick up object': np.float32(0.6654189), 'Sit down': np.float32(0.6644752), 'Walk': np.float32(0.65648365)}
t=165 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.671876), 'Fall forward': np.float32(0.6563396), 'Fall left': np.float32(0.66957754), 'Fall right': np.float32(0.6658087), 'Fall sitting': np.float32(0.65769845), 'Hop': np.float32(0.6538657), 'Kneel': np.float32(0.66289586), 'Pick up object': np.float32(0.6655119), 'Sit down': np.float32(0.664694), 'Walk': np.float32(0.65657735)}
t=170 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67174524), 'Fall forward': np.float32(0.6560222), 'Fall left': np.float32(0.6693618), 'Fall right': np.float32(0.66562855), 'Fall sitting': np.float32(0.657393), 'Hop': np.float32(0.6537377), 'Kneel': np.float32(0.6627875), 'Pick up object': np.float32(0.6653243), 'Sit down': np.float32(0.6646318), 'Walk': np.float32(0.6563847)}
t=175 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67165744), 'Fall forward': np.float32(0.65581375), 'Fall left': np.float32(0.6692105), 'Fall right': np.float32(0.6655278), 'Fall sitting': np.float32(0.6571806), 'Hop': np.float32(0.65361077), 'Kneel': np.float32(0.6627342), 'Pick up object': np.float32(0.66516566), 'Sit down': np.float32(0.66462564), 'Walk': np.float32(0.65622693)}
t=180 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67158955), 'Fall forward': np.float32(0.6556527), 'Fall left': np.float32(0.6690826), 'Fall right': np.float32(0.66545886), 'Fall sitting': np.float32(0.65705884), 'Hop': np.float32(0.6534351), 'Kneel': np.float32(0.6627075), 'Pick up object': np.float32(0.6649735), 'Sit down': np.float32(0.6646001), 'Walk': np.float32(0.65605456)}
t=185 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67150253), 'Fall forward': np.float32(0.6555036), 'Fall left': np.float32(0.66894037), 'Fall right': np.float32(0.66543496), 'Fall sitting': np.float32(0.65687007), 'Hop': np.float32(0.6532046), 'Kneel': np.float32(0.6626309), 'Pick up object': np.float32(0.66480327), 'Sit down': np.float32(0.66453624), 'Walk': np.float32(0.6558481)}
t=190 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67136323), 'Fall forward': np.float32(0.6552352), 'Fall left': np.float32(0.66871375), 'Fall right': np.float32(0.665378), 'Fall sitting': np.float32(0.6565561), 'Hop': np.float32(0.6528823), 'Kneel': np.float32(0.6624587), 'Pick up object': np.float32(0.66457075), 'Sit down': np.float32(0.664405), 'Walk': np.float32(0.65556496)}
t=195 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67124474), 'Fall forward': np.float32(0.6550285), 'Fall left': np.float32(0.66853607), 'Fall right': np.float32(0.66534674), 'Fall sitting': np.float32(0.6563311), 'Hop': np.float32(0.6526204), 'Kneel': np.float32(0.6623169), 'Pick up object': np.float32(0.66436017), 'Sit down': np.float32(0.6642877), 'Walk': np.float32(0.65532315)}
t=200 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6712127), 'Fall forward': np.float32(0.6549507), 'Fall left': np.float32(0.6684464), 'Fall right': np.float32(0.6654148), 'Fall sitting': np.float32(0.6562511), 'Hop': np.float32(0.65244573), 'Kneel': np.float32(0.66230977), 'Pick up object': np.float32(0.66423935), 'Sit down': np.float32(0.6642757), 'Walk': np.float32(0.6551896)}
t=205 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6712057), 'Fall forward': np.float32(0.6549192), 'Fall left': np.float32(0.6683868), 'Fall right': np.float32(0.6654882), 'Fall sitting': np.float32(0.65617305), 'Hop': np.float32(0.6523212), 'Kneel': np.float32(0.6623423), 'Pick up object': np.float32(0.6641743), 'Sit down': np.float32(0.66424936), 'Walk': np.float32(0.6550925)}
t=210 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6712305), 'Fall forward': np.float32(0.65493625), 'Fall left': np.float32(0.66836005), 'Fall right': np.float32(0.6656112), 'Fall sitting': np.float32(0.65610373), 'Hop': np.float32(0.6521932), 'Kneel': np.float32(0.66245806), 'Pick up object': np.float32(0.6640869), 'Sit down': np.float32(0.66424286), 'Walk': np.float32(0.65501696)}
