Ground Truth: Sit down

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.64521927), 'Fall forward': np.float32(0.63861495), 'Fall left': np.float32(0.64640385), 'Fall right': np.float32(0.64319676), 'Fall sitting': np.float32(0.6455948), 'Hop': np.float32(0.6470653), 'Kneel': np.float32(0.6443072), 'Pick up object': np.float32(0.64449), 'Sit down': np.float32(0.65698963), 'Walk': np.float32(0.6474306)}
t=70 | pred=Sit down | scores={'Fall backwards': np.float32(0.6619752), 'Fall forward': np.float32(0.65333134), 'Fall left': np.float32(0.6602581), 'Fall right': np.float32(0.6584249), 'Fall sitting': np.float32(0.65489906), 'Hop': np.float32(0.6516271), 'Kneel': np.float32(0.65654606), 'Pick up object': np.float32(0.65369767), 'Sit down': np.float32(0.66458124), 'Walk': np.float32(0.6547751)}
t=75 | pred=Sit down | scores={'Fall backwards': np.float32(0.6624691), 'Fall forward': np.float32(0.6538925), 'Fall left': np.float32(0.66081405), 'Fall right': np.float32(0.6589744), 'Fall sitting': np.float32(0.65529394), 'Hop': np.float32(0.65183556), 'Kneel': np.float32(0.6572452), 'Pick up object': np.float32(0.65423244), 'Sit down': np.float32(0.6651308), 'Walk': np.float32(0.6552374)}
t=80 | pred=Sit down | scores={'Fall backwards': np.float32(0.66302353), 'Fall forward': np.float32(0.6545551), 'Fall left': np.float32(0.6614202), 'Fall right': np.float32(0.65959495), 'Fall sitting': np.float32(0.65570194), 'Hop': np.float32(0.65208375), 'Kneel': np.float32(0.6579722), 'Pick up object': np.float32(0.65484506), 'Sit down': np.float32(0.6656303), 'Walk': np.float32(0.6557229)}
t=85 | pred=Sit down | scores={'Fall backwards': np.float32(0.66337067), 'Fall forward': np.float32(0.65493745), 'Fall left': np.float32(0.66184986), 'Fall right': np.float32(0.6600235), 'Fall sitting': np.float32(0.65618217), 'Hop': np.float32(0.6522723), 'Kneel': np.float32(0.65845263), 'Pick up object': np.float32(0.65523404), 'Sit down': np.float32(0.666159), 'Walk': np.float32(0.65602916)}
t=90 | pred=Sit down | scores={'Fall backwards': np.float32(0.66402584), 'Fall forward': np.float32(0.6556541), 'Fall left': np.float32(0.6625897), 'Fall right': np.float32(0.66071844), 'Fall sitting': np.float32(0.65719616), 'Hop': np.float32(0.6526048), 'Kneel': np.float32(0.65917563), 'Pick up object': np.float32(0.65584695), 'Sit down': np.float32(0.6669633), 'Walk': np.float32(0.6564351)}
t=95 | pred=Sit down | scores={'Fall backwards': np.float32(0.6644209), 'Fall forward': np.float32(0.6560207), 'Fall left': np.float32(0.6630344), 'Fall right': np.float32(0.66116863), 'Fall sitting': np.float32(0.6579347), 'Hop': np.float32(0.65286785), 'Kneel': np.float32(0.6596355), 'Pick up object': np.float32(0.6562579), 'Sit down': np.float32(0.667577), 'Walk': np.float32(0.6567165)}
t=100 | pred=Sit down | scores={'Fall backwards': np.float32(0.6644577), 'Fall forward': np.float32(0.6559741), 'Fall left': np.float32(0.66316926), 'Fall right': np.float32(0.6612504), 'Fall sitting': np.float32(0.6582223), 'Hop': np.float32(0.6528779), 'Kneel': np.float32(0.65982515), 'Pick up object': np.float32(0.6564541), 'Sit down': np.float32(0.66808695), 'Walk': np.float32(0.65672785)}
t=105 | pred=Sit down | scores={'Fall backwards': np.float32(0.664385), 'Fall forward': np.float32(0.65574574), 'Fall left': np.float32(0.6631921), 'Fall right': np.float32(0.66116756), 'Fall sitting': np.float32(0.65843064), 'Hop': np.float32(0.6530285), 'Kneel': np.float32(0.65994483), 'Pick up object': np.float32(0.6567905), 'Sit down': np.float32(0.668805), 'Walk': np.float32(0.65679044)}
t=110 | pred=Sit down | scores={'Fall backwards': np.float32(0.66429067), 'Fall forward': np.float32(0.65570456), 'Fall left': np.float32(0.6632672), 'Fall right': np.float32(0.661052), 'Fall sitting': np.float32(0.65868145), 'Hop': np.float32(0.65321827), 'Kneel': np.float32(0.66011816), 'Pick up object': np.float32(0.65712494), 'Sit down': np.float32(0.6694045), 'Walk': np.float32(0.65693235)}
t=115 | pred=Sit down | scores={'Fall backwards': np.float32(0.6642628), 'Fall forward': np.float32(0.65574163), 'Fall left': np.float32(0.6633822), 'Fall right': np.float32(0.6610175), 'Fall sitting': np.float32(0.6589846), 'Hop': np.float32(0.65349185), 'Kneel': np.float32(0.6603056), 'Pick up object': np.float32(0.65748984), 'Sit down': np.float32(0.66984344), 'Walk': np.float32(0.6570731)}
t=120 | pred=Sit down | scores={'Fall backwards': np.float32(0.6645185), 'Fall forward': np.float32(0.65612096), 'Fall left': np.float32(0.6637812), 'Fall right': np.float32(0.66127384), 'Fall sitting': np.float32(0.6594592), 'Hop': np.float32(0.65406525), 'Kneel': np.float32(0.6608368), 'Pick up object': np.float32(0.65814525), 'Sit down': np.float32(0.67038983), 'Walk': np.float32(0.6575973)}
t=125 | pred=Sit down | scores={'Fall backwards': np.float32(0.66479677), 'Fall forward': np.float32(0.65646577), 'Fall left': np.float32(0.66412014), 'Fall right': np.float32(0.6615621), 'Fall sitting': np.float32(0.6597457), 'Hop': np.float32(0.654526), 'Kneel': np.float32(0.66128165), 'Pick up object': np.float32(0.6586527), 'Sit down': np.float32(0.6707265), 'Walk': np.float32(0.65807)}
t=130 | pred=Sit down | scores={'Fall backwards': np.float32(0.6651253), 'Fall forward': np.float32(0.65682477), 'Fall left': np.float32(0.6645082), 'Fall right': np.float32(0.6619155), 'Fall sitting': np.float32(0.6600756), 'Hop': np.float32(0.6550427), 'Kneel': np.float32(0.6617635), 'Pick up object': np.float32(0.6592569), 'Sit down': np.float32(0.6712152), 'Walk': np.float32(0.65860003)}
t=135 | pred=Sit down | scores={'Fall backwards': np.float32(0.6652153), 'Fall forward': np.float32(0.6569082), 'Fall left': np.float32(0.6646075), 'Fall right': np.float32(0.66201097), 'Fall sitting': np.float32(0.6602066), 'Hop': np.float32(0.6552485), 'Kneel': np.float32(0.6619629), 'Pick up object': np.float32(0.65957177), 'Sit down': np.float32(0.6714962), 'Walk': np.float32(0.65882015)}
t=140 | pred=Sit down | scores={'Fall backwards': np.float32(0.66531277), 'Fall forward': np.float32(0.656994), 'Fall left': np.float32(0.6646879), 'Fall right': np.float32(0.6620896), 'Fall sitting': np.float32(0.6603869), 'Hop': np.float32(0.65536886), 'Kneel': np.float32(0.662148), 'Pick up object': np.float32(0.65985465), 'Sit down': np.float32(0.67172354), 'Walk': np.float32(0.658969)}
t=145 | pred=Sit down | scores={'Fall backwards': np.float32(0.6653104), 'Fall forward': np.float32(0.6570074), 'Fall left': np.float32(0.66468275), 'Fall right': np.float32(0.6620934), 'Fall sitting': np.float32(0.660457), 'Hop': np.float32(0.65539676), 'Kneel': np.float32(0.6622042), 'Pick up object': np.float32(0.6599781), 'Sit down': np.float32(0.671864), 'Walk': np.float32(0.6590297)}
t=150 | pred=Sit down | scores={'Fall backwards': np.float32(0.6652157), 'Fall forward': np.float32(0.6569361), 'Fall left': np.float32(0.6645962), 'Fall right': np.float32(0.66201204), 'Fall sitting': np.float32(0.66047645), 'Hop': np.float32(0.655372), 'Kneel': np.float32(0.66219556), 'Pick up object': np.float32(0.6600296), 'Sit down': np.float32(0.6719763), 'Walk': np.float32(0.659028)}
t=155 | pred=Sit down | scores={'Fall backwards': np.float32(0.6650878), 'Fall forward': np.float32(0.65682817), 'Fall left': np.float32(0.66446924), 'Fall right': np.float32(0.66189307), 'Fall sitting': np.float32(0.66044575), 'Hop': np.float32(0.6552591), 'Kneel': np.float32(0.6621322), 'Pick up object': np.float32(0.65999746), 'Sit down': np.float32(0.6720167), 'Walk': np.float32(0.658946)}
t=160 | pred=Sit down | scores={'Fall backwards': np.float32(0.6648826), 'Fall forward': np.float32(0.6566216), 'Fall left': np.float32(0.6642526), 'Fall right': np.float32(0.66168684), 'Fall sitting': np.float32(0.6602738), 'Hop': np.float32(0.6550794), 'Kneel': np.float32(0.6619873), 'Pick up object': np.float32(0.65990335), 'Sit down': np.float32(0.67200506), 'Walk': np.float32(0.658781)}
t=165 | pred=Sit down | scores={'Fall backwards': np.float32(0.6647012), 'Fall forward': np.float32(0.6564298), 'Fall left': np.float32(0.66406465), 'Fall right': np.float32(0.6614823), 'Fall sitting': np.float32(0.6600926), 'Hop': np.float32(0.6549136), 'Kneel': np.float32(0.6618216), 'Pick up object': np.float32(0.65979415), 'Sit down': np.float32(0.6719782), 'Walk': np.float32(0.6586345)}
t=170 | pred=Sit down | scores={'Fall backwards': np.float32(0.6644393), 'Fall forward': np.float32(0.6561907), 'Fall left': np.float32(0.66380334), 'Fall right': np.float32(0.6612017), 'Fall sitting': np.float32(0.6598491), 'Hop': np.float32(0.654681), 'Kneel': np.float32(0.6615957), 'Pick up object': np.float32(0.6596563), 'Sit down': np.float32(0.6719185), 'Walk': np.float32(0.6584362)}
t=175 | pred=Sit down | scores={'Fall backwards': np.float32(0.6642192), 'Fall forward': np.float32(0.6559955), 'Fall left': np.float32(0.663595), 'Fall right': np.float32(0.6609657), 'Fall sitting': np.float32(0.6596455), 'Hop': np.float32(0.6544894), 'Kneel': np.float32(0.66141707), 'Pick up object': np.float32(0.6595427), 'Sit down': np.float32(0.67186433), 'Walk': np.float32(0.658293)}
t=180 | pred=Sit down | scores={'Fall backwards': np.float32(0.66401666), 'Fall forward': np.float32(0.655829), 'Fall left': np.float32(0.6634273), 'Fall right': np.float32(0.66075134), 'Fall sitting': np.float32(0.65948886), 'Hop': np.float32(0.65433896), 'Kneel': np.float32(0.6612829), 'Pick up object': np.float32(0.6594975), 'Sit down': np.float32(0.6718549), 'Walk': np.float32(0.6581775)}
t=185 | pred=Sit down | scores={'Fall backwards': np.float32(0.6638216), 'Fall forward': np.float32(0.65565217), 'Fall left': np.float32(0.6632498), 'Fall right': np.float32(0.6605428), 'Fall sitting': np.float32(0.6593409), 'Hop': np.float32(0.65417516), 'Kneel': np.float32(0.6611247), 'Pick up object': np.float32(0.65941423), 'Sit down': np.float32(0.671799), 'Walk': np.float32(0.65803427)}
