Ground Truth: Pick up object

t=15 | pred=Fall forward | scores={'Fall backwards': np.float32(0.663391), 'Fall forward': np.float32(0.66668373), 'Fall left': np.float32(0.6664707), 'Fall right': np.float32(0.66317713), 'Fall sitting': np.float32(0.6482776), 'Hop': np.float32(0.66181046), 'Kneel': np.float32(0.6636315), 'Pick up object': np.float32(0.66200495), 'Sit down': np.float32(0.65656847), 'Walk': np.float32(0.6643638)}
t=70 | pred=Fall left | scores={'Fall backwards': np.float32(0.66682434), 'Fall forward': np.float32(0.66898006), 'Fall left': np.float32(0.6706685), 'Fall right': np.float32(0.6644433), 'Fall sitting': np.float32(0.657984), 'Hop': np.float32(0.65854996), 'Kneel': np.float32(0.666129), 'Pick up object': np.float32(0.6646324), 'Sit down': np.float32(0.66058135), 'Walk': np.float32(0.6612671)}
t=75 | pred=Fall left | scores={'Fall backwards': np.float32(0.66751754), 'Fall forward': np.float32(0.6697903), 'Fall left': np.float32(0.6713463), 'Fall right': np.float32(0.6651429), 'Fall sitting': np.float32(0.6587591), 'Hop': np.float32(0.6587795), 'Kneel': np.float32(0.6667795), 'Pick up object': np.float32(0.66506964), 'Sit down': np.float32(0.66106486), 'Walk': np.float32(0.66154724)}
t=80 | pred=Fall left | scores={'Fall backwards': np.float32(0.66815346), 'Fall forward': np.float32(0.6703621), 'Fall left': np.float32(0.67192125), 'Fall right': np.float32(0.6657079), 'Fall sitting': np.float32(0.6594154), 'Hop': np.float32(0.6587575), 'Kneel': np.float32(0.6672926), 'Pick up object': np.float32(0.6653407), 'Sit down': np.float32(0.6615727), 'Walk': np.float32(0.66162467)}
t=85 | pred=Fall left | scores={'Fall backwards': np.float32(0.6684965), 'Fall forward': np.float32(0.67076194), 'Fall left': np.float32(0.67225224), 'Fall right': np.float32(0.66601557), 'Fall sitting': np.float32(0.6598434), 'Hop': np.float32(0.6588002), 'Kneel': np.float32(0.6676142), 'Pick up object': np.float32(0.66552484), 'Sit down': np.float32(0.6619303), 'Walk': np.float32(0.6617491)}
t=90 | pred=Fall left | scores={'Fall backwards': np.float32(0.6686245), 'Fall forward': np.float32(0.67111796), 'Fall left': np.float32(0.6724403), 'Fall right': np.float32(0.66619444), 'Fall sitting': np.float32(0.6604666), 'Hop': np.float32(0.65873456), 'Kneel': np.float32(0.66788846), 'Pick up object': np.float32(0.6655923), 'Sit down': np.float32(0.66219336), 'Walk': np.float32(0.6618503)}
t=95 | pred=Fall left | scores={'Fall backwards': np.float32(0.66855574), 'Fall forward': np.float32(0.6713008), 'Fall left': np.float32(0.67249227), 'Fall right': np.float32(0.6662), 'Fall sitting': np.float32(0.6608891), 'Hop': np.float32(0.658621), 'Kneel': np.float32(0.6680131), 'Pick up object': np.float32(0.66558915), 'Sit down': np.float32(0.66227853), 'Walk': np.float32(0.66182226)}
t=100 | pred=Fall left | scores={'Fall backwards': np.float32(0.66835964), 'Fall forward': np.float32(0.6712931), 'Fall left': np.float32(0.67243993), 'Fall right': np.float32(0.6660938), 'Fall sitting': np.float32(0.66128314), 'Hop': np.float32(0.65826464), 'Kneel': np.float32(0.6679812), 'Pick up object': np.float32(0.6654194), 'Sit down': np.float32(0.6622603), 'Walk': np.float32(0.661589)}
t=105 | pred=Fall left | scores={'Fall backwards': np.float32(0.6682477), 'Fall forward': np.float32(0.67128354), 'Fall left': np.float32(0.67239887), 'Fall right': np.float32(0.66602767), 'Fall sitting': np.float32(0.6615214), 'Hop': np.float32(0.65809125), 'Kneel': np.float32(0.6680028), 'Pick up object': np.float32(0.66544193), 'Sit down': np.float32(0.6623187), 'Walk': np.float32(0.6614882)}
t=110 | pred=Fall left | scores={'Fall backwards': np.float32(0.66846967), 'Fall forward': np.float32(0.67156386), 'Fall left': np.float32(0.67259663), 'Fall right': np.float32(0.6662255), 'Fall sitting': np.float32(0.6619471), 'Hop': np.float32(0.65819204), 'Kneel': np.float32(0.668357), 'Pick up object': np.float32(0.66581494), 'Sit down': np.float32(0.66255915), 'Walk': np.float32(0.6616813)}
t=115 | pred=Fall left | scores={'Fall backwards': np.float32(0.6687028), 'Fall forward': np.float32(0.67176217), 'Fall left': np.float32(0.67274886), 'Fall right': np.float32(0.66643447), 'Fall sitting': np.float32(0.6622597), 'Hop': np.float32(0.658302), 'Kneel': np.float32(0.6686164), 'Pick up object': np.float32(0.66611284), 'Sit down': np.float32(0.66272897), 'Walk': np.float32(0.6618726)}
t=120 | pred=Fall left | scores={'Fall backwards': np.float32(0.6688813), 'Fall forward': np.float32(0.6717249), 'Fall left': np.float32(0.67285603), 'Fall right': np.float32(0.6665934), 'Fall sitting': np.float32(0.66259027), 'Hop': np.float32(0.6583193), 'Kneel': np.float32(0.66885126), 'Pick up object': np.float32(0.6663784), 'Sit down': np.float32(0.66302675), 'Walk': np.float32(0.6619768)}
t=125 | pred=Fall left | scores={'Fall backwards': np.float32(0.6688901), 'Fall forward': np.float32(0.67147607), 'Fall left': np.float32(0.6728519), 'Fall right': np.float32(0.6666175), 'Fall sitting': np.float32(0.66280395), 'Hop': np.float32(0.65826696), 'Kneel': np.float32(0.6689621), 'Pick up object': np.float32(0.6664897), 'Sit down': np.float32(0.6632923), 'Walk': np.float32(0.66192466)}
t=130 | pred=Fall left | scores={'Fall backwards': np.float32(0.6688671), 'Fall forward': np.float32(0.67139035), 'Fall left': np.float32(0.672858), 'Fall right': np.float32(0.6666535), 'Fall sitting': np.float32(0.6631285), 'Hop': np.float32(0.65845644), 'Kneel': np.float32(0.669188), 'Pick up object': np.float32(0.6667933), 'Sit down': np.float32(0.66348636), 'Walk': np.float32(0.66209865)}
t=135 | pred=Fall left | scores={'Fall backwards': np.float32(0.66879857), 'Fall forward': np.float32(0.67123467), 'Fall left': np.float32(0.67276865), 'Fall right': np.float32(0.6666214), 'Fall sitting': np.float32(0.6632915), 'Hop': np.float32(0.6584589), 'Kneel': np.float32(0.6692276), 'Pick up object': np.float32(0.6669255), 'Sit down': np.float32(0.6634441), 'Walk': np.float32(0.6621489)}
t=140 | pred=Fall left | scores={'Fall backwards': np.float32(0.66866547), 'Fall forward': np.float32(0.6709444), 'Fall left': np.float32(0.6725813), 'Fall right': np.float32(0.66647303), 'Fall sitting': np.float32(0.6633812), 'Hop': np.float32(0.65837723), 'Kneel': np.float32(0.6691686), 'Pick up object': np.float32(0.66699815), 'Sit down': np.float32(0.66333646), 'Walk': np.float32(0.66213024)}
t=145 | pred=Fall left | scores={'Fall backwards': np.float32(0.6685954), 'Fall forward': np.float32(0.6706998), 'Fall left': np.float32(0.67249525), 'Fall right': np.float32(0.6664293), 'Fall sitting': np.float32(0.6634798), 'Hop': np.float32(0.65861315), 'Kneel': np.float32(0.66914356), 'Pick up object': np.float32(0.6673344), 'Sit down': np.float32(0.66351026), 'Walk': np.float32(0.6623562)}
t=150 | pred=Fall left | scores={'Fall backwards': np.float32(0.6683802), 'Fall forward': np.float32(0.67030334), 'Fall left': np.float32(0.67224866), 'Fall right': np.float32(0.666236), 'Fall sitting': np.float32(0.663422), 'Hop': np.float32(0.6587475), 'Kneel': np.float32(0.6689596), 'Pick up object': np.float32(0.6675483), 'Sit down': np.float32(0.6635398), 'Walk': np.float32(0.66250074)}
t=155 | pred=Fall left | scores={'Fall backwards': np.float32(0.668126), 'Fall forward': np.float32(0.66986823), 'Fall left': np.float32(0.6719875), 'Fall right': np.float32(0.6659938), 'Fall sitting': np.float32(0.66331875), 'Hop': np.float32(0.6587957), 'Kneel': np.float32(0.66870505), 'Pick up object': np.float32(0.6676765), 'Sit down': np.float32(0.6635413), 'Walk': np.float32(0.6625475)}
t=160 | pred=Fall left | scores={'Fall backwards': np.float32(0.6677403), 'Fall forward': np.float32(0.66924214), 'Fall left': np.float32(0.67159253), 'Fall right': np.float32(0.6656187), 'Fall sitting': np.float32(0.66315466), 'Hop': np.float32(0.65869856), 'Kneel': np.float32(0.6683577), 'Pick up object': np.float32(0.6677274), 'Sit down': np.float32(0.6634271), 'Walk': np.float32(0.6624094)}
t=165 | pred=Fall left | scores={'Fall backwards': np.float32(0.6674192), 'Fall forward': np.float32(0.6687153), 'Fall left': np.float32(0.6712665), 'Fall right': np.float32(0.6653188), 'Fall sitting': np.float32(0.6629854), 'Hop': np.float32(0.65870714), 'Kneel': np.float32(0.6680425), 'Pick up object': np.float32(0.6677692), 'Sit down': np.float32(0.6633205), 'Walk': np.float32(0.66238564)}
t=170 | pred=Fall left | scores={'Fall backwards': np.float32(0.66698205), 'Fall forward': np.float32(0.66807365), 'Fall left': np.float32(0.67082685), 'Fall right': np.float32(0.6648937), 'Fall sitting': np.float32(0.6628138), 'Hop': np.float32(0.65858114), 'Kneel': np.float32(0.66759807), 'Pick up object': np.float32(0.6676531), 'Sit down': np.float32(0.6630854), 'Walk': np.float32(0.66213304)}
t=175 | pred=Fall left | scores={'Fall backwards': np.float32(0.66664064), 'Fall forward': np.float32(0.6676487), 'Fall left': np.float32(0.6705161), 'Fall right': np.float32(0.66452456), 'Fall sitting': np.float32(0.66292036), 'Hop': np.float32(0.658704), 'Kneel': np.float32(0.6673329), 'Pick up object': np.float32(0.6676544), 'Sit down': np.float32(0.662994), 'Walk': np.float32(0.66212606)}
t=180 | pred=Fall left | scores={'Fall backwards': np.float32(0.6664302), 'Fall forward': np.float32(0.66734046), 'Fall left': np.float32(0.6702991), 'Fall right': np.float32(0.6642197), 'Fall sitting': np.float32(0.66313505), 'Hop': np.float32(0.65887463), 'Kneel': np.float32(0.66717166), 'Pick up object': np.float32(0.6676499), 'Sit down': np.float32(0.6628697), 'Walk': np.float32(0.6622657)}
t=185 | pred=Fall left | scores={'Fall backwards': np.float32(0.6664709), 'Fall forward': np.float32(0.66740406), 'Fall left': np.float32(0.6703282), 'Fall right': np.float32(0.6642054), 'Fall sitting': np.float32(0.66327417), 'Hop': np.float32(0.659305), 'Kneel': np.float32(0.6672804), 'Pick up object': np.float32(0.667808), 'Sit down': np.float32(0.6628803), 'Walk': np.float32(0.66267604)}
