Ground Truth: Fall forward

t=15 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6590482), 'Fall forward': np.float32(0.66423357), 'Fall left': np.float32(0.6627616), 'Fall right': np.float32(0.6596871), 'Fall sitting': np.float32(0.64539933), 'Hop': np.float32(0.6618332), 'Kneel': np.float32(0.66106427), 'Pick up object': np.float32(0.6591332), 'Sit down': np.float32(0.65154475), 'Walk': np.float32(0.6632127)}
t=80 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6611033), 'Fall forward': np.float32(0.6664598), 'Fall left': np.float32(0.665207), 'Fall right': np.float32(0.6616467), 'Fall sitting': np.float32(0.6475656), 'Hop': np.float32(0.6622654), 'Kneel': np.float32(0.662801), 'Pick up object': np.float32(0.6609076), 'Sit down': np.float32(0.65318835), 'Walk': np.float32(0.66405624)}
t=85 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6620533), 'Fall forward': np.float32(0.6674946), 'Fall left': np.float32(0.66612786), 'Fall right': np.float32(0.6623988), 'Fall sitting': np.float32(0.6488563), 'Hop': np.float32(0.66220266), 'Kneel': np.float32(0.66349727), 'Pick up object': np.float32(0.6612744), 'Sit down': np.float32(0.6537373), 'Walk': np.float32(0.6640872)}
t=90 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66290754), 'Fall forward': np.float32(0.6687302), 'Fall left': np.float32(0.6668724), 'Fall right': np.float32(0.66301614), 'Fall sitting': np.float32(0.65006566), 'Hop': np.float32(0.6621359), 'Kneel': np.float32(0.66417813), 'Pick up object': np.float32(0.66154104), 'Sit down': np.float32(0.65407157), 'Walk': np.float32(0.66413504)}
t=95 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6636106), 'Fall forward': np.float32(0.66998297), 'Fall left': np.float32(0.667487), 'Fall right': np.float32(0.6634075), 'Fall sitting': np.float32(0.65090483), 'Hop': np.float32(0.66215307), 'Kneel': np.float32(0.66480696), 'Pick up object': np.float32(0.661633), 'Sit down': np.float32(0.6541622), 'Walk': np.float32(0.6641469)}
t=100 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66420066), 'Fall forward': np.float32(0.67152506), 'Fall left': np.float32(0.6681693), 'Fall right': np.float32(0.66374993), 'Fall sitting': np.float32(0.65196574), 'Hop': np.float32(0.66234034), 'Kneel': np.float32(0.6655337), 'Pick up object': np.float32(0.66205317), 'Sit down': np.float32(0.6544453), 'Walk': np.float32(0.66438144)}
t=105 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6647967), 'Fall forward': np.float32(0.6726532), 'Fall left': np.float32(0.6688381), 'Fall right': np.float32(0.66414994), 'Fall sitting': np.float32(0.65285856), 'Hop': np.float32(0.6625696), 'Kneel': np.float32(0.6661654), 'Pick up object': np.float32(0.6626039), 'Sit down': np.float32(0.6549043), 'Walk': np.float32(0.6646761)}
t=110 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6653974), 'Fall forward': np.float32(0.6737006), 'Fall left': np.float32(0.66948354), 'Fall right': np.float32(0.6645627), 'Fall sitting': np.float32(0.6536555), 'Hop': np.float32(0.662781), 'Kneel': np.float32(0.66677624), 'Pick up object': np.float32(0.66312724), 'Sit down': np.float32(0.6552937), 'Walk': np.float32(0.66495657)}
t=115 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66576916), 'Fall forward': np.float32(0.67456114), 'Fall left': np.float32(0.66991735), 'Fall right': np.float32(0.6648186), 'Fall sitting': np.float32(0.65423423), 'Hop': np.float32(0.6629297), 'Kneel': np.float32(0.6672113), 'Pick up object': np.float32(0.6634989), 'Sit down': np.float32(0.6555492), 'Walk': np.float32(0.6651662)}
t=120 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6660006), 'Fall forward': np.float32(0.6751872), 'Fall left': np.float32(0.6701721), 'Fall right': np.float32(0.6649698), 'Fall sitting': np.float32(0.6547078), 'Hop': np.float32(0.6628289), 'Kneel': np.float32(0.6674204), 'Pick up object': np.float32(0.6636203), 'Sit down': np.float32(0.6556385), 'Walk': np.float32(0.6651318)}
t=125 | pred=Fall forward | scores={'Fall backwards': np.float32(0.666323), 'Fall forward': np.float32(0.67563343), 'Fall left': np.float32(0.6704724), 'Fall right': np.float32(0.6652097), 'Fall sitting': np.float32(0.65512913), 'Hop': np.float32(0.6629237), 'Kneel': np.float32(0.6676183), 'Pick up object': np.float32(0.66385245), 'Sit down': np.float32(0.65585184), 'Walk': np.float32(0.6652592)}
t=130 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6667171), 'Fall forward': np.float32(0.6760913), 'Fall left': np.float32(0.67080563), 'Fall right': np.float32(0.66548866), 'Fall sitting': np.float32(0.6556108), 'Hop': np.float32(0.6629945), 'Kneel': np.float32(0.6678186), 'Pick up object': np.float32(0.6640991), 'Sit down': np.float32(0.65604395), 'Walk': np.float32(0.6653773)}
t=135 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6670443), 'Fall forward': np.float32(0.67655796), 'Fall left': np.float32(0.6710681), 'Fall right': np.float32(0.6657756), 'Fall sitting': np.float32(0.6559833), 'Hop': np.float32(0.66316843), 'Kneel': np.float32(0.668058), 'Pick up object': np.float32(0.664322), 'Sit down': np.float32(0.6562383), 'Walk': np.float32(0.6655645)}
t=140 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66731006), 'Fall forward': np.float32(0.67701006), 'Fall left': np.float32(0.67134076), 'Fall right': np.float32(0.6660315), 'Fall sitting': np.float32(0.6563479), 'Hop': np.float32(0.6632558), 'Kneel': np.float32(0.6683179), 'Pick up object': np.float32(0.6645156), 'Sit down': np.float32(0.656442), 'Walk': np.float32(0.66568214)}
t=145 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6674544), 'Fall forward': np.float32(0.6772814), 'Fall left': np.float32(0.6715156), 'Fall right': np.float32(0.6661912), 'Fall sitting': np.float32(0.656593), 'Hop': np.float32(0.66330695), 'Kneel': np.float32(0.668484), 'Pick up object': np.float32(0.6646381), 'Sit down': np.float32(0.65662634), 'Walk': np.float32(0.6657481)}
t=150 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6675676), 'Fall forward': np.float32(0.6775118), 'Fall left': np.float32(0.6716017), 'Fall right': np.float32(0.66625196), 'Fall sitting': np.float32(0.65692616), 'Hop': np.float32(0.66321033), 'Kneel': np.float32(0.6685519), 'Pick up object': np.float32(0.6646894), 'Sit down': np.float32(0.6566655), 'Walk': np.float32(0.66569465)}
