Ground Truth: Fall backwards

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.6517588), 'Fall forward': np.float32(0.6368984), 'Fall left': np.float32(0.6498585), 'Fall right': np.float32(0.65101165), 'Fall sitting': np.float32(0.6372298), 'Hop': np.float32(0.64573425), 'Kneel': np.float32(0.6490304), 'Pick up object': np.float32(0.64740616), 'Sit down': np.float32(0.6518773), 'Walk': np.float32(0.6474861)}
t=95 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6671305), 'Fall forward': np.float32(0.6525684), 'Fall left': np.float32(0.6632068), 'Fall right': np.float32(0.66436917), 'Fall sitting': np.float32(0.65165675), 'Hop': np.float32(0.657087), 'Kneel': np.float32(0.66184694), 'Pick up object': np.float32(0.66080534), 'Sit down': np.float32(0.66346633), 'Walk': np.float32(0.66055727)}
t=100 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6686192), 'Fall forward': np.float32(0.6537031), 'Fall left': np.float32(0.6644848), 'Fall right': np.float32(0.66562396), 'Fall sitting': np.float32(0.6529304), 'Hop': np.float32(0.65740246), 'Kneel': np.float32(0.662727), 'Pick up object': np.float32(0.66157496), 'Sit down': np.float32(0.6644527), 'Walk': np.float32(0.6608069)}
t=105 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66939056), 'Fall forward': np.float32(0.6541716), 'Fall left': np.float32(0.665164), 'Fall right': np.float32(0.66624343), 'Fall sitting': np.float32(0.653724), 'Hop': np.float32(0.6574345), 'Kneel': np.float32(0.66319364), 'Pick up object': np.float32(0.6620552), 'Sit down': np.float32(0.66500187), 'Walk': np.float32(0.6607012)}
t=110 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6704255), 'Fall forward': np.float32(0.6549195), 'Fall left': np.float32(0.6660654), 'Fall right': np.float32(0.6671408), 'Fall sitting': np.float32(0.6545755), 'Hop': np.float32(0.65749), 'Kneel': np.float32(0.6637255), 'Pick up object': np.float32(0.6626696), 'Sit down': np.float32(0.66555786), 'Walk': np.float32(0.660697)}
t=115 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67151093), 'Fall forward': np.float32(0.6557439), 'Fall left': np.float32(0.66713893), 'Fall right': np.float32(0.66827077), 'Fall sitting': np.float32(0.65524226), 'Hop': np.float32(0.6577961), 'Kneel': np.float32(0.66439664), 'Pick up object': np.float32(0.66329193), 'Sit down': np.float32(0.6661128), 'Walk': np.float32(0.66101104)}
t=120 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6724672), 'Fall forward': np.float32(0.65642035), 'Fall left': np.float32(0.6681032), 'Fall right': np.float32(0.6692431), 'Fall sitting': np.float32(0.65579456), 'Hop': np.float32(0.6579304), 'Kneel': np.float32(0.66496325), 'Pick up object': np.float32(0.6638285), 'Sit down': np.float32(0.66653675), 'Walk': np.float32(0.66111326)}
t=125 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6729007), 'Fall forward': np.float32(0.6565653), 'Fall left': np.float32(0.66856134), 'Fall right': np.float32(0.66974187), 'Fall sitting': np.float32(0.6560061), 'Hop': np.float32(0.657797), 'Kneel': np.float32(0.6651238), 'Pick up object': np.float32(0.6639737), 'Sit down': np.float32(0.6666256), 'Walk': np.float32(0.66090214)}
t=130 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6731651), 'Fall forward': np.float32(0.6566232), 'Fall left': np.float32(0.6688829), 'Fall right': np.float32(0.6700887), 'Fall sitting': np.float32(0.6561507), 'Hop': np.float32(0.65739685), 'Kneel': np.float32(0.665063), 'Pick up object': np.float32(0.66393214), 'Sit down': np.float32(0.6665795), 'Walk': np.float32(0.66045034)}
t=135 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67337954), 'Fall forward': np.float32(0.65645754), 'Fall left': np.float32(0.66909), 'Fall right': np.float32(0.6703299), 'Fall sitting': np.float32(0.65623134), 'Hop': np.float32(0.6570649), 'Kneel': np.float32(0.6649477), 'Pick up object': np.float32(0.6639406), 'Sit down': np.float32(0.6665623), 'Walk': np.float32(0.66001683)}
t=140 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67345786), 'Fall forward': np.float32(0.65621305), 'Fall left': np.float32(0.6691489), 'Fall right': np.float32(0.67043775), 'Fall sitting': np.float32(0.65619975), 'Hop': np.float32(0.656544), 'Kneel': np.float32(0.6646487), 'Pick up object': np.float32(0.6637694), 'Sit down': np.float32(0.6663096), 'Walk': np.float32(0.659394)}
t=145 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6734541), 'Fall forward': np.float32(0.65596825), 'Fall left': np.float32(0.6691285), 'Fall right': np.float32(0.6704434), 'Fall sitting': np.float32(0.6560493), 'Hop': np.float32(0.656127), 'Kneel': np.float32(0.6643855), 'Pick up object': np.float32(0.66357356), 'Sit down': np.float32(0.66606665), 'Walk': np.float32(0.6589093)}
t=150 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6735783), 'Fall forward': np.float32(0.65581656), 'Fall left': np.float32(0.6691912), 'Fall right': np.float32(0.6705248), 'Fall sitting': np.float32(0.655936), 'Hop': np.float32(0.6557894), 'Kneel': np.float32(0.6642423), 'Pick up object': np.float32(0.6634541), 'Sit down': np.float32(0.66590863), 'Walk': np.float32(0.6584817)}
t=155 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67370427), 'Fall forward': np.float32(0.65572906), 'Fall left': np.float32(0.66928315), 'Fall right': np.float32(0.6706224), 'Fall sitting': np.float32(0.6558535), 'Hop': np.float32(0.6556405), 'Kneel': np.float32(0.6641431), 'Pick up object': np.float32(0.6634085), 'Sit down': np.float32(0.66585386), 'Walk': np.float32(0.6582774)}
t=160 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67373735), 'Fall forward': np.float32(0.6555683), 'Fall left': np.float32(0.6693016), 'Fall right': np.float32(0.6706407), 'Fall sitting': np.float32(0.65575004), 'Hop': np.float32(0.6553615), 'Kneel': np.float32(0.6640175), 'Pick up object': np.float32(0.6633521), 'Sit down': np.float32(0.66573286), 'Walk': np.float32(0.6579023)}
t=165 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67382663), 'Fall forward': np.float32(0.6555584), 'Fall left': np.float32(0.66941), 'Fall right': np.float32(0.670747), 'Fall sitting': np.float32(0.65580046), 'Hop': np.float32(0.65528417), 'Kneel': np.float32(0.6640448), 'Pick up object': np.float32(0.66341954), 'Sit down': np.float32(0.665817), 'Walk': np.float32(0.65778977)}
t=170 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6739008), 'Fall forward': np.float32(0.65547246), 'Fall left': np.float32(0.6695118), 'Fall right': np.float32(0.6708294), 'Fall sitting': np.float32(0.6557746), 'Hop': np.float32(0.65515184), 'Kneel': np.float32(0.66405576), 'Pick up object': np.float32(0.6634773), 'Sit down': np.float32(0.6658801), 'Walk': np.float32(0.6576128)}
t=175 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6740017), 'Fall forward': np.float32(0.655514), 'Fall left': np.float32(0.66967905), 'Fall right': np.float32(0.6709759), 'Fall sitting': np.float32(0.6558596), 'Hop': np.float32(0.6552324), 'Kneel': np.float32(0.6642081), 'Pick up object': np.float32(0.66363734), 'Sit down': np.float32(0.66603273), 'Walk': np.float32(0.6576315)}
t=180 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.674093), 'Fall forward': np.float32(0.65555936), 'Fall left': np.float32(0.6698648), 'Fall right': np.float32(0.6711387), 'Fall sitting': np.float32(0.6559924), 'Hop': np.float32(0.65525573), 'Kneel': np.float32(0.66433823), 'Pick up object': np.float32(0.6638388), 'Sit down': np.float32(0.66616625), 'Walk': np.float32(0.65759695)}
t=185 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67435104), 'Fall forward': np.float32(0.65581167), 'Fall left': np.float32(0.67018574), 'Fall right': np.float32(0.6714421), 'Fall sitting': np.float32(0.65632385), 'Hop': np.float32(0.65546274), 'Kneel': np.float32(0.66465795), 'Pick up object': np.float32(0.664162), 'Sit down': np.float32(0.6664577), 'Walk': np.float32(0.6578293)}
t=190 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6749223), 'Fall forward': np.float32(0.65640634), 'Fall left': np.float32(0.6707849), 'Fall right': np.float32(0.6720473), 'Fall sitting': np.float32(0.6568592), 'Hop': np.float32(0.65591276), 'Kneel': np.float32(0.665293), 'Pick up object': np.float32(0.664748), 'Sit down': np.float32(0.66693646), 'Walk': np.float32(0.6583368)}
t=195 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6755423), 'Fall forward': np.float32(0.6571087), 'Fall left': np.float32(0.6713833), 'Fall right': np.float32(0.67267257), 'Fall sitting': np.float32(0.65745544), 'Hop': np.float32(0.65642446), 'Kneel': np.float32(0.66595614), 'Pick up object': np.float32(0.66535044), 'Sit down': np.float32(0.6674042), 'Walk': np.float32(0.65889966)}
t=200 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6762067), 'Fall forward': np.float32(0.65794736), 'Fall left': np.float32(0.672075), 'Fall right': np.float32(0.67337435), 'Fall sitting': np.float32(0.6581796), 'Hop': np.float32(0.65696687), 'Kneel': np.float32(0.66670257), 'Pick up object': np.float32(0.6659559), 'Sit down': np.float32(0.6679698), 'Walk': np.float32(0.65948445)}
t=205 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.676632), 'Fall forward': np.float32(0.6584927), 'Fall left': np.float32(0.6724979), 'Fall right': np.float32(0.6738122), 'Fall sitting': np.float32(0.658596), 'Hop': np.float32(0.65730095), 'Kneel': np.float32(0.66717273), 'Pick up object': np.float32(0.66630644), 'Sit down': np.float32(0.66827637), 'Walk': np.float32(0.65987104)}
t=210 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67696923), 'Fall forward': np.float32(0.6589512), 'Fall left': np.float32(0.67287254), 'Fall right': np.float32(0.6741955), 'Fall sitting': np.float32(0.65892416), 'Hop': np.float32(0.65752953), 'Kneel': np.float32(0.66756934), 'Pick up object': np.float32(0.6665568), 'Sit down': np.float32(0.66848564), 'Walk': np.float32(0.6601592)}
t=215 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6772392), 'Fall forward': np.float32(0.65935993), 'Fall left': np.float32(0.6731382), 'Fall right': np.float32(0.67448103), 'Fall sitting': np.float32(0.6591879), 'Hop': np.float32(0.657708), 'Kneel': np.float32(0.66791826), 'Pick up object': np.float32(0.6667504), 'Sit down': np.float32(0.6686186), 'Walk': np.float32(0.6603985)}
t=220 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6775506), 'Fall forward': np.float32(0.65980446), 'Fall left': np.float32(0.6734632), 'Fall right': np.float32(0.67481506), 'Fall sitting': np.float32(0.6595103), 'Hop': np.float32(0.65787625), 'Kneel': np.float32(0.6683131), 'Pick up object': np.float32(0.66697854), 'Sit down': np.float32(0.6687819), 'Walk': np.float32(0.66063225)}
t=225 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6777441), 'Fall forward': np.float32(0.6601257), 'Fall left': np.float32(0.6736634), 'Fall right': np.float32(0.6750424), 'Fall sitting': np.float32(0.65969497), 'Hop': np.float32(0.65798527), 'Kneel': np.float32(0.66858155), 'Pick up object': np.float32(0.6671263), 'Sit down': np.float32(0.6688527), 'Walk': np.float32(0.6607993)}
t=230 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.677915), 'Fall forward': np.float32(0.6604221), 'Fall left': np.float32(0.67383903), 'Fall right': np.float32(0.67524725), 'Fall sitting': np.float32(0.6598578), 'Hop': np.float32(0.65807754), 'Kneel': np.float32(0.66884226), 'Pick up object': np.float32(0.6672574), 'Sit down': np.float32(0.66886604), 'Walk': np.float32(0.6609422)}
t=235 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67800355), 'Fall forward': np.float32(0.66063267), 'Fall left': np.float32(0.6739108), 'Fall right': np.float32(0.6753489), 'Fall sitting': np.float32(0.6599036), 'Hop': np.float32(0.6580999), 'Kneel': np.float32(0.66900265), 'Pick up object': np.float32(0.6672998), 'Sit down': np.float32(0.66878927), 'Walk': np.float32(0.6610229)}
t=240 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6780783), 'Fall forward': np.float32(0.6608219), 'Fall left': np.float32(0.6739831), 'Fall right': np.float32(0.6754367), 'Fall sitting': np.float32(0.65995884), 'Hop': np.float32(0.6580959), 'Kneel': np.float32(0.6691332), 'Pick up object': np.float32(0.6673651), 'Sit down': np.float32(0.6687247), 'Walk': np.float32(0.6610834)}
t=245 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6781093), 'Fall forward': np.float32(0.6608744), 'Fall left': np.float32(0.6739995), 'Fall right': np.float32(0.67545664), 'Fall sitting': np.float32(0.6599576), 'Hop': np.float32(0.65804005), 'Kneel': np.float32(0.6692013), 'Pick up object': np.float32(0.667361), 'Sit down': np.float32(0.6686733), 'Walk': np.float32(0.66107196)}
t=250 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.678267), 'Fall forward': np.float32(0.6610834), 'Fall left': np.float32(0.6741511), 'Fall right': np.float32(0.6756196), 'Fall sitting': np.float32(0.6600933), 'Hop': np.float32(0.65809405), 'Kneel': np.float32(0.6693906), 'Pick up object': np.float32(0.66745794), 'Sit down': np.float32(0.6687239), 'Walk': np.float32(0.6611972)}
