Ground Truth: Pick up object

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66915154), 'Fall forward': np.float32(0.6643861), 'Fall left': np.float32(0.66710794), 'Fall right': np.float32(0.66582775), 'Fall sitting': np.float32(0.65349615), 'Hop': np.float32(0.66177464), 'Kneel': np.float32(0.6657323), 'Pick up object': np.float32(0.6679262), 'Sit down': np.float32(0.6613553), 'Walk': np.float32(0.6657139)}
t=70 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66327685), 'Fall forward': np.float32(0.66013795), 'Fall left': np.float32(0.66419595), 'Fall right': np.float32(0.66295016), 'Fall sitting': np.float32(0.655948), 'Hop': np.float32(0.6698312), 'Kneel': np.float32(0.6670533), 'Pick up object': np.float32(0.67218834), 'Sit down': np.float32(0.6658681), 'Walk': np.float32(0.66910994)}
t=75 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6643452), 'Fall forward': np.float32(0.6610046), 'Fall left': np.float32(0.6651366), 'Fall right': np.float32(0.66420305), 'Fall sitting': np.float32(0.6571237), 'Hop': np.float32(0.6698276), 'Kneel': np.float32(0.66808057), 'Pick up object': np.float32(0.672868), 'Sit down': np.float32(0.66694975), 'Walk': np.float32(0.6690852)}
t=80 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6650349), 'Fall forward': np.float32(0.6617838), 'Fall left': np.float32(0.66582423), 'Fall right': np.float32(0.6652157), 'Fall sitting': np.float32(0.6582768), 'Hop': np.float32(0.66967636), 'Kneel': np.float32(0.6689621), 'Pick up object': np.float32(0.67349845), 'Sit down': np.float32(0.66791964), 'Walk': np.float32(0.6689863)}
t=85 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6653069), 'Fall forward': np.float32(0.66209424), 'Fall left': np.float32(0.6660628), 'Fall right': np.float32(0.6656711), 'Fall sitting': np.float32(0.6588112), 'Hop': np.float32(0.66925794), 'Kneel': np.float32(0.6692955), 'Pick up object': np.float32(0.67367214), 'Sit down': np.float32(0.66827095), 'Walk': np.float32(0.66856873)}
t=90 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66562545), 'Fall forward': np.float32(0.6622643), 'Fall left': np.float32(0.6663794), 'Fall right': np.float32(0.66609406), 'Fall sitting': np.float32(0.6593587), 'Hop': np.float32(0.66874117), 'Kneel': np.float32(0.6696326), 'Pick up object': np.float32(0.6740036), 'Sit down': np.float32(0.668586), 'Walk': np.float32(0.6680562)}
t=95 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66536796), 'Fall forward': np.float32(0.6617325), 'Fall left': np.float32(0.6660831), 'Fall right': np.float32(0.6657978), 'Fall sitting': np.float32(0.65938056), 'Hop': np.float32(0.6680153), 'Kneel': np.float32(0.6693421), 'Pick up object': np.float32(0.67394096), 'Sit down': np.float32(0.668337), 'Walk': np.float32(0.6672451)}
t=100 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66484374), 'Fall forward': np.float32(0.6611247), 'Fall left': np.float32(0.66553617), 'Fall right': np.float32(0.6652395), 'Fall sitting': np.float32(0.65930235), 'Hop': np.float32(0.66726273), 'Kneel': np.float32(0.6690342), 'Pick up object': np.float32(0.67376924), 'Sit down': np.float32(0.6678883), 'Walk': np.float32(0.6663758)}
t=105 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6643208), 'Fall forward': np.float32(0.66067076), 'Fall left': np.float32(0.6650464), 'Fall right': np.float32(0.66467255), 'Fall sitting': np.float32(0.65900755), 'Hop': np.float32(0.6667469), 'Kneel': np.float32(0.66884565), 'Pick up object': np.float32(0.67358935), 'Sit down': np.float32(0.6674661), 'Walk': np.float32(0.6658033)}
t=110 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6639401), 'Fall forward': np.float32(0.6603054), 'Fall left': np.float32(0.6647339), 'Fall right': np.float32(0.6643333), 'Fall sitting': np.float32(0.6588949), 'Hop': np.float32(0.666414), 'Kneel': np.float32(0.6688269), 'Pick up object': np.float32(0.6735972), 'Sit down': np.float32(0.6673424), 'Walk': np.float32(0.66547316)}
t=115 | pred=Pick up object | scores={'Fall backwards': np.float32(0.664021), 'Fall forward': np.float32(0.6603466), 'Fall left': np.float32(0.6648417), 'Fall right': np.float32(0.66441804), 'Fall sitting': np.float32(0.6590872), 'Hop': np.float32(0.6666832), 'Kneel': np.float32(0.6691684), 'Pick up object': np.float32(0.67402536), 'Sit down': np.float32(0.6677492), 'Walk': np.float32(0.66579103)}
t=120 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6644074), 'Fall forward': np.float32(0.66081023), 'Fall left': np.float32(0.66529703), 'Fall right': np.float32(0.66486394), 'Fall sitting': np.float32(0.65965146), 'Hop': np.float32(0.6672879), 'Kneel': np.float32(0.6699041), 'Pick up object': np.float32(0.6747562), 'Sit down': np.float32(0.66837275), 'Walk': np.float32(0.666434)}
t=125 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66470164), 'Fall forward': np.float32(0.66117173), 'Fall left': np.float32(0.66568017), 'Fall right': np.float32(0.66514915), 'Fall sitting': np.float32(0.6600539), 'Hop': np.float32(0.6678237), 'Kneel': np.float32(0.6704145), 'Pick up object': np.float32(0.67536753), 'Sit down': np.float32(0.66884565), 'Walk': np.float32(0.6670061)}
t=130 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6652069), 'Fall forward': np.float32(0.661713), 'Fall left': np.float32(0.6662117), 'Fall right': np.float32(0.6655907), 'Fall sitting': np.float32(0.6605901), 'Hop': np.float32(0.6684563), 'Kneel': np.float32(0.67110056), 'Pick up object': np.float32(0.6761794), 'Sit down': np.float32(0.66953486), 'Walk': np.float32(0.6676829)}
t=135 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6654223), 'Fall forward': np.float32(0.6619866), 'Fall left': np.float32(0.6664366), 'Fall right': np.float32(0.6657309), 'Fall sitting': np.float32(0.6607802), 'Hop': np.float32(0.66890484), 'Kneel': np.float32(0.67145663), 'Pick up object': np.float32(0.67670214), 'Sit down': np.float32(0.6699109), 'Walk': np.float32(0.66812736)}
t=140 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6656261), 'Fall forward': np.float32(0.6622633), 'Fall left': np.float32(0.6666275), 'Fall right': np.float32(0.6658136), 'Fall sitting': np.float32(0.66103345), 'Hop': np.float32(0.6692033), 'Kneel': np.float32(0.6718302), 'Pick up object': np.float32(0.6771812), 'Sit down': np.float32(0.67020226), 'Walk': np.float32(0.6684407)}
t=145 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6655571), 'Fall forward': np.float32(0.6622575), 'Fall left': np.float32(0.66658974), 'Fall right': np.float32(0.6656706), 'Fall sitting': np.float32(0.66100883), 'Hop': np.float32(0.669283), 'Kneel': np.float32(0.6718579), 'Pick up object': np.float32(0.67729425), 'Sit down': np.float32(0.67017645), 'Walk': np.float32(0.668509)}
t=150 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6654026), 'Fall forward': np.float32(0.662168), 'Fall left': np.float32(0.66644746), 'Fall right': np.float32(0.6654047), 'Fall sitting': np.float32(0.6608594), 'Hop': np.float32(0.66928756), 'Kneel': np.float32(0.6718089), 'Pick up object': np.float32(0.6772372), 'Sit down': np.float32(0.6700582), 'Walk': np.float32(0.66852826)}
