Ground Truth: Fall left

t=15 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6337775), 'Fall forward': np.float32(0.6321765), 'Fall left': np.float32(0.64136946), 'Fall right': np.float32(0.63388073), 'Fall sitting': np.float32(0.6458587), 'Hop': np.float32(0.6329995), 'Kneel': np.float32(0.63528997), 'Pick up object': np.float32(0.6386311), 'Sit down': np.float32(0.6442043), 'Walk': np.float32(0.63283825)}
t=70 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64114803), 'Fall forward': np.float32(0.6350943), 'Fall left': np.float32(0.6489223), 'Fall right': np.float32(0.63973033), 'Fall sitting': np.float32(0.6545373), 'Hop': np.float32(0.6375029), 'Kneel': np.float32(0.64092994), 'Pick up object': np.float32(0.64291835), 'Sit down': np.float32(0.6522104), 'Walk': np.float32(0.6363513)}
t=75 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64178175), 'Fall forward': np.float32(0.635593), 'Fall left': np.float32(0.64955676), 'Fall right': np.float32(0.6402509), 'Fall sitting': np.float32(0.6550988), 'Hop': np.float32(0.63811564), 'Kneel': np.float32(0.64125526), 'Pick up object': np.float32(0.64319426), 'Sit down': np.float32(0.65237033), 'Walk': np.float32(0.6368178)}
t=80 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6418345), 'Fall forward': np.float32(0.6355293), 'Fall left': np.float32(0.64974374), 'Fall right': np.float32(0.640273), 'Fall sitting': np.float32(0.6551473), 'Hop': np.float32(0.6382833), 'Kneel': np.float32(0.6410717), 'Pick up object': np.float32(0.642973), 'Sit down': np.float32(0.6518199), 'Walk': np.float32(0.63678396)}
t=85 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6417504), 'Fall forward': np.float32(0.6354229), 'Fall left': np.float32(0.649775), 'Fall right': np.float32(0.640089), 'Fall sitting': np.float32(0.6549537), 'Hop': np.float32(0.6382288), 'Kneel': np.float32(0.6408448), 'Pick up object': np.float32(0.64268416), 'Sit down': np.float32(0.6512268), 'Walk': np.float32(0.63661695)}
t=90 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64087546), 'Fall forward': np.float32(0.63461375), 'Fall left': np.float32(0.64916664), 'Fall right': np.float32(0.63916963), 'Fall sitting': np.float32(0.6542312), 'Hop': np.float32(0.63749206), 'Kneel': np.float32(0.6400012), 'Pick up object': np.float32(0.64169014), 'Sit down': np.float32(0.65011936), 'Walk': np.float32(0.6356922)}
t=95 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6397806), 'Fall forward': np.float32(0.63362455), 'Fall left': np.float32(0.6483026), 'Fall right': np.float32(0.63807595), 'Fall sitting': np.float32(0.65341157), 'Hop': np.float32(0.63661546), 'Kneel': np.float32(0.6390415), 'Pick up object': np.float32(0.64058596), 'Sit down': np.float32(0.6489974), 'Walk': np.float32(0.63469625)}
t=100 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63873863), 'Fall forward': np.float32(0.6326903), 'Fall left': np.float32(0.64749664), 'Fall right': np.float32(0.63711214), 'Fall sitting': np.float32(0.6527608), 'Hop': np.float32(0.6356846), 'Kneel': np.float32(0.6381048), 'Pick up object': np.float32(0.6394756), 'Sit down': np.float32(0.6478854), 'Walk': np.float32(0.63364094)}
t=105 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63814116), 'Fall forward': np.float32(0.632265), 'Fall left': np.float32(0.647055), 'Fall right': np.float32(0.6366151), 'Fall sitting': np.float32(0.6525665), 'Hop': np.float32(0.63511395), 'Kneel': np.float32(0.6376198), 'Pick up object': np.float32(0.6388534), 'Sit down': np.float32(0.6472899), 'Walk': np.float32(0.6330648)}
t=110 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.637794), 'Fall forward': np.float32(0.6321095), 'Fall left': np.float32(0.64683324), 'Fall right': np.float32(0.6363633), 'Fall sitting': np.float32(0.6526474), 'Hop': np.float32(0.6347403), 'Kneel': np.float32(0.637354), 'Pick up object': np.float32(0.63840467), 'Sit down': np.float32(0.64681876), 'Walk': np.float32(0.6326728)}
t=115 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63731253), 'Fall forward': np.float32(0.63174415), 'Fall left': np.float32(0.64644843), 'Fall right': np.float32(0.63593876), 'Fall sitting': np.float32(0.6523817), 'Hop': np.float32(0.63424355), 'Kneel': np.float32(0.6368905), 'Pick up object': np.float32(0.63781714), 'Sit down': np.float32(0.64628696), 'Walk': np.float32(0.6321529)}
t=120 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6371667), 'Fall forward': np.float32(0.6317013), 'Fall left': np.float32(0.64639187), 'Fall right': np.float32(0.63585943), 'Fall sitting': np.float32(0.6524666), 'Hop': np.float32(0.634112), 'Kneel': np.float32(0.6367102), 'Pick up object': np.float32(0.637503), 'Sit down': np.float32(0.6460422), 'Walk': np.float32(0.6319739)}
t=125 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63684034), 'Fall forward': np.float32(0.6315048), 'Fall left': np.float32(0.64611006), 'Fall right': np.float32(0.6355162), 'Fall sitting': np.float32(0.65223145), 'Hop': np.float32(0.6337812), 'Kneel': np.float32(0.63639504), 'Pick up object': np.float32(0.63705593), 'Sit down': np.float32(0.6456993), 'Walk': np.float32(0.63165826)}
t=130 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6364828), 'Fall forward': np.float32(0.6311996), 'Fall left': np.float32(0.64580816), 'Fall right': np.float32(0.63515276), 'Fall sitting': np.float32(0.6518175), 'Hop': np.float32(0.63351375), 'Kneel': np.float32(0.63598144), 'Pick up object': np.float32(0.6366111), 'Sit down': np.float32(0.64532304), 'Walk': np.float32(0.6313217)}
t=135 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6360867), 'Fall forward': np.float32(0.6309717), 'Fall left': np.float32(0.6455219), 'Fall right': np.float32(0.63481706), 'Fall sitting': np.float32(0.65164137), 'Hop': np.float32(0.63331085), 'Kneel': np.float32(0.63567686), 'Pick up object': np.float32(0.6362982), 'Sit down': np.float32(0.6449367), 'Walk': np.float32(0.63105965)}
t=140 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63548857), 'Fall forward': np.float32(0.6305487), 'Fall left': np.float32(0.6450567), 'Fall right': np.float32(0.6343346), 'Fall sitting': np.float32(0.65139586), 'Hop': np.float32(0.6329374), 'Kneel': np.float32(0.63519436), 'Pick up object': np.float32(0.6357711), 'Sit down': np.float32(0.6443631), 'Walk': np.float32(0.6305788)}
t=145 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63488185), 'Fall forward': np.float32(0.6300243), 'Fall left': np.float32(0.6445627), 'Fall right': np.float32(0.63378125), 'Fall sitting': np.float32(0.65096456), 'Hop': np.float32(0.632512), 'Kneel': np.float32(0.6346878), 'Pick up object': np.float32(0.6352251), 'Sit down': np.float32(0.64382565), 'Walk': np.float32(0.6300624)}
t=150 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6342396), 'Fall forward': np.float32(0.62947744), 'Fall left': np.float32(0.6440397), 'Fall right': np.float32(0.63320047), 'Fall sitting': np.float32(0.6504586), 'Hop': np.float32(0.63206875), 'Kneel': np.float32(0.6341627), 'Pick up object': np.float32(0.6346485), 'Sit down': np.float32(0.6431872), 'Walk': np.float32(0.6295195)}
t=155 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6337234), 'Fall forward': np.float32(0.62905157), 'Fall left': np.float32(0.6436132), 'Fall right': np.float32(0.6327277), 'Fall sitting': np.float32(0.65002406), 'Hop': np.float32(0.63172716), 'Kneel': np.float32(0.63374454), 'Pick up object': np.float32(0.63419676), 'Sit down': np.float32(0.64264864), 'Walk': np.float32(0.6290986)}
t=160 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6331185), 'Fall forward': np.float32(0.6285318), 'Fall left': np.float32(0.6430953), 'Fall right': np.float32(0.6322145), 'Fall sitting': np.float32(0.64950466), 'Hop': np.float32(0.63124526), 'Kneel': np.float32(0.63324887), 'Pick up object': np.float32(0.63360274), 'Sit down': np.float32(0.6419769), 'Walk': np.float32(0.62852144)}
