Ground Truth: Fall backwards

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6635542), 'Fall forward': np.float32(0.6584856), 'Fall left': np.float32(0.66167974), 'Fall right': np.float32(0.66186124), 'Fall sitting': np.float32(0.6518268), 'Hop': np.float32(0.65881974), 'Kneel': np.float32(0.66018), 'Pick up object': np.float32(0.65662676), 'Sit down': np.float32(0.65814245), 'Walk': np.float32(0.6616816)}
t=80 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6714451), 'Fall forward': np.float32(0.6658253), 'Fall left': np.float32(0.6688137), 'Fall right': np.float32(0.66894156), 'Fall sitting': np.float32(0.65888906), 'Hop': np.float32(0.66015786), 'Kneel': np.float32(0.6660686), 'Pick up object': np.float32(0.6621572), 'Sit down': np.float32(0.66012436), 'Walk': np.float32(0.66309106)}
t=85 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6719795), 'Fall forward': np.float32(0.66585666), 'Fall left': np.float32(0.6690789), 'Fall right': np.float32(0.669297), 'Fall sitting': np.float32(0.658982), 'Hop': np.float32(0.66003394), 'Kneel': np.float32(0.6659375), 'Pick up object': np.float32(0.662238), 'Sit down': np.float32(0.65983707), 'Walk': np.float32(0.66287875)}
t=90 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6723671), 'Fall forward': np.float32(0.66570723), 'Fall left': np.float32(0.66917706), 'Fall right': np.float32(0.6695141), 'Fall sitting': np.float32(0.65916437), 'Hop': np.float32(0.6597254), 'Kneel': np.float32(0.6656108), 'Pick up object': np.float32(0.6621885), 'Sit down': np.float32(0.65941834), 'Walk': np.float32(0.66245335)}
t=95 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67253417), 'Fall forward': np.float32(0.66547817), 'Fall left': np.float32(0.66912514), 'Fall right': np.float32(0.6695393), 'Fall sitting': np.float32(0.6591438), 'Hop': np.float32(0.659359), 'Kneel': np.float32(0.6652069), 'Pick up object': np.float32(0.66204315), 'Sit down': np.float32(0.6588938), 'Walk': np.float32(0.6620113)}
t=100 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6726625), 'Fall forward': np.float32(0.66521966), 'Fall left': np.float32(0.6690421), 'Fall right': np.float32(0.6695154), 'Fall sitting': np.float32(0.65911144), 'Hop': np.float32(0.6588485), 'Kneel': np.float32(0.6647422), 'Pick up object': np.float32(0.6618309), 'Sit down': np.float32(0.6582686), 'Walk': np.float32(0.66146713)}
t=105 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6727627), 'Fall forward': np.float32(0.6651029), 'Fall left': np.float32(0.6690239), 'Fall right': np.float32(0.66951776), 'Fall sitting': np.float32(0.65911627), 'Hop': np.float32(0.65851), 'Kneel': np.float32(0.66441965), 'Pick up object': np.float32(0.6616955), 'Sit down': np.float32(0.65786374), 'Walk': np.float32(0.6611041)}
t=110 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6729462), 'Fall forward': np.float32(0.6651787), 'Fall left': np.float32(0.66909575), 'Fall right': np.float32(0.6695784), 'Fall sitting': np.float32(0.65919167), 'Hop': np.float32(0.6581716), 'Kneel': np.float32(0.6641458), 'Pick up object': np.float32(0.6616215), 'Sit down': np.float32(0.6574497), 'Walk': np.float32(0.6607851)}
t=115 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67307705), 'Fall forward': np.float32(0.6652476), 'Fall left': np.float32(0.66912526), 'Fall right': np.float32(0.6696305), 'Fall sitting': np.float32(0.659183), 'Hop': np.float32(0.65794694), 'Kneel': np.float32(0.66397834), 'Pick up object': np.float32(0.6615802), 'Sit down': np.float32(0.6571507), 'Walk': np.float32(0.6605394)}
t=120 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67317265), 'Fall forward': np.float32(0.66528755), 'Fall left': np.float32(0.6692324), 'Fall right': np.float32(0.669715), 'Fall sitting': np.float32(0.6592263), 'Hop': np.float32(0.6577528), 'Kneel': np.float32(0.66385955), 'Pick up object': np.float32(0.6616333), 'Sit down': np.float32(0.6569211), 'Walk': np.float32(0.66028506)}
t=125 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6731691), 'Fall forward': np.float32(0.6652328), 'Fall left': np.float32(0.6692735), 'Fall right': np.float32(0.6697546), 'Fall sitting': np.float32(0.65919125), 'Hop': np.float32(0.6576593), 'Kneel': np.float32(0.6637772), 'Pick up object': np.float32(0.6616811), 'Sit down': np.float32(0.6568267), 'Walk': np.float32(0.6601332)}
