Ground Truth: Fall sitting

t=15 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63443935), 'Fall forward': np.float32(0.637117), 'Fall left': np.float32(0.64174324), 'Fall right': np.float32(0.6334172), 'Fall sitting': np.float32(0.65840924), 'Hop': np.float32(0.634603), 'Kneel': np.float32(0.6399115), 'Pick up object': np.float32(0.6398144), 'Sit down': np.float32(0.64861023), 'Walk': np.float32(0.63306653)}
t=70 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63981533), 'Fall forward': np.float32(0.6426468), 'Fall left': np.float32(0.6471635), 'Fall right': np.float32(0.64046615), 'Fall sitting': np.float32(0.66520876), 'Hop': np.float32(0.64188236), 'Kneel': np.float32(0.64538556), 'Pick up object': np.float32(0.64495844), 'Sit down': np.float32(0.6498564), 'Walk': np.float32(0.6406622)}
t=75 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63860583), 'Fall forward': np.float32(0.6416459), 'Fall left': np.float32(0.6458915), 'Fall right': np.float32(0.63940233), 'Fall sitting': np.float32(0.66477954), 'Hop': np.float32(0.6403637), 'Kneel': np.float32(0.643974), 'Pick up object': np.float32(0.6437041), 'Sit down': np.float32(0.6477514), 'Walk': np.float32(0.6391746)}
t=80 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6374561), 'Fall forward': np.float32(0.64062256), 'Fall left': np.float32(0.6446356), 'Fall right': np.float32(0.638373), 'Fall sitting': np.float32(0.66416186), 'Hop': np.float32(0.6389378), 'Kneel': np.float32(0.6425246), 'Pick up object': np.float32(0.6424359), 'Sit down': np.float32(0.64565665), 'Walk': np.float32(0.63778096)}
t=85 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63704216), 'Fall forward': np.float32(0.6402337), 'Fall left': np.float32(0.6441451), 'Fall right': np.float32(0.6380359), 'Fall sitting': np.float32(0.6638238), 'Hop': np.float32(0.6382777), 'Kneel': np.float32(0.6418857), 'Pick up object': np.float32(0.6418316), 'Sit down': np.float32(0.64455664), 'Walk': np.float32(0.63713247)}
t=90 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6367013), 'Fall forward': np.float32(0.63982594), 'Fall left': np.float32(0.64370924), 'Fall right': np.float32(0.6377019), 'Fall sitting': np.float32(0.6635915), 'Hop': np.float32(0.6376033), 'Kneel': np.float32(0.6412503), 'Pick up object': np.float32(0.6412281), 'Sit down': np.float32(0.6434525), 'Walk': np.float32(0.63638514)}
t=95 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63666236), 'Fall forward': np.float32(0.639751), 'Fall left': np.float32(0.6436142), 'Fall right': np.float32(0.63768023), 'Fall sitting': np.float32(0.6635777), 'Hop': np.float32(0.6373552), 'Kneel': np.float32(0.6409974), 'Pick up object': np.float32(0.6409747), 'Sit down': np.float32(0.64288497), 'Walk': np.float32(0.63607144)}
t=100 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63688856), 'Fall forward': np.float32(0.6399917), 'Fall left': np.float32(0.64378965), 'Fall right': np.float32(0.6379366), 'Fall sitting': np.float32(0.6639697), 'Hop': np.float32(0.63736045), 'Kneel': np.float32(0.64104426), 'Pick up object': np.float32(0.641001), 'Sit down': np.float32(0.6425811), 'Walk': np.float32(0.6359665)}
t=105 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63698), 'Fall forward': np.float32(0.64009225), 'Fall left': np.float32(0.643877), 'Fall right': np.float32(0.638082), 'Fall sitting': np.float32(0.6641897), 'Hop': np.float32(0.6372708), 'Kneel': np.float32(0.6410416), 'Pick up object': np.float32(0.640949), 'Sit down': np.float32(0.64237577), 'Walk': np.float32(0.6358089)}
t=110 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.636792), 'Fall forward': np.float32(0.63991743), 'Fall left': np.float32(0.64365715), 'Fall right': np.float32(0.637932), 'Fall sitting': np.float32(0.66419595), 'Hop': np.float32(0.636889), 'Kneel': np.float32(0.6407592), 'Pick up object': np.float32(0.64063257), 'Sit down': np.float32(0.6418487), 'Walk': np.float32(0.6353653)}
t=115 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6363253), 'Fall forward': np.float32(0.6394311), 'Fall left': np.float32(0.64316887), 'Fall right': np.float32(0.63749385), 'Fall sitting': np.float32(0.6639577), 'Hop': np.float32(0.6363224), 'Kneel': np.float32(0.6402454), 'Pick up object': np.float32(0.6401101), 'Sit down': np.float32(0.6411688), 'Walk': np.float32(0.6347673)}
t=120 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63569856), 'Fall forward': np.float32(0.6388364), 'Fall left': np.float32(0.6425164), 'Fall right': np.float32(0.6369018), 'Fall sitting': np.float32(0.66360295), 'Hop': np.float32(0.63561285), 'Kneel': np.float32(0.63956475), 'Pick up object': np.float32(0.63943434), 'Sit down': np.float32(0.6402283), 'Walk': np.float32(0.6339848)}
t=125 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63525957), 'Fall forward': np.float32(0.6384299), 'Fall left': np.float32(0.6420743), 'Fall right': np.float32(0.63651025), 'Fall sitting': np.float32(0.6633251), 'Hop': np.float32(0.6351129), 'Kneel': np.float32(0.6391132), 'Pick up object': np.float32(0.63898635), 'Sit down': np.float32(0.6396365), 'Walk': np.float32(0.6334589)}
t=130 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63479805), 'Fall forward': np.float32(0.6380231), 'Fall left': np.float32(0.64162624), 'Fall right': np.float32(0.63608724), 'Fall sitting': np.float32(0.66304547), 'Hop': np.float32(0.6345514), 'Kneel': np.float32(0.6386391), 'Pick up object': np.float32(0.63851464), 'Sit down': np.float32(0.6390186), 'Walk': np.float32(0.6328665)}
t=135 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6344724), 'Fall forward': np.float32(0.6377284), 'Fall left': np.float32(0.641296), 'Fall right': np.float32(0.6357789), 'Fall sitting': np.float32(0.6628597), 'Hop': np.float32(0.63411194), 'Kneel': np.float32(0.6383018), 'Pick up object': np.float32(0.6381638), 'Sit down': np.float32(0.63860625), 'Walk': np.float32(0.63241005)}
t=140 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6340134), 'Fall forward': np.float32(0.6372964), 'Fall left': np.float32(0.6408053), 'Fall right': np.float32(0.6353452), 'Fall sitting': np.float32(0.66253793), 'Hop': np.float32(0.63345134), 'Kneel': np.float32(0.63773894), 'Pick up object': np.float32(0.63763), 'Sit down': np.float32(0.6379691), 'Walk': np.float32(0.63174194)}
t=145 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6338118), 'Fall forward': np.float32(0.6370729), 'Fall left': np.float32(0.64058435), 'Fall right': np.float32(0.6351493), 'Fall sitting': np.float32(0.66238934), 'Hop': np.float32(0.63308406), 'Kneel': np.float32(0.63743967), 'Pick up object': np.float32(0.637348), 'Sit down': np.float32(0.63763), 'Walk': np.float32(0.63137615)}
t=150 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6336879), 'Fall forward': np.float32(0.63695925), 'Fall left': np.float32(0.6404333), 'Fall right': np.float32(0.63503295), 'Fall sitting': np.float32(0.66228473), 'Hop': np.float32(0.63278973), 'Kneel': np.float32(0.6372462), 'Pick up object': np.float32(0.6371082), 'Sit down': np.float32(0.6373543), 'Walk': np.float32(0.6310719)}
t=155 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6336389), 'Fall forward': np.float32(0.63692826), 'Fall left': np.float32(0.64035326), 'Fall right': np.float32(0.634976), 'Fall sitting': np.float32(0.66222817), 'Hop': np.float32(0.6326292), 'Kneel': np.float32(0.6371312), 'Pick up object': np.float32(0.6369806), 'Sit down': np.float32(0.637186), 'Walk': np.float32(0.6309084)}
t=160 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63338095), 'Fall forward': np.float32(0.6366824), 'Fall left': np.float32(0.6400599), 'Fall right': np.float32(0.6347067), 'Fall sitting': np.float32(0.662005), 'Hop': np.float32(0.63226354), 'Kneel': np.float32(0.63679856), 'Pick up object': np.float32(0.63666785), 'Sit down': np.float32(0.6367746), 'Walk': np.float32(0.6305321)}
t=165 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6331474), 'Fall forward': np.float32(0.6364932), 'Fall left': np.float32(0.63982415), 'Fall right': np.float32(0.6344486), 'Fall sitting': np.float32(0.66191626), 'Hop': np.float32(0.63206625), 'Kneel': np.float32(0.6365761), 'Pick up object': np.float32(0.6364986), 'Sit down': np.float32(0.6365471), 'Walk': np.float32(0.6302961)}
t=170 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6328451), 'Fall forward': np.float32(0.636188), 'Fall left': np.float32(0.63953376), 'Fall right': np.float32(0.6341334), 'Fall sitting': np.float32(0.66176337), 'Hop': np.float32(0.63181424), 'Kneel': np.float32(0.6363006), 'Pick up object': np.float32(0.6362842), 'Sit down': np.float32(0.63627297), 'Walk': np.float32(0.62998843)}
t=175 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6325811), 'Fall forward': np.float32(0.6359185), 'Fall left': np.float32(0.63927466), 'Fall right': np.float32(0.633861), 'Fall sitting': np.float32(0.6616048), 'Hop': np.float32(0.63159364), 'Kneel': np.float32(0.63606185), 'Pick up object': np.float32(0.6360848), 'Sit down': np.float32(0.63604707), 'Walk': np.float32(0.6297316)}
t=180 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6322459), 'Fall forward': np.float32(0.6355915), 'Fall left': np.float32(0.63894963), 'Fall right': np.float32(0.63354313), 'Fall sitting': np.float32(0.66134125), 'Hop': np.float32(0.63126653), 'Kneel': np.float32(0.6357446), 'Pick up object': np.float32(0.6357878), 'Sit down': np.float32(0.6357074), 'Walk': np.float32(0.62936276)}
t=185 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63190967), 'Fall forward': np.float32(0.6352872), 'Fall left': np.float32(0.6386313), 'Fall right': np.float32(0.63321656), 'Fall sitting': np.float32(0.6611162), 'Hop': np.float32(0.6309841), 'Kneel': np.float32(0.6354342), 'Pick up object': np.float32(0.63553125), 'Sit down': np.float32(0.6353985), 'Walk': np.float32(0.6290549)}
t=190 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63167715), 'Fall forward': np.float32(0.6350991), 'Fall left': np.float32(0.63841546), 'Fall right': np.float32(0.6329689), 'Fall sitting': np.float32(0.66095203), 'Hop': np.float32(0.63079315), 'Kneel': np.float32(0.6352324), 'Pick up object': np.float32(0.63536954), 'Sit down': np.float32(0.6352011), 'Walk': np.float32(0.62884545)}
t=195 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6316507), 'Fall forward': np.float32(0.63509595), 'Fall left': np.float32(0.6383872), 'Fall right': np.float32(0.6328959), 'Fall sitting': np.float32(0.6609167), 'Hop': np.float32(0.63077086), 'Kneel': np.float32(0.63519967), 'Pick up object': np.float32(0.6353749), 'Sit down': np.float32(0.6352017), 'Walk': np.float32(0.6288117)}
t=200 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63175535), 'Fall forward': np.float32(0.6352387), 'Fall left': np.float32(0.63847166), 'Fall right': np.float32(0.6329473), 'Fall sitting': np.float32(0.66091037), 'Hop': np.float32(0.6307816), 'Kneel': np.float32(0.63526845), 'Pick up object': np.float32(0.63541067), 'Sit down': np.float32(0.63523734), 'Walk': np.float32(0.6288359)}
