Ground Truth: Pick up object

t=15 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6288113), 'Fall forward': np.float32(0.6288021), 'Fall left': np.float32(0.6312901), 'Fall right': np.float32(0.6279508), 'Fall sitting': np.float32(0.62786824), 'Hop': np.float32(0.6326629), 'Kneel': np.float32(0.6291228), 'Pick up object': np.float32(0.6393096), 'Sit down': np.float32(0.6280515), 'Walk': np.float32(0.6379125)}
t=70 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6293914), 'Fall forward': np.float32(0.63137275), 'Fall left': np.float32(0.63358086), 'Fall right': np.float32(0.629808), 'Fall sitting': np.float32(0.63231426), 'Hop': np.float32(0.63971615), 'Kneel': np.float32(0.63567895), 'Pick up object': np.float32(0.64478326), 'Sit down': np.float32(0.6367788), 'Walk': np.float32(0.6440296)}
t=75 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6303827), 'Fall forward': np.float32(0.6325303), 'Fall left': np.float32(0.63453597), 'Fall right': np.float32(0.63103855), 'Fall sitting': np.float32(0.6333233), 'Hop': np.float32(0.64046293), 'Kneel': np.float32(0.63651854), 'Pick up object': np.float32(0.6454425), 'Sit down': np.float32(0.6375516), 'Walk': np.float32(0.6447786)}
t=80 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6311792), 'Fall forward': np.float32(0.63351697), 'Fall left': np.float32(0.6352651), 'Fall right': np.float32(0.63202596), 'Fall sitting': np.float32(0.6340606), 'Hop': np.float32(0.6411817), 'Kneel': np.float32(0.637219), 'Pick up object': np.float32(0.6460059), 'Sit down': np.float32(0.63822675), 'Walk': np.float32(0.64556456)}
t=85 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6314387), 'Fall forward': np.float32(0.6338622), 'Fall left': np.float32(0.63545704), 'Fall right': np.float32(0.632354), 'Fall sitting': np.float32(0.63427806), 'Hop': np.float32(0.6415545), 'Kneel': np.float32(0.6374551), 'Pick up object': np.float32(0.6463347), 'Sit down': np.float32(0.638523), 'Walk': np.float32(0.64575785)}
t=90 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6313951), 'Fall forward': np.float32(0.6341719), 'Fall left': np.float32(0.63530296), 'Fall right': np.float32(0.6322849), 'Fall sitting': np.float32(0.6344124), 'Hop': np.float32(0.6417203), 'Kneel': np.float32(0.6374773), 'Pick up object': np.float32(0.64654493), 'Sit down': np.float32(0.63842463), 'Walk': np.float32(0.6458102)}
t=95 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6316053), 'Fall forward': np.float32(0.63458127), 'Fall left': np.float32(0.63538814), 'Fall right': np.float32(0.6323704), 'Fall sitting': np.float32(0.63463056), 'Hop': np.float32(0.64210695), 'Kneel': np.float32(0.6375449), 'Pick up object': np.float32(0.64695597), 'Sit down': np.float32(0.63843507), 'Walk': np.float32(0.6461473)}
t=100 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6319736), 'Fall forward': np.float32(0.63505256), 'Fall left': np.float32(0.6356422), 'Fall right': np.float32(0.63269407), 'Fall sitting': np.float32(0.63508385), 'Hop': np.float32(0.64281535), 'Kneel': np.float32(0.6377445), 'Pick up object': np.float32(0.6476041), 'Sit down': np.float32(0.6386991), 'Walk': np.float32(0.6467686)}
t=105 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6320837), 'Fall forward': np.float32(0.63516575), 'Fall left': np.float32(0.63564247), 'Fall right': np.float32(0.6327017), 'Fall sitting': np.float32(0.6352254), 'Hop': np.float32(0.6431122), 'Kneel': np.float32(0.6377072), 'Pick up object': np.float32(0.6479272), 'Sit down': np.float32(0.6387503), 'Walk': np.float32(0.647026)}
t=110 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6322473), 'Fall forward': np.float32(0.63517094), 'Fall left': np.float32(0.6356962), 'Fall right': np.float32(0.6328213), 'Fall sitting': np.float32(0.63538194), 'Hop': np.float32(0.6435438), 'Kneel': np.float32(0.6377507), 'Pick up object': np.float32(0.6483333), 'Sit down': np.float32(0.63880694), 'Walk': np.float32(0.6473286)}
t=115 | pred=Pick up object | scores={'Fall backwards': np.float32(0.63260436), 'Fall forward': np.float32(0.63524616), 'Fall left': np.float32(0.63593554), 'Fall right': np.float32(0.6331303), 'Fall sitting': np.float32(0.6358272), 'Hop': np.float32(0.6440522), 'Kneel': np.float32(0.63796604), 'Pick up object': np.float32(0.64885074), 'Sit down': np.float32(0.63910663), 'Walk': np.float32(0.64770746)}
t=120 | pred=Pick up object | scores={'Fall backwards': np.float32(0.63256234), 'Fall forward': np.float32(0.63501626), 'Fall left': np.float32(0.6357625), 'Fall right': np.float32(0.6330169), 'Fall sitting': np.float32(0.6358584), 'Hop': np.float32(0.6440063), 'Kneel': np.float32(0.6377653), 'Pick up object': np.float32(0.64893556), 'Sit down': np.float32(0.63882697), 'Walk': np.float32(0.647676)}
t=125 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6325138), 'Fall forward': np.float32(0.63463515), 'Fall left': np.float32(0.6355954), 'Fall right': np.float32(0.6328457), 'Fall sitting': np.float32(0.6356589), 'Hop': np.float32(0.64377224), 'Kneel': np.float32(0.6373335), 'Pick up object': np.float32(0.64885247), 'Sit down': np.float32(0.63844925), 'Walk': np.float32(0.647472)}
t=130 | pred=Pick up object | scores={'Fall backwards': np.float32(0.63242817), 'Fall forward': np.float32(0.6341059), 'Fall left': np.float32(0.6353078), 'Fall right': np.float32(0.63259596), 'Fall sitting': np.float32(0.63525146), 'Hop': np.float32(0.64348036), 'Kneel': np.float32(0.63668835), 'Pick up object': np.float32(0.6485859), 'Sit down': np.float32(0.63784045), 'Walk': np.float32(0.64722955)}
t=135 | pred=Pick up object | scores={'Fall backwards': np.float32(0.63202775), 'Fall forward': np.float32(0.63330895), 'Fall left': np.float32(0.63477963), 'Fall right': np.float32(0.63206637), 'Fall sitting': np.float32(0.6345696), 'Hop': np.float32(0.64272225), 'Kneel': np.float32(0.63579124), 'Pick up object': np.float32(0.64797187), 'Sit down': np.float32(0.63703114), 'Walk': np.float32(0.64660364)}
t=140 | pred=Pick up object | scores={'Fall backwards': np.float32(0.63171715), 'Fall forward': np.float32(0.63265216), 'Fall left': np.float32(0.63433135), 'Fall right': np.float32(0.63165396), 'Fall sitting': np.float32(0.6340153), 'Hop': np.float32(0.6421597), 'Kneel': np.float32(0.63509023), 'Pick up object': np.float32(0.64753675), 'Sit down': np.float32(0.636324), 'Walk': np.float32(0.64614797)}
t=145 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6317409), 'Fall forward': np.float32(0.6324454), 'Fall left': np.float32(0.6342446), 'Fall right': np.float32(0.63159883), 'Fall sitting': np.float32(0.6339587), 'Hop': np.float32(0.64207435), 'Kneel': np.float32(0.63486266), 'Pick up object': np.float32(0.6475029), 'Sit down': np.float32(0.63610387), 'Walk': np.float32(0.64612156)}
t=150 | pred=Pick up object | scores={'Fall backwards': np.float32(0.63167477), 'Fall forward': np.float32(0.6321597), 'Fall left': np.float32(0.63408595), 'Fall right': np.float32(0.6314617), 'Fall sitting': np.float32(0.63394326), 'Hop': np.float32(0.64197445), 'Kneel': np.float32(0.6345916), 'Pick up object': np.float32(0.6474694), 'Sit down': np.float32(0.6358384), 'Walk': np.float32(0.6460857)}
t=155 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6316235), 'Fall forward': np.float32(0.6318056), 'Fall left': np.float32(0.63393605), 'Fall right': np.float32(0.6313713), 'Fall sitting': np.float32(0.63374746), 'Hop': np.float32(0.64190805), 'Kneel': np.float32(0.6343034), 'Pick up object': np.float32(0.6473843), 'Sit down': np.float32(0.6356118), 'Walk': np.float32(0.64603996)}
t=160 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6313745), 'Fall forward': np.float32(0.6312931), 'Fall left': np.float32(0.63361824), 'Fall right': np.float32(0.6310751), 'Fall sitting': np.float32(0.63344043), 'Hop': np.float32(0.64158225), 'Kneel': np.float32(0.6338404), 'Pick up object': np.float32(0.647144), 'Sit down': np.float32(0.63513863), 'Walk': np.float32(0.64575726)}
t=165 | pred=Pick up object | scores={'Fall backwards': np.float32(0.63134927), 'Fall forward': np.float32(0.6311839), 'Fall left': np.float32(0.6335637), 'Fall right': np.float32(0.6310473), 'Fall sitting': np.float32(0.6334348), 'Hop': np.float32(0.64140505), 'Kneel': np.float32(0.6336805), 'Pick up object': np.float32(0.6470883), 'Sit down': np.float32(0.6349128), 'Walk': np.float32(0.6457011)}
t=170 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6315117), 'Fall forward': np.float32(0.63121456), 'Fall left': np.float32(0.6336703), 'Fall right': np.float32(0.63119143), 'Fall sitting': np.float32(0.6335292), 'Hop': np.float32(0.6413931), 'Kneel': np.float32(0.63362825), 'Pick up object': np.float32(0.64713794), 'Sit down': np.float32(0.6348546), 'Walk': np.float32(0.64582884)}
t=175 | pred=Pick up object | scores={'Fall backwards': np.float32(0.63182545), 'Fall forward': np.float32(0.63143617), 'Fall left': np.float32(0.63395774), 'Fall right': np.float32(0.6315059), 'Fall sitting': np.float32(0.63373965), 'Hop': np.float32(0.641587), 'Kneel': np.float32(0.6337708), 'Pick up object': np.float32(0.6473264), 'Sit down': np.float32(0.63499624), 'Walk': np.float32(0.6460928)}
