Ground Truth: Fall sitting

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.6572188), 'Fall forward': np.float32(0.64844406), 'Fall left': np.float32(0.65886456), 'Fall right': np.float32(0.6551381), 'Fall sitting': np.float32(0.65729266), 'Hop': np.float32(0.6470621), 'Kneel': np.float32(0.657768), 'Pick up object': np.float32(0.6574185), 'Sit down': np.float32(0.6661572), 'Walk': np.float32(0.6516766)}
t=70 | pred=Sit down | scores={'Fall backwards': np.float32(0.6599572), 'Fall forward': np.float32(0.64994186), 'Fall left': np.float32(0.66210437), 'Fall right': np.float32(0.6580543), 'Fall sitting': np.float32(0.66193545), 'Hop': np.float32(0.6464046), 'Kneel': np.float32(0.6587853), 'Pick up object': np.float32(0.6588319), 'Sit down': np.float32(0.6694728), 'Walk': np.float32(0.6513502)}
t=75 | pred=Sit down | scores={'Fall backwards': np.float32(0.6591298), 'Fall forward': np.float32(0.6493972), 'Fall left': np.float32(0.6614749), 'Fall right': np.float32(0.65731317), 'Fall sitting': np.float32(0.66296434), 'Hop': np.float32(0.6457429), 'Kneel': np.float32(0.6579822), 'Pick up object': np.float32(0.6580301), 'Sit down': np.float32(0.66849744), 'Walk': np.float32(0.65055925)}
t=80 | pred=Sit down | scores={'Fall backwards': np.float32(0.6580384), 'Fall forward': np.float32(0.649034), 'Fall left': np.float32(0.66066957), 'Fall right': np.float32(0.6563326), 'Fall sitting': np.float32(0.66399163), 'Hop': np.float32(0.6450324), 'Kneel': np.float32(0.6572564), 'Pick up object': np.float32(0.6570802), 'Sit down': np.float32(0.667352), 'Walk': np.float32(0.6497057)}
t=85 | pred=Sit down | scores={'Fall backwards': np.float32(0.65826344), 'Fall forward': np.float32(0.6496914), 'Fall left': np.float32(0.6610718), 'Fall right': np.float32(0.65659606), 'Fall sitting': np.float32(0.6649985), 'Hop': np.float32(0.64541906), 'Kneel': np.float32(0.65760356), 'Pick up object': np.float32(0.6572439), 'Sit down': np.float32(0.6672245), 'Walk': np.float32(0.65001017)}
t=90 | pred=Sit down | scores={'Fall backwards': np.float32(0.65875405), 'Fall forward': np.float32(0.6503796), 'Fall left': np.float32(0.6616713), 'Fall right': np.float32(0.6570849), 'Fall sitting': np.float32(0.6658485), 'Hop': np.float32(0.6458107), 'Kneel': np.float32(0.6580072), 'Pick up object': np.float32(0.6574836), 'Sit down': np.float32(0.6671123), 'Walk': np.float32(0.6503221)}
t=95 | pred=Sit down | scores={'Fall backwards': np.float32(0.6587148), 'Fall forward': np.float32(0.6504924), 'Fall left': np.float32(0.66170007), 'Fall right': np.float32(0.6570228), 'Fall sitting': np.float32(0.66624624), 'Hop': np.float32(0.645406), 'Kneel': np.float32(0.6577905), 'Pick up object': np.float32(0.65705264), 'Sit down': np.float32(0.6665846), 'Walk': np.float32(0.64990103)}
t=100 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6589257), 'Fall forward': np.float32(0.65087396), 'Fall left': np.float32(0.66195774), 'Fall right': np.float32(0.6572656), 'Fall sitting': np.float32(0.66689295), 'Hop': np.float32(0.6452884), 'Kneel': np.float32(0.6578687), 'Pick up object': np.float32(0.6569197), 'Sit down': np.float32(0.66633606), 'Walk': np.float32(0.64974666)}
t=105 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6589311), 'Fall forward': np.float32(0.6509837), 'Fall left': np.float32(0.6619484), 'Fall right': np.float32(0.65728325), 'Fall sitting': np.float32(0.66708875), 'Hop': np.float32(0.6449578), 'Kneel': np.float32(0.6576851), 'Pick up object': np.float32(0.6565324), 'Sit down': np.float32(0.6658959), 'Walk': np.float32(0.64940095)}
t=110 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6585571), 'Fall forward': np.float32(0.65082437), 'Fall left': np.float32(0.66157824), 'Fall right': np.float32(0.6569286), 'Fall sitting': np.float32(0.66718507), 'Hop': np.float32(0.6442817), 'Kneel': np.float32(0.6572311), 'Pick up object': np.float32(0.65583307), 'Sit down': np.float32(0.66506577), 'Walk': np.float32(0.64871174)}
t=115 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6586214), 'Fall forward': np.float32(0.6510991), 'Fall left': np.float32(0.66157055), 'Fall right': np.float32(0.6569618), 'Fall sitting': np.float32(0.6673888), 'Hop': np.float32(0.6440095), 'Kneel': np.float32(0.6572137), 'Pick up object': np.float32(0.6555207), 'Sit down': np.float32(0.6646134), 'Walk': np.float32(0.64848906)}
t=120 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65849507), 'Fall forward': np.float32(0.65129334), 'Fall left': np.float32(0.6614469), 'Fall right': np.float32(0.65681344), 'Fall sitting': np.float32(0.667722), 'Hop': np.float32(0.64372325), 'Kneel': np.float32(0.6569917), 'Pick up object': np.float32(0.65519834), 'Sit down': np.float32(0.6640462), 'Walk': np.float32(0.64824003)}
t=125 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6582843), 'Fall forward': np.float32(0.6513227), 'Fall left': np.float32(0.6612816), 'Fall right': np.float32(0.65653974), 'Fall sitting': np.float32(0.6679484), 'Hop': np.float32(0.6435127), 'Kneel': np.float32(0.6567517), 'Pick up object': np.float32(0.6549421), 'Sit down': np.float32(0.663638), 'Walk': np.float32(0.6480582)}
t=130 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6577976), 'Fall forward': np.float32(0.651065), 'Fall left': np.float32(0.6608945), 'Fall right': np.float32(0.6559933), 'Fall sitting': np.float32(0.667983), 'Hop': np.float32(0.6430868), 'Kneel': np.float32(0.6562266), 'Pick up object': np.float32(0.65447134), 'Sit down': np.float32(0.66304094), 'Walk': np.float32(0.6476468)}
t=135 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6573731), 'Fall forward': np.float32(0.6508715), 'Fall left': np.float32(0.6605707), 'Fall right': np.float32(0.6555377), 'Fall sitting': np.float32(0.66794324), 'Hop': np.float32(0.64279115), 'Kneel': np.float32(0.655793), 'Pick up object': np.float32(0.65409917), 'Sit down': np.float32(0.6625991), 'Walk': np.float32(0.6473375)}
t=140 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6568799), 'Fall forward': np.float32(0.65059555), 'Fall left': np.float32(0.66017413), 'Fall right': np.float32(0.65501547), 'Fall sitting': np.float32(0.6679079), 'Hop': np.float32(0.64244425), 'Kneel': np.float32(0.6552697), 'Pick up object': np.float32(0.6536729), 'Sit down': np.float32(0.66209006), 'Walk': np.float32(0.6469361)}
t=145 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6565669), 'Fall forward': np.float32(0.6504311), 'Fall left': np.float32(0.65992075), 'Fall right': np.float32(0.6546939), 'Fall sitting': np.float32(0.6678118), 'Hop': np.float32(0.64221996), 'Kneel': np.float32(0.654962), 'Pick up object': np.float32(0.6534268), 'Sit down': np.float32(0.6617423), 'Walk': np.float32(0.6466911)}
t=150 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65651685), 'Fall forward': np.float32(0.65045285), 'Fall left': np.float32(0.6598919), 'Fall right': np.float32(0.65461093), 'Fall sitting': np.float32(0.6679472), 'Hop': np.float32(0.64213175), 'Kneel': np.float32(0.6548119), 'Pick up object': np.float32(0.6533603), 'Sit down': np.float32(0.6615596), 'Walk': np.float32(0.6465982)}
t=155 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6564396), 'Fall forward': np.float32(0.6503623), 'Fall left': np.float32(0.65983075), 'Fall right': np.float32(0.65451837), 'Fall sitting': np.float32(0.6680206), 'Hop': np.float32(0.6420939), 'Kneel': np.float32(0.65465415), 'Pick up object': np.float32(0.65330935), 'Sit down': np.float32(0.66140157), 'Walk': np.float32(0.6465024)}
t=160 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65639114), 'Fall forward': np.float32(0.6502657), 'Fall left': np.float32(0.65978485), 'Fall right': np.float32(0.65446514), 'Fall sitting': np.float32(0.66817844), 'Hop': np.float32(0.6419911), 'Kneel': np.float32(0.65448695), 'Pick up object': np.float32(0.6531811), 'Sit down': np.float32(0.66125333), 'Walk': np.float32(0.64633834)}
t=165 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6565058), 'Fall forward': np.float32(0.6502596), 'Fall left': np.float32(0.65988415), 'Fall right': np.float32(0.6545784), 'Fall sitting': np.float32(0.6683587), 'Hop': np.float32(0.6419904), 'Kneel': np.float32(0.65450025), 'Pick up object': np.float32(0.6532077), 'Sit down': np.float32(0.66131264), 'Walk': np.float32(0.6463125)}
t=170 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6565741), 'Fall forward': np.float32(0.65016806), 'Fall left': np.float32(0.6599445), 'Fall right': np.float32(0.65464455), 'Fall sitting': np.float32(0.6684929), 'Hop': np.float32(0.6419313), 'Kneel': np.float32(0.6544566), 'Pick up object': np.float32(0.6531981), 'Sit down': np.float32(0.66129935), 'Walk': np.float32(0.6462208)}
t=175 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.656696), 'Fall forward': np.float32(0.65014863), 'Fall left': np.float32(0.66005003), 'Fall right': np.float32(0.654764), 'Fall sitting': np.float32(0.6686189), 'Hop': np.float32(0.6419404), 'Kneel': np.float32(0.6544871), 'Pick up object': np.float32(0.65324765), 'Sit down': np.float32(0.6613649), 'Walk': np.float32(0.6462137)}
t=180 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6567707), 'Fall forward': np.float32(0.65007645), 'Fall left': np.float32(0.660105), 'Fall right': np.float32(0.65482867), 'Fall sitting': np.float32(0.6686955), 'Hop': np.float32(0.6418669), 'Kneel': np.float32(0.65445864), 'Pick up object': np.float32(0.653237), 'Sit down': np.float32(0.661324), 'Walk': np.float32(0.64612377)}
t=185 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65672386), 'Fall forward': np.float32(0.6498917), 'Fall left': np.float32(0.6600519), 'Fall right': np.float32(0.6547747), 'Fall sitting': np.float32(0.66870904), 'Hop': np.float32(0.64174557), 'Kneel': np.float32(0.6543281), 'Pick up object': np.float32(0.6531638), 'Sit down': np.float32(0.6612959), 'Walk': np.float32(0.645975)}
t=190 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65665746), 'Fall forward': np.float32(0.6497016), 'Fall left': np.float32(0.65995157), 'Fall right': np.float32(0.65467805), 'Fall sitting': np.float32(0.66865635), 'Hop': np.float32(0.64155096), 'Kneel': np.float32(0.6541299), 'Pick up object': np.float32(0.6530056), 'Sit down': np.float32(0.6612087), 'Walk': np.float32(0.645751)}
t=195 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65645516), 'Fall forward': np.float32(0.64938474), 'Fall left': np.float32(0.6597328), 'Fall right': np.float32(0.654458), 'Fall sitting': np.float32(0.66846675), 'Hop': np.float32(0.6412493), 'Kneel': np.float32(0.653826), 'Pick up object': np.float32(0.6527444), 'Sit down': np.float32(0.6610148), 'Walk': np.float32(0.64543647)}
t=200 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.656217), 'Fall forward': np.float32(0.6490478), 'Fall left': np.float32(0.65947926), 'Fall right': np.float32(0.6541807), 'Fall sitting': np.float32(0.66822433), 'Hop': np.float32(0.6409034), 'Kneel': np.float32(0.65346456), 'Pick up object': np.float32(0.6524279), 'Sit down': np.float32(0.6607263), 'Walk': np.float32(0.64508057)}
t=205 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65610987), 'Fall forward': np.float32(0.64884794), 'Fall left': np.float32(0.6593464), 'Fall right': np.float32(0.65404433), 'Fall sitting': np.float32(0.66806304), 'Hop': np.float32(0.6407014), 'Kneel': np.float32(0.65324575), 'Pick up object': np.float32(0.6522431), 'Sit down': np.float32(0.66054016), 'Walk': np.float32(0.64488417)}
t=210 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6559348), 'Fall forward': np.float32(0.64855474), 'Fall left': np.float32(0.6591404), 'Fall right': np.float32(0.6538366), 'Fall sitting': np.float32(0.6678372), 'Hop': np.float32(0.6403958), 'Kneel': np.float32(0.6529418), 'Pick up object': np.float32(0.6519697), 'Sit down': np.float32(0.660224), 'Walk': np.float32(0.6445896)}
t=215 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65581405), 'Fall forward': np.float32(0.6483197), 'Fall left': np.float32(0.6589931), 'Fall right': np.float32(0.65369403), 'Fall sitting': np.float32(0.66770184), 'Hop': np.float32(0.64016175), 'Kneel': np.float32(0.6527105), 'Pick up object': np.float32(0.6517739), 'Sit down': np.float32(0.6600081), 'Walk': np.float32(0.6443599)}
t=220 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65569484), 'Fall forward': np.float32(0.64808124), 'Fall left': np.float32(0.658865), 'Fall right': np.float32(0.6535514), 'Fall sitting': np.float32(0.66758907), 'Hop': np.float32(0.6399535), 'Kneel': np.float32(0.6524857), 'Pick up object': np.float32(0.6515869), 'Sit down': np.float32(0.6598045), 'Walk': np.float32(0.6441428)}
t=225 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6557477), 'Fall forward': np.float32(0.64799815), 'Fall left': np.float32(0.6589214), 'Fall right': np.float32(0.6535995), 'Fall sitting': np.float32(0.6676189), 'Hop': np.float32(0.63998324), 'Kneel': np.float32(0.6524838), 'Pick up object': np.float32(0.6516165), 'Sit down': np.float32(0.6598392), 'Walk': np.float32(0.64415014)}
t=230 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6558553), 'Fall forward': np.float32(0.6479634), 'Fall left': np.float32(0.6590388), 'Fall right': np.float32(0.6536878), 'Fall sitting': np.float32(0.6677078), 'Hop': np.float32(0.6400622), 'Kneel': np.float32(0.65255105), 'Pick up object': np.float32(0.65170264), 'Sit down': np.float32(0.65994346), 'Walk': np.float32(0.644214)}
t=235 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6559912), 'Fall forward': np.float32(0.64795506), 'Fall left': np.float32(0.6591772), 'Fall right': np.float32(0.65381426), 'Fall sitting': np.float32(0.6678164), 'Hop': np.float32(0.64013314), 'Kneel': np.float32(0.6526487), 'Pick up object': np.float32(0.65178436), 'Sit down': np.float32(0.66007435), 'Walk': np.float32(0.64426863)}
t=240 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65602875), 'Fall forward': np.float32(0.64779335), 'Fall left': np.float32(0.6592025), 'Fall right': np.float32(0.6538481), 'Fall sitting': np.float32(0.6678963), 'Hop': np.float32(0.64007646), 'Kneel': np.float32(0.6526481), 'Pick up object': np.float32(0.6517502), 'Sit down': np.float32(0.6601154), 'Walk': np.float32(0.6441678)}
t=245 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65606934), 'Fall forward': np.float32(0.64765435), 'Fall left': np.float32(0.65922135), 'Fall right': np.float32(0.6538981), 'Fall sitting': np.float32(0.6679224), 'Hop': np.float32(0.6400424), 'Kneel': np.float32(0.6526599), 'Pick up object': np.float32(0.6517435), 'Sit down': np.float32(0.66019225), 'Walk': np.float32(0.6440994)}
t=250 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6561169), 'Fall forward': np.float32(0.6475492), 'Fall left': np.float32(0.65925044), 'Fall right': np.float32(0.65395844), 'Fall sitting': np.float32(0.66795665), 'Hop': np.float32(0.64002055), 'Kneel': np.float32(0.652697), 'Pick up object': np.float32(0.6517445), 'Sit down': np.float32(0.6602594), 'Walk': np.float32(0.6440502)}
t=255 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6561554), 'Fall forward': np.float32(0.647478), 'Fall left': np.float32(0.6592866), 'Fall right': np.float32(0.6540208), 'Fall sitting': np.float32(0.66795754), 'Hop': np.float32(0.64000857), 'Kneel': np.float32(0.6527438), 'Pick up object': np.float32(0.6517507), 'Sit down': np.float32(0.66029847), 'Walk': np.float32(0.644024)}
t=260 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65606093), 'Fall forward': np.float32(0.64724934), 'Fall left': np.float32(0.65919876), 'Fall right': np.float32(0.65396553), 'Fall sitting': np.float32(0.6678712), 'Hop': np.float32(0.63986254), 'Kneel': np.float32(0.6526582), 'Pick up object': np.float32(0.651636), 'Sit down': np.float32(0.6602096), 'Walk': np.float32(0.64385283)}
t=265 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6560063), 'Fall forward': np.float32(0.6471364), 'Fall left': np.float32(0.6591367), 'Fall right': np.float32(0.6539213), 'Fall sitting': np.float32(0.66779494), 'Hop': np.float32(0.6397411), 'Kneel': np.float32(0.65259), 'Pick up object': np.float32(0.65153897), 'Sit down': np.float32(0.6601172), 'Walk': np.float32(0.643716)}
t=270 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65603626), 'Fall forward': np.float32(0.64709944), 'Fall left': np.float32(0.6591805), 'Fall right': np.float32(0.65395343), 'Fall sitting': np.float32(0.6677829), 'Hop': np.float32(0.6397474), 'Kneel': np.float32(0.6526251), 'Pick up object': np.float32(0.65155786), 'Sit down': np.float32(0.6601377), 'Walk': np.float32(0.6437161)}
t=275 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65599823), 'Fall forward': np.float32(0.64703816), 'Fall left': np.float32(0.65917164), 'Fall right': np.float32(0.65393496), 'Fall sitting': np.float32(0.6677802), 'Hop': np.float32(0.63975453), 'Kneel': np.float32(0.6526002), 'Pick up object': np.float32(0.6515527), 'Sit down': np.float32(0.66010374), 'Walk': np.float32(0.64370716)}
t=280 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65599597), 'Fall forward': np.float32(0.6470267), 'Fall left': np.float32(0.6591864), 'Fall right': np.float32(0.65392447), 'Fall sitting': np.float32(0.6678186), 'Hop': np.float32(0.6397393), 'Kneel': np.float32(0.6526024), 'Pick up object': np.float32(0.6515568), 'Sit down': np.float32(0.6600788), 'Walk': np.float32(0.6436716)}
t=285 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65607715), 'Fall forward': np.float32(0.64717776), 'Fall left': np.float32(0.65928537), 'Fall right': np.float32(0.6540263), 'Fall sitting': np.float32(0.6679485), 'Hop': np.float32(0.63981694), 'Kneel': np.float32(0.6527301), 'Pick up object': np.float32(0.6516371), 'Sit down': np.float32(0.6601065), 'Walk': np.float32(0.6437548)}
