Ground Truth: Fall left

t=15 | pred=Fall left | scores={'Fall backwards': np.float32(0.65676695), 'Fall forward': np.float32(0.6557586), 'Fall left': np.float32(0.6614361), 'Fall right': np.float32(0.659367), 'Fall sitting': np.float32(0.65683675), 'Hop': np.float32(0.6516842), 'Kneel': np.float32(0.6593889), 'Pick up object': np.float32(0.65743667), 'Sit down': np.float32(0.6574405), 'Walk': np.float32(0.65486896)}
t=105 | pred=Fall left | scores={'Fall backwards': np.float32(0.6632053), 'Fall forward': np.float32(0.6560924), 'Fall left': np.float32(0.66692895), 'Fall right': np.float32(0.6650046), 'Fall sitting': np.float32(0.66240406), 'Hop': np.float32(0.6517538), 'Kneel': np.float32(0.66072565), 'Pick up object': np.float32(0.6603996), 'Sit down': np.float32(0.6617539), 'Walk': np.float32(0.6537293)}
t=110 | pred=Fall left | scores={'Fall backwards': np.float32(0.6633724), 'Fall forward': np.float32(0.65590155), 'Fall left': np.float32(0.66702724), 'Fall right': np.float32(0.6651665), 'Fall sitting': np.float32(0.66231436), 'Hop': np.float32(0.6513621), 'Kneel': np.float32(0.66057634), 'Pick up object': np.float32(0.6602199), 'Sit down': np.float32(0.66163665), 'Walk': np.float32(0.6533985)}
t=115 | pred=Fall left | scores={'Fall backwards': np.float32(0.6634514), 'Fall forward': np.float32(0.6558051), 'Fall left': np.float32(0.66704386), 'Fall right': np.float32(0.66528076), 'Fall sitting': np.float32(0.6621465), 'Hop': np.float32(0.65102154), 'Kneel': np.float32(0.66044873), 'Pick up object': np.float32(0.6600271), 'Sit down': np.float32(0.66152465), 'Walk': np.float32(0.6531404)}
t=120 | pred=Fall left | scores={'Fall backwards': np.float32(0.6633825), 'Fall forward': np.float32(0.65566504), 'Fall left': np.float32(0.6669644), 'Fall right': np.float32(0.66527104), 'Fall sitting': np.float32(0.6620129), 'Hop': np.float32(0.6505954), 'Kneel': np.float32(0.66029096), 'Pick up object': np.float32(0.6597917), 'Sit down': np.float32(0.6613547), 'Walk': np.float32(0.6528176)}
t=125 | pred=Fall left | scores={'Fall backwards': np.float32(0.66348165), 'Fall forward': np.float32(0.65568036), 'Fall left': np.float32(0.66707236), 'Fall right': np.float32(0.6653681), 'Fall sitting': np.float32(0.6621237), 'Hop': np.float32(0.65053415), 'Kneel': np.float32(0.660357), 'Pick up object': np.float32(0.6598093), 'Sit down': np.float32(0.6614122), 'Walk': np.float32(0.6528116)}
t=130 | pred=Fall left | scores={'Fall backwards': np.float32(0.6638104), 'Fall forward': np.float32(0.65585303), 'Fall left': np.float32(0.6674493), 'Fall right': np.float32(0.66567254), 'Fall sitting': np.float32(0.66241896), 'Hop': np.float32(0.650684), 'Kneel': np.float32(0.66066045), 'Pick up object': np.float32(0.66007936), 'Sit down': np.float32(0.6617586), 'Walk': np.float32(0.65299016)}
t=135 | pred=Fall left | scores={'Fall backwards': np.float32(0.6641428), 'Fall forward': np.float32(0.656052), 'Fall left': np.float32(0.6678428), 'Fall right': np.float32(0.6660004), 'Fall sitting': np.float32(0.6628308), 'Hop': np.float32(0.6508297), 'Kneel': np.float32(0.6610028), 'Pick up object': np.float32(0.66033155), 'Sit down': np.float32(0.66213095), 'Walk': np.float32(0.6531362)}
t=140 | pred=Fall left | scores={'Fall backwards': np.float32(0.6643358), 'Fall forward': np.float32(0.65611506), 'Fall left': np.float32(0.6681759), 'Fall right': np.float32(0.6662159), 'Fall sitting': np.float32(0.66322935), 'Hop': np.float32(0.6509735), 'Kneel': np.float32(0.6613131), 'Pick up object': np.float32(0.66056895), 'Sit down': np.float32(0.6625274), 'Walk': np.float32(0.65325534)}
t=145 | pred=Fall left | scores={'Fall backwards': np.float32(0.6643579), 'Fall forward': np.float32(0.6560937), 'Fall left': np.float32(0.66834855), 'Fall right': np.float32(0.6663056), 'Fall sitting': np.float32(0.66343004), 'Hop': np.float32(0.6510386), 'Kneel': np.float32(0.661498), 'Pick up object': np.float32(0.6606633), 'Sit down': np.float32(0.66274065), 'Walk': np.float32(0.6532828)}
t=150 | pred=Fall left | scores={'Fall backwards': np.float32(0.66437703), 'Fall forward': np.float32(0.656078), 'Fall left': np.float32(0.66852033), 'Fall right': np.float32(0.6664113), 'Fall sitting': np.float32(0.66354173), 'Hop': np.float32(0.6509946), 'Kneel': np.float32(0.66166055), 'Pick up object': np.float32(0.6606867), 'Sit down': np.float32(0.6629276), 'Walk': np.float32(0.6532389)}
t=155 | pred=Fall left | scores={'Fall backwards': np.float32(0.66444486), 'Fall forward': np.float32(0.65611917), 'Fall left': np.float32(0.668664), 'Fall right': np.float32(0.6665034), 'Fall sitting': np.float32(0.6636639), 'Hop': np.float32(0.6509573), 'Kneel': np.float32(0.66180533), 'Pick up object': np.float32(0.6607304), 'Sit down': np.float32(0.66307664), 'Walk': np.float32(0.6532312)}
t=160 | pred=Fall left | scores={'Fall backwards': np.float32(0.6644517), 'Fall forward': np.float32(0.6561488), 'Fall left': np.float32(0.66874796), 'Fall right': np.float32(0.66652215), 'Fall sitting': np.float32(0.66375905), 'Hop': np.float32(0.65088093), 'Kneel': np.float32(0.66193193), 'Pick up object': np.float32(0.6607557), 'Sit down': np.float32(0.66321844), 'Walk': np.float32(0.6532272)}
t=165 | pred=Fall left | scores={'Fall backwards': np.float32(0.66454047), 'Fall forward': np.float32(0.65628105), 'Fall left': np.float32(0.66887474), 'Fall right': np.float32(0.66662186), 'Fall sitting': np.float32(0.66384685), 'Hop': np.float32(0.65090054), 'Kneel': np.float32(0.6621344), 'Pick up object': np.float32(0.66082233), 'Sit down': np.float32(0.6633974), 'Walk': np.float32(0.653305)}
t=170 | pred=Fall left | scores={'Fall backwards': np.float32(0.6646677), 'Fall forward': np.float32(0.65643775), 'Fall left': np.float32(0.6690655), 'Fall right': np.float32(0.66681826), 'Fall sitting': np.float32(0.663945), 'Hop': np.float32(0.6509718), 'Kneel': np.float32(0.6624055), 'Pick up object': np.float32(0.66091925), 'Sit down': np.float32(0.6636224), 'Walk': np.float32(0.65341365)}
t=175 | pred=Fall left | scores={'Fall backwards': np.float32(0.6648262), 'Fall forward': np.float32(0.65664965), 'Fall left': np.float32(0.669266), 'Fall right': np.float32(0.66704094), 'Fall sitting': np.float32(0.66405326), 'Hop': np.float32(0.65108454), 'Kneel': np.float32(0.6627263), 'Pick up object': np.float32(0.6610461), 'Sit down': np.float32(0.66386616), 'Walk': np.float32(0.6535539)}
t=180 | pred=Fall left | scores={'Fall backwards': np.float32(0.6649098), 'Fall forward': np.float32(0.6567008), 'Fall left': np.float32(0.6694318), 'Fall right': np.float32(0.667195), 'Fall sitting': np.float32(0.6640598), 'Hop': np.float32(0.65111536), 'Kneel': np.float32(0.6629677), 'Pick up object': np.float32(0.6610909), 'Sit down': np.float32(0.6640332), 'Walk': np.float32(0.6535825)}
t=185 | pred=Fall left | scores={'Fall backwards': np.float32(0.6650734), 'Fall forward': np.float32(0.6569012), 'Fall left': np.float32(0.66963553), 'Fall right': np.float32(0.6674166), 'Fall sitting': np.float32(0.66410667), 'Hop': np.float32(0.65126187), 'Kneel': np.float32(0.6632774), 'Pick up object': np.float32(0.66123456), 'Sit down': np.float32(0.66424084), 'Walk': np.float32(0.65374744)}
t=190 | pred=Fall left | scores={'Fall backwards': np.float32(0.6652735), 'Fall forward': np.float32(0.6571739), 'Fall left': np.float32(0.66988635), 'Fall right': np.float32(0.66767555), 'Fall sitting': np.float32(0.66419005), 'Hop': np.float32(0.65151054), 'Kneel': np.float32(0.6636527), 'Pick up object': np.float32(0.6614619), 'Sit down': np.float32(0.66451067), 'Walk': np.float32(0.6540041)}
t=195 | pred=Fall left | scores={'Fall backwards': np.float32(0.66542095), 'Fall forward': np.float32(0.65736425), 'Fall left': np.float32(0.67005414), 'Fall right': np.float32(0.66785705), 'Fall sitting': np.float32(0.66420233), 'Hop': np.float32(0.6517013), 'Kneel': np.float32(0.6639304), 'Pick up object': np.float32(0.6616137), 'Sit down': np.float32(0.6647048), 'Walk': np.float32(0.6542028)}
t=200 | pred=Fall left | scores={'Fall backwards': np.float32(0.66546094), 'Fall forward': np.float32(0.657322), 'Fall left': np.float32(0.67008895), 'Fall right': np.float32(0.6678622), 'Fall sitting': np.float32(0.66409177), 'Hop': np.float32(0.6516185), 'Kneel': np.float32(0.66400987), 'Pick up object': np.float32(0.6615599), 'Sit down': np.float32(0.6647355), 'Walk': np.float32(0.65414953)}
t=205 | pred=Fall left | scores={'Fall backwards': np.float32(0.6654972), 'Fall forward': np.float32(0.6573502), 'Fall left': np.float32(0.6701109), 'Fall right': np.float32(0.66786134), 'Fall sitting': np.float32(0.66404355), 'Hop': np.float32(0.6515874), 'Kneel': np.float32(0.66408294), 'Pick up object': np.float32(0.6615519), 'Sit down': np.float32(0.6647694), 'Walk': np.float32(0.65415645)}
t=210 | pred=Fall left | scores={'Fall backwards': np.float32(0.6654951), 'Fall forward': np.float32(0.6573303), 'Fall left': np.float32(0.67010576), 'Fall right': np.float32(0.66783047), 'Fall sitting': np.float32(0.6639883), 'Hop': np.float32(0.65153366), 'Kneel': np.float32(0.664136), 'Pick up object': np.float32(0.66150296), 'Sit down': np.float32(0.66477937), 'Walk': np.float32(0.6541294)}
