Ground Truth: Fall sitting

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.6481797), 'Fall forward': np.float32(0.64115703), 'Fall left': np.float32(0.6490897), 'Fall right': np.float32(0.6439113), 'Fall sitting': np.float32(0.6521029), 'Hop': np.float32(0.642967), 'Kneel': np.float32(0.6485173), 'Pick up object': np.float32(0.649214), 'Sit down': np.float32(0.65809816), 'Walk': np.float32(0.64543134)}
t=70 | pred=Sit down | scores={'Fall backwards': np.float32(0.6491372), 'Fall forward': np.float32(0.6419743), 'Fall left': np.float32(0.64973474), 'Fall right': np.float32(0.6452308), 'Fall sitting': np.float32(0.65415096), 'Hop': np.float32(0.641058), 'Kneel': np.float32(0.6492083), 'Pick up object': np.float32(0.64891064), 'Sit down': np.float32(0.65745264), 'Walk': np.float32(0.6431745)}
t=75 | pred=Sit down | scores={'Fall backwards': np.float32(0.6494688), 'Fall forward': np.float32(0.64235073), 'Fall left': np.float32(0.65020704), 'Fall right': np.float32(0.6456983), 'Fall sitting': np.float32(0.65451825), 'Hop': np.float32(0.64165527), 'Kneel': np.float32(0.6494863), 'Pick up object': np.float32(0.6493918), 'Sit down': np.float32(0.6577579), 'Walk': np.float32(0.6436327)}
t=80 | pred=Sit down | scores={'Fall backwards': np.float32(0.6498334), 'Fall forward': np.float32(0.642734), 'Fall left': np.float32(0.65081245), 'Fall right': np.float32(0.64621776), 'Fall sitting': np.float32(0.6549943), 'Hop': np.float32(0.64235127), 'Kneel': np.float32(0.6497512), 'Pick up object': np.float32(0.6499914), 'Sit down': np.float32(0.6581929), 'Walk': np.float32(0.6441994)}
t=85 | pred=Sit down | scores={'Fall backwards': np.float32(0.65064245), 'Fall forward': np.float32(0.6435786), 'Fall left': np.float32(0.6517346), 'Fall right': np.float32(0.647132), 'Fall sitting': np.float32(0.6558), 'Hop': np.float32(0.6433425), 'Kneel': np.float32(0.65050876), 'Pick up object': np.float32(0.650897), 'Sit down': np.float32(0.6588164), 'Walk': np.float32(0.6451547)}
t=90 | pred=Sit down | scores={'Fall backwards': np.float32(0.6519081), 'Fall forward': np.float32(0.6448556), 'Fall left': np.float32(0.6529657), 'Fall right': np.float32(0.64841247), 'Fall sitting': np.float32(0.6570981), 'Hop': np.float32(0.64469874), 'Kneel': np.float32(0.6515775), 'Pick up object': np.float32(0.65211535), 'Sit down': np.float32(0.6597239), 'Walk': np.float32(0.64641154)}
t=95 | pred=Sit down | scores={'Fall backwards': np.float32(0.6528705), 'Fall forward': np.float32(0.6462085), 'Fall left': np.float32(0.6539725), 'Fall right': np.float32(0.649453), 'Fall sitting': np.float32(0.6585857), 'Hop': np.float32(0.6459533), 'Kneel': np.float32(0.65263885), 'Pick up object': np.float32(0.653133), 'Sit down': np.float32(0.6605069), 'Walk': np.float32(0.6476836)}
t=100 | pred=Sit down | scores={'Fall backwards': np.float32(0.65388656), 'Fall forward': np.float32(0.6475798), 'Fall left': np.float32(0.65508205), 'Fall right': np.float32(0.6506847), 'Fall sitting': np.float32(0.66042906), 'Hop': np.float32(0.6471443), 'Kneel': np.float32(0.6537075), 'Pick up object': np.float32(0.65414804), 'Sit down': np.float32(0.66132903), 'Walk': np.float32(0.64895123)}
t=105 | pred=Sit down | scores={'Fall backwards': np.float32(0.65503), 'Fall forward': np.float32(0.6488742), 'Fall left': np.float32(0.65625423), 'Fall right': np.float32(0.6519099), 'Fall sitting': np.float32(0.66203177), 'Hop': np.float32(0.64826113), 'Kneel': np.float32(0.6548198), 'Pick up object': np.float32(0.65508926), 'Sit down': np.float32(0.66241884), 'Walk': np.float32(0.65018)}
t=110 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65583074), 'Fall forward': np.float32(0.6498266), 'Fall left': np.float32(0.65706587), 'Fall right': np.float32(0.65274733), 'Fall sitting': np.float32(0.66356367), 'Hop': np.float32(0.64900506), 'Kneel': np.float32(0.6555153), 'Pick up object': np.float32(0.65573514), 'Sit down': np.float32(0.66323906), 'Walk': np.float32(0.65097755)}
t=115 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6564951), 'Fall forward': np.float32(0.65077), 'Fall left': np.float32(0.65779096), 'Fall right': np.float32(0.65343857), 'Fall sitting': np.float32(0.6649926), 'Hop': np.float32(0.6494033), 'Kneel': np.float32(0.65614974), 'Pick up object': np.float32(0.6562051), 'Sit down': np.float32(0.663763), 'Walk': np.float32(0.65142685)}
t=120 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65691614), 'Fall forward': np.float32(0.65158165), 'Fall left': np.float32(0.65825635), 'Fall right': np.float32(0.65390104), 'Fall sitting': np.float32(0.66602784), 'Hop': np.float32(0.64961505), 'Kneel': np.float32(0.6565786), 'Pick up object': np.float32(0.6564581), 'Sit down': np.float32(0.6638577), 'Walk': np.float32(0.6517064)}
t=125 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65735334), 'Fall forward': np.float32(0.65231025), 'Fall left': np.float32(0.6587249), 'Fall right': np.float32(0.6543618), 'Fall sitting': np.float32(0.666742), 'Hop': np.float32(0.6500127), 'Kneel': np.float32(0.657063), 'Pick up object': np.float32(0.6567628), 'Sit down': np.float32(0.6640182), 'Walk': np.float32(0.65212643)}
t=130 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65769994), 'Fall forward': np.float32(0.6529666), 'Fall left': np.float32(0.65909666), 'Fall right': np.float32(0.6547312), 'Fall sitting': np.float32(0.6674991), 'Hop': np.float32(0.6503437), 'Kneel': np.float32(0.6574588), 'Pick up object': np.float32(0.6569877), 'Sit down': np.float32(0.66406566), 'Walk': np.float32(0.65251154)}
t=135 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6578234), 'Fall forward': np.float32(0.6533304), 'Fall left': np.float32(0.65925765), 'Fall right': np.float32(0.6548681), 'Fall sitting': np.float32(0.6679382), 'Hop': np.float32(0.65043193), 'Kneel': np.float32(0.65763104), 'Pick up object': np.float32(0.65700155), 'Sit down': np.float32(0.6639016), 'Walk': np.float32(0.652641)}
t=140 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65796334), 'Fall forward': np.float32(0.65369433), 'Fall left': np.float32(0.65943813), 'Fall right': np.float32(0.6550308), 'Fall sitting': np.float32(0.66838694), 'Hop': np.float32(0.65049225), 'Kneel': np.float32(0.6577952), 'Pick up object': np.float32(0.6570472), 'Sit down': np.float32(0.66367525), 'Walk': np.float32(0.6527364)}
t=145 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6579039), 'Fall forward': np.float32(0.653808), 'Fall left': np.float32(0.6594169), 'Fall right': np.float32(0.6550012), 'Fall sitting': np.float32(0.6685574), 'Hop': np.float32(0.6503871), 'Kneel': np.float32(0.65778184), 'Pick up object': np.float32(0.65692896), 'Sit down': np.float32(0.663379), 'Walk': np.float32(0.6526713)}
t=150 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6580311), 'Fall forward': np.float32(0.6541388), 'Fall left': np.float32(0.65959674), 'Fall right': np.float32(0.655173), 'Fall sitting': np.float32(0.6690038), 'Hop': np.float32(0.6505066), 'Kneel': np.float32(0.65799344), 'Pick up object': np.float32(0.65703005), 'Sit down': np.float32(0.66324055), 'Walk': np.float32(0.6527984)}
t=155 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6581524), 'Fall forward': np.float32(0.6544307), 'Fall left': np.float32(0.65975314), 'Fall right': np.float32(0.6553327), 'Fall sitting': np.float32(0.66934055), 'Hop': np.float32(0.6506128), 'Kneel': np.float32(0.65817845), 'Pick up object': np.float32(0.65712607), 'Sit down': np.float32(0.6631381), 'Walk': np.float32(0.65289754)}
t=160 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6582718), 'Fall forward': np.float32(0.6547595), 'Fall left': np.float32(0.65990627), 'Fall right': np.float32(0.65550536), 'Fall sitting': np.float32(0.66973543), 'Hop': np.float32(0.650748), 'Kneel': np.float32(0.6583816), 'Pick up object': np.float32(0.6572483), 'Sit down': np.float32(0.66303563), 'Walk': np.float32(0.6530632)}
t=165 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65837675), 'Fall forward': np.float32(0.65502566), 'Fall left': np.float32(0.6600164), 'Fall right': np.float32(0.65563667), 'Fall sitting': np.float32(0.66999435), 'Hop': np.float32(0.65086645), 'Kneel': np.float32(0.65853035), 'Pick up object': np.float32(0.6573525), 'Sit down': np.float32(0.6629877), 'Walk': np.float32(0.65320456)}
t=170 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.658374), 'Fall forward': np.float32(0.655286), 'Fall left': np.float32(0.6600475), 'Fall right': np.float32(0.65566987), 'Fall sitting': np.float32(0.67026365), 'Hop': np.float32(0.6509367), 'Kneel': np.float32(0.6586024), 'Pick up object': np.float32(0.65737325), 'Sit down': np.float32(0.6628536), 'Walk': np.float32(0.65329605)}
t=175 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6582811), 'Fall forward': np.float32(0.65545756), 'Fall left': np.float32(0.6599901), 'Fall right': np.float32(0.65560544), 'Fall sitting': np.float32(0.6703899), 'Hop': np.float32(0.6508973), 'Kneel': np.float32(0.6585867), 'Pick up object': np.float32(0.65728694), 'Sit down': np.float32(0.66268444), 'Walk': np.float32(0.65327305)}
t=180 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6582991), 'Fall forward': np.float32(0.6557652), 'Fall left': np.float32(0.66005814), 'Fall right': np.float32(0.65566427), 'Fall sitting': np.float32(0.67067873), 'Hop': np.float32(0.65097874), 'Kneel': np.float32(0.6586583), 'Pick up object': np.float32(0.65734196), 'Sit down': np.float32(0.6626303), 'Walk': np.float32(0.65337807)}
