Ground Truth: Fall right

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.65796745), 'Fall forward': np.float32(0.6445692), 'Fall left': np.float32(0.655896), 'Fall right': np.float32(0.6571426), 'Fall sitting': np.float32(0.6410223), 'Hop': np.float32(0.6500593), 'Kneel': np.float32(0.65484506), 'Pick up object': np.float32(0.6530818), 'Sit down': np.float32(0.65703464), 'Walk': np.float32(0.6529093)}
t=75 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6790087), 'Fall forward': np.float32(0.6640654), 'Fall left': np.float32(0.67537636), 'Fall right': np.float32(0.6765405), 'Fall sitting': np.float32(0.6596058), 'Hop': np.float32(0.6615302), 'Kneel': np.float32(0.67054164), 'Pick up object': np.float32(0.6689116), 'Sit down': np.float32(0.6683393), 'Walk': np.float32(0.6649888)}
t=80 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6794621), 'Fall forward': np.float32(0.6642999), 'Fall left': np.float32(0.6758524), 'Fall right': np.float32(0.6771065), 'Fall sitting': np.float32(0.6598292), 'Hop': np.float32(0.66108346), 'Kneel': np.float32(0.670647), 'Pick up object': np.float32(0.66877437), 'Sit down': np.float32(0.66813874), 'Walk': np.float32(0.6646172)}
t=85 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67953175), 'Fall forward': np.float32(0.66433245), 'Fall left': np.float32(0.6759179), 'Fall right': np.float32(0.67732304), 'Fall sitting': np.float32(0.6597308), 'Hop': np.float32(0.66067755), 'Kneel': np.float32(0.6705521), 'Pick up object': np.float32(0.66851497), 'Sit down': np.float32(0.6677807), 'Walk': np.float32(0.66428435)}
t=90 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67954093), 'Fall forward': np.float32(0.66415507), 'Fall left': np.float32(0.67592347), 'Fall right': np.float32(0.6775376), 'Fall sitting': np.float32(0.65958637), 'Hop': np.float32(0.66011333), 'Kneel': np.float32(0.6703187), 'Pick up object': np.float32(0.6681714), 'Sit down': np.float32(0.66732115), 'Walk': np.float32(0.6637787)}
t=95 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67944676), 'Fall forward': np.float32(0.66407484), 'Fall left': np.float32(0.6758426), 'Fall right': np.float32(0.6776279), 'Fall sitting': np.float32(0.6594659), 'Hop': np.float32(0.6597031), 'Kneel': np.float32(0.6701529), 'Pick up object': np.float32(0.667899), 'Sit down': np.float32(0.66698354), 'Walk': np.float32(0.663468)}
t=100 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67957664), 'Fall forward': np.float32(0.66427696), 'Fall left': np.float32(0.67615813), 'Fall right': np.float32(0.6781005), 'Fall sitting': np.float32(0.65960425), 'Hop': np.float32(0.659617), 'Kneel': np.float32(0.67036974), 'Pick up object': np.float32(0.66811734), 'Sit down': np.float32(0.6670964), 'Walk': np.float32(0.66347665)}
t=105 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67949784), 'Fall forward': np.float32(0.6644242), 'Fall left': np.float32(0.6762219), 'Fall right': np.float32(0.6782697), 'Fall sitting': np.float32(0.6596192), 'Hop': np.float32(0.6594295), 'Kneel': np.float32(0.6704478), 'Pick up object': np.float32(0.66807866), 'Sit down': np.float32(0.6669617), 'Walk': np.float32(0.6634574)}
t=110 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6791934), 'Fall forward': np.float32(0.6644761), 'Fall left': np.float32(0.6760873), 'Fall right': np.float32(0.6782099), 'Fall sitting': np.float32(0.65942115), 'Hop': np.float32(0.65894824), 'Kneel': np.float32(0.6702942), 'Pick up object': np.float32(0.66770864), 'Sit down': np.float32(0.66645527), 'Walk': np.float32(0.6631657)}
t=115 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67928755), 'Fall forward': np.float32(0.66463584), 'Fall left': np.float32(0.6762664), 'Fall right': np.float32(0.67838675), 'Fall sitting': np.float32(0.6595315), 'Hop': np.float32(0.65891665), 'Kneel': np.float32(0.670388), 'Pick up object': np.float32(0.66776526), 'Sit down': np.float32(0.6664674), 'Walk': np.float32(0.6631434)}
t=120 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67956364), 'Fall forward': np.float32(0.6651282), 'Fall left': np.float32(0.676678), 'Fall right': np.float32(0.6787874), 'Fall sitting': np.float32(0.6597786), 'Hop': np.float32(0.65911114), 'Kneel': np.float32(0.6707781), 'Pick up object': np.float32(0.6681666), 'Sit down': np.float32(0.6665717), 'Walk': np.float32(0.6633512)}
t=125 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67978805), 'Fall forward': np.float32(0.66548604), 'Fall left': np.float32(0.6769666), 'Fall right': np.float32(0.67908037), 'Fall sitting': np.float32(0.6600972), 'Hop': np.float32(0.6592974), 'Kneel': np.float32(0.6710645), 'Pick up object': np.float32(0.6685151), 'Sit down': np.float32(0.666729), 'Walk': np.float32(0.6635214)}
t=130 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6799482), 'Fall forward': np.float32(0.6657955), 'Fall left': np.float32(0.6771825), 'Fall right': np.float32(0.67927486), 'Fall sitting': np.float32(0.6604929), 'Hop': np.float32(0.659415), 'Kneel': np.float32(0.6713142), 'Pick up object': np.float32(0.6688158), 'Sit down': np.float32(0.666848), 'Walk': np.float32(0.6636004)}
t=135 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.679967), 'Fall forward': np.float32(0.6660331), 'Fall left': np.float32(0.6772077), 'Fall right': np.float32(0.6793086), 'Fall sitting': np.float32(0.66067606), 'Hop': np.float32(0.6594068), 'Kneel': np.float32(0.6714243), 'Pick up object': np.float32(0.6689181), 'Sit down': np.float32(0.666778), 'Walk': np.float32(0.6636179)}
t=140 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67976785), 'Fall forward': np.float32(0.6660302), 'Fall left': np.float32(0.6771042), 'Fall right': np.float32(0.67919326), 'Fall sitting': np.float32(0.6607186), 'Hop': np.float32(0.6591866), 'Kneel': np.float32(0.6713326), 'Pick up object': np.float32(0.66885215), 'Sit down': np.float32(0.66656256), 'Walk': np.float32(0.66340244)}
t=145 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6795305), 'Fall forward': np.float32(0.6659107), 'Fall left': np.float32(0.67692196), 'Fall right': np.float32(0.67899823), 'Fall sitting': np.float32(0.66066384), 'Hop': np.float32(0.6589295), 'Kneel': np.float32(0.6711628), 'Pick up object': np.float32(0.66867816), 'Sit down': np.float32(0.6663131), 'Walk': np.float32(0.6631274)}
t=150 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67929083), 'Fall forward': np.float32(0.66582155), 'Fall left': np.float32(0.676709), 'Fall right': np.float32(0.6787826), 'Fall sitting': np.float32(0.6605354), 'Hop': np.float32(0.6586226), 'Kneel': np.float32(0.6709861), 'Pick up object': np.float32(0.66844034), 'Sit down': np.float32(0.6659484), 'Walk': np.float32(0.6628749)}
t=155 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6791476), 'Fall forward': np.float32(0.66581136), 'Fall left': np.float32(0.67658454), 'Fall right': np.float32(0.6786679), 'Fall sitting': np.float32(0.6604635), 'Hop': np.float32(0.658478), 'Kneel': np.float32(0.67093056), 'Pick up object': np.float32(0.668331), 'Sit down': np.float32(0.6657297), 'Walk': np.float32(0.6627952)}
t=160 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67902845), 'Fall forward': np.float32(0.6659069), 'Fall left': np.float32(0.6765132), 'Fall right': np.float32(0.67859), 'Fall sitting': np.float32(0.6604509), 'Hop': np.float32(0.6583358), 'Kneel': np.float32(0.67090195), 'Pick up object': np.float32(0.6682425), 'Sit down': np.float32(0.6655358), 'Walk': np.float32(0.6627493)}
t=165 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6791646), 'Fall forward': np.float32(0.666112), 'Fall left': np.float32(0.67668056), 'Fall right': np.float32(0.6787338), 'Fall sitting': np.float32(0.6605717), 'Hop': np.float32(0.6584301), 'Kneel': np.float32(0.67108077), 'Pick up object': np.float32(0.6683852), 'Sit down': np.float32(0.6655899), 'Walk': np.float32(0.66291004)}
